Station Name;Reference Station;Longitude;Latitude;Timezone;Hmin (High Tide Time Add);Hmpy (High Tide Level Multiply);Hoff (High Tide Level Add);Lmin (Low Tide Time Add);Lmpy (Low Tide Level Multiply);Loff (Low Tide Level Add);HW1_Zeit;HW1_Stand;HW2_Zeit;HW2_Stand;NW1_Zeit;NW1_Stand;NW2_Zeit;NW2_Stand
Kaminato Hakuchi, Hachijo Jima;Yokohama-Sinko, Kanagawa, Japan;139,8;33,1333;9:0;-5;0,66;0,2;4;0,66;0,2;00:29;1,04;12:20;1,21;06:27;0,82;20:00;0,65
Tori Shima;Yokohama-Sinko, Kanagawa, Japan;140,3167;30,4833;9:0;39;0,63;0,1;47;0,63;0,1;01:13;0,90;13:04;1,06;07:10;0,69;20:43;0,53
Muko Jima, Ogasawara Gunto;Yokohama-Sinko, Kanagawa, Japan;142,1333;27,6833;9:0;50;0,63;-0,1;50;0,63;-0,1;01:24;0,70;13:15;0,86;07:13;0,49;20:46;0,33
Futami Ko, Ogasawara Gunto;Yokohama-Sinko, Kanagawa, Japan;142,1833;27,0833;9:0;47;0,57;0;55;0,57;0;01:21;0,72;13:12;0,87;07:18;0,54;20:51;0,39
Okimura, Ogasawara Gunto;Yokohama-Sinko, Kanagawa, Japan;142,15;26,6333;9:0;65;0,63;-0,1;73;0,63;-0,1;01:39;0,70;13:30;0,86;07:36;0,49;21:09;0,33
Ishino, Kita Iwo Jima, Kazan Retto;Yokohama-Sinko, Kanagawa, Japan;141,3;25,4333;9:0;99;0,51;0;99;0,51;0;02:13;0,65;14:04;0,78;08:02;0,48;21:35;0,35
Nishi, Iwo Jima, Kazan Retto;Yokohama-Sinko, Kanagawa, Japan;141,3;24,8;9:0;95;0,51;0;103;0,51;0;02:09;0,65;14:00;0,78;08:06;0,48;21:39;0,35
Kannoura Ko;Naha, Okinawa, Japan;134,3;33,55;9:0;-85;1;-0,5;-85;1;0;01:36;0,84;13:43;1,11;07:17;0,79;20:37;0,57
Muroto Saki;Naha, Okinawa, Japan;134,15;33,2833;9:0;-82;1;0;-83;1;0,1;01:39;1,34;13:46;1,61;07:19;0,89;20:39;0,67
Urado Ko;Naha, Okinawa, Japan;133,5667;33,5;9:0;-75;0,92;0;-72;0,92;0;01:46;1,23;13:53;1,48;07:30;0,73;20:50;0,52
Susaki Ko;Naha, Okinawa, Japan;133,2833;33,4;9:0;-79;1;-0,3;-80;1;0;01:42;1,04;13:49;1,31;07:22;0,79;20:42;0,57
Kii Suido: Hii Wan;Yokohama-Sinko, Kanagawa, Japan;135,0833;33,9167;9:0;68;1;-0,3;77;1;-0,2;01:42;0,97;13:33;1,23;07:40;0,74;21:13;0,48
Kii Suido: Shimotsu Ura, Osaki Wan;Yokohama-Sinko, Kanagawa, Japan;135,1333;34,1167;9:0;75;1;-0,2;83;1;-0,1;01:49;1,07;13:40;1,33;07:46;0,84;21:19;0,58
Kii Suido: Wakanoura Wan;Yokohama-Sinko, Kanagawa, Japan;135,1833;34,1833;9:0;104;0,89;0,2;106;0,89;0,2;02:18;1,33;14:09;1,56;08:09;1,04;21:42;0,81
Kii Suido: Tachibana Ura;Yokohama-Sinko, Kanagawa, Japan;134,65;33,8667;9:0;55;1;-0,4;64;1;-0,3;01:29;0,87;13:20;1,13;07:27;0,64;21:00;0,38
Kii Suido: Komatsushima Ko;Yokohama-Sinko, Kanagawa, Japan;134,6;34,0167;9:0;63;0,87;0;71;0,85;0;01:37;1,10;13:28;1,33;07:34;0,80;21:07;0,58
Tomoga Shima, Tomogashima Suido;Kobe, Hyogo, Japan;135;34,2833;9:0;-46;1;0,6;-44;1;0,1;04:36;1,51;14:32;1,72;08:46;0,96;22:34;0,62
Yura Ko, Tomogashima Suido;Kobe, Hyogo, Japan;134,95;34,2667;9:0;-48;1;0;-48;1;-0,1;04:34;0,91;14:30;1,12;08:42;0,76;22:30;0,42
Izumi Nada: Sumoto;Kobe, Hyogo, Japan;134,9;34,3333;9:0;-27;0,98;0;-42;0,98;0;04:55;0,89;14:51;1,10;08:48;0,84;22:36;0,51
Izumi Nada: Osaka Ko;Kobe, Hyogo, Japan;135,4333;34,65;9:0;-6;1;0,2;-11;1;0,1;05:16;1,11;15:12;1,32;09:19;0,96;23:07;0,62
Izumi Nada: Karumo Jima;Kobe, Hyogo, Japan;135,1667;34,65;9:0;5;1;0,1;-4;1;0,1;05:27;1,01;15:23;1,22;09:26;0,96;23:14;0,62
Akashi Ko, Akashi Seto;Kobe, Hyogo, Japan;135;34,65;9:0;1111;0,67;0;48;0,67;0;23:53;0,61;09:49;0,75;10:18;0,58;00:06;0,35
E Saki, Awaji, Akashi Seto;Kobe, Hyogo, Japan;134,9833;34,6;9:0;1111;0,65;0;55;0,65;0;23:53;0,59;09:49;0,73;10:25;0,56;00:13;0,34
Murotsu, Awaji;Sakate (Syodo Sima), Kagawa, Japan;134,8667;34,5167;9:0;19;0,64;0,5;23;0,64;0,5;08:01;1,25;19:33;1,30;01:24;0,74;13:23;0,93
Ei, Awaji;Sakate (Syodo Sima), Kagawa, Japan;134,8333;34,4667;9:0;19;0,68;0,4;9;0,68;0,4;08:01;1,20;19:33;1,25;01:10;0,66;13:09;0,86
Anaga Ura, Awaji;Sakate (Syodo Sima), Kagawa, Japan;134,6667;34,2667;9:0;29;0,86;0,2;37;0,86;0,2;08:11;1,21;19:43;1,27;01:38;0,53;13:37;0,78
Ajiro, Naruto;Sakate (Syodo Sima), Kagawa, Japan;134,6333;34,2333;9:0;53;0,92;0;57;0,89;0;08:35;1,08;20:07;1,15;01:58;0,34;13:57;0,60
Fukura Ura, Awaji;Yokohama-Sinko, Kanagawa, Japan;134,7;34,25;9:0;89;0,94;-0,1;96;0,94;-0,1;02:03;1,09;13:54;1,34;07:59;0,78;21:32;0,54
Tosadomari, muyano Seto;Kobe, Hyogo, Japan;134,6167;34,1833;9:0;-11;1;0,1;-19;1;0;05:11;1,01;15:07;1,22;09:11;0,86;22:59;0,52
Kita-tomariura, Muyano Seto;Kobe, Hyogo, Japan;134,5833;34,2333;9:0;1111;1;-1,2;106;1;-0,3;23:53;-0,29;09:49;-0,08;11:16;0,56;01:04;0,22
Aziro;Kobe, Hyogo, Japan;134,6333;34,2333;9:0;271;1;0;258;1;-0,1;09:53;0,91;19:49;1,12;13:48;0,76;03:36;0,42
Hikeda, Harima Nada;Sakate (Syodo Sima), Kagawa, Japan;134,4;34,2333;9:0;22;0,93;0;23;0,93;0;08:04;1,09;19:36;1,16;01:24;0,35;13:23;0,62
Ikeda Wan, Shodo Shima;Sakate (Syodo Sima), Kagawa, Japan;134,2;34,4833;9:0;-11;1;1;-6;1;0,2;07:31;2,17;19:03;2,25;00:55;0,58;12:54;0,87
Su-ao Kang;Naha, Okinawa, Japan;121,8667;24,5833;8:0;-73;0,78;0,2;-73;0,78;0,2;01:48;1,25;13:55;1,46;07:29;0,82;20:49;0,64
Hua-lien Kang;Naha, Okinawa, Japan;121,6167;23,9667;8:0;-75;0,83;0;-75;0,83;0;01:46;1,11;13:53;1,34;07:27;0,66;20:47;0,47
Ch'eng-kuang-ao Po-ti;Naha, Okinawa, Japan;121,4;23,1333;8:0;-79;0,86;0;-80;0,83;0;01:42;1,15;13:49;1,38;07:22;0,66;20:42;0,47
Tu-lan Wan;Naha, Okinawa, Japan;121,1833;22,8333;8:0;-77;0,76;0;-77;0,76;0;01:44;1,02;13:51;1,22;07:25;0,60;20:45;0,43
Nan-liao Wan, Lu Tao;Naha, Okinawa, Japan;121,4667;22,6667;8:0;-82;0,73;0;-82;0,72;0;01:39;0,98;13:46;1,18;07:20;0,57;20:40;0,41
Pa-tai Wan, Lan Yu;Naha, Okinawa, Japan;121,5667;22,0333;8:0;-63;0,8;-0,2;-64;0,8;-0,2;01:58;0,87;14:05;1,09;07:38;0,43;20:58;0,26
Bojan, Bulan Str;Kamaisi, Iwate, Japan;103,9167;1,0167;7:0;-285;1,32;0;-288;1,32;0;05:58;1,62;;;23:24;0,96;13:28;0,75
Oeban Point, Bintan Isl;Kamaisi, Iwate, Japan;104,2167;1,0667;7:0;-331;1,77;0;-333;1,44;0;05:12;2,18;;;22:39;1,05;12:43;0,82
Tandjungpinang, Bintan Isl;Kamaisi, Iwate, Japan;104,4333;0,9167;7:0;-275;1,42;0;-277;1,67;0;06:08;1,75;;;23:35;1,22;13:39;0,95
Dendang, Kidjang Str;Kamaisi, Iwate, Japan;104,6167;0,85;7:0;-306;1,4;0;-309;1,67;0;05:37;1,72;;;23:03;1,22;13:07;0,95
Tandjung Datu;Darwin, Australia;109,65;2,0833;8:0;-102;0,41;0;-107;0,3;0;22:54;2,31;12:51;1,99;05:46;0,82;17:38;1,11
Kuching, Sarawak Rvr;Darwin, Australia;110,35;1,5667;8:0;-78;0,72;0;-56;0,72;0;23:18;4,05;13:15;3,49;06:37;1,98;18:29;2,67
Pulau Lakei;Darwin, Australia;110,5;1,75;8:0;-112;0,71;0;-113;0,86;0;22:44;4,00;12:41;3,44;05:40;2,36;17:32;3,19
Port Goro, Toemo Isl;Yokohama-Sinko, Kanagawa, Japan;167,0167;-22,3333;11:0;126;0,57;0,5;127;0,57;0,5;02:40;1,22;14:31;1,37;08:30;1,04;22:03;0,89
Noumea;Yokohama-Sinko, Kanagawa, Japan;166,45;-22,2667;11:0;185;0,83;0,8;196;0,83;0,8;03:39;1,85;15:30;2,07;09:39;1,58;23:12;1,36
Port Nepui;Yokohama-Sinko, Kanagawa, Japan;164,9667;-21,35;11:0;191;0,89;0,3;215;0,89;0,3;03:45;1,43;15:36;1,66;09:58;1,14;23:31;0,91
Paagoumene;Yokohama-Sinko, Kanagawa, Japan;164,1833;-20,4833;11:0;190;0,91;-0,2;198;0,91;-0,2;03:44;0,96;15:35;1,19;09:41;0,66;23:14;0,42
Shepenehe Anchorage;Yokohama-Sinko, Kanagawa, Japan;167,1333;-20,7833;11:0;83;1;0,3;83;1;-0,4;01:57;1,57;13:48;1,83;07:46;0,54;21:19;0,28
Vila Harbor, Efate Isl;Yokohama-Sinko, Kanagawa, Japan;168,3167;-17,7333;-11:0;49;0,8;-0,7;59;0,8;-0,7;01:23;0,32;13:14;0,52;07:22;0,05;20:55;-0,16
Havannah Harbor, Efate Isl;Yokohama-Sinko, Kanagawa, Japan;168,25;-17,5833;11:0;55;0,7;0;59;0,7;0;01:29;0,89;13:20;1,07;07:22;0,66;20:55;0,48
Port Sandwich, Malekula Isl;Yokohama-Sinko, Kanagawa, Japan;167,7833;-16,4333;11:0;3;0,8;-0,7;11;0,8;-0,7;00:37;0,32;12:28;0,52;06:34;0,05;20:07;-0,16
Tangoa Island;Yokohama-Sinko, Kanagawa, Japan;166,9833;-15,5833;11:0;67;0,56;0;71;0,5;0;01:41;0,71;13:32;0,86;07:34;0,47;21:07;0,34
Espiritu Santo Island, Pekoa Chan;Yokohama-Sinko, Kanagawa, Japan;167,1667;-15,5167;11:0;23;0,76;0;28;0,65;0;00:57;0,97;12:48;1,16;06:51;0,61;20:24;0,44
Aesi;Yokohama-Sinko, Kanagawa, Japan;167,2333;-15,4333;11:0;-22;0,8;0;-15;0,7;0;00:12;1,02;12:03;1,22;06:08;0,66;19:41;0,48
Port Patteson, Banks Isls;Yokohama-Sinko, Kanagawa, Japan;167,5667;-13,85;12:0;91;0,55;0;91;0,45;0;02:05;0,70;13:56;0,84;07:54;0,42;21:27;0,31
Manevai Bay;Yokohama-Sinko, Kanagawa, Japan;166,9167;-11,6333;11:0;-14;0,55;0;-14;0,55;4,5;00:20;0,70;12:11;0,84;06:09;5,02;19:42;4,87
Sekar Bay, Berau Gulf;Yokohama-Sinko, Kanagawa, Japan;132,4167;-2,7;9:0;-36;0,74;2,1;-28;0,74;2,1;23:58;3,04;11:49;3,23;05:55;2,80;19:28;2,60
Saonek, Dampier Str;Yokohama-Sinko, Kanagawa, Japan;130,7667;-0,45;9:0;113;0,94;0,3;122;0,94;0,3;02:27;1,49;14:18;1,74;08:25;1,18;21:58;0,94
Manokwari;Yokohama-Sinko, Kanagawa, Japan;134,0833;-0,8667;9:0;110;1;-0,2;119;1;-0,1;02:24;1,07;14:15;1,33;08:22;0,84;21:55;0,58
Mios Woendi Lagoon, Schouten Isls;Yokohama-Sinko, Kanagawa, Japan;136,3833;-1,2667;9:0;112;0,95;0;104;0,95;0;02:26;1,21;14:17;1,45;08:07;0,89;21:40;0,65
Kajo Bay;Yokohama-Sinko, Kanagawa, Japan;140,7333;-2,5333;9:0;111;0,51;1,1;119;0,51;1,1;02:25;1,75;14:16;1,88;08:22;1,58;21:55;1,45
South Cape;Townsville, Australia;150,2667;-10,7167;10:0;-3;0,48;1,2;-19;0,48;1,2;06:34;2,48;18:00;2,49;23:51;1,68;12:05;1,94
Dedele Point;Townsville, Australia;148,7167;-10,2333;10:0;21;0,78;0;21;0,78;0;06:58;2,08;18:24;2,09;00:31;0,78;12:45;1,21
Port Moresby;Townsville, Australia;147,1333;-9,4833;10:0;17;0,67;1,2;-4;0,67;1,2;06:54;2,99;18:20;3,00;00:06;1,87;12:20;2,24
Fly River Entr;Darwin, Australia;143,6167;-8,7;10:0;175;0,54;0;167;0,43;0;03:31;3,04;17:28;2,62;10:20;1,18;22:12;1,60
Paterson Inlet, Stewart Isl;Auckland, New Zealand;168,1167;-46,9;12:0;-342;1;-1,9;-337;1;0,6;21:54;0,91;10:14;1,00;04:01;1,55;16:30;1,46
Akaroa;Auckland, New Zealand;172,9167;-43,8;12:0;-211;0,65;0;-192;0,33;0;00:05;1,83;12:25;1,89;06:26;0,31;18:55;0,28
Timaru;Auckland, New Zealand;171,25;-44,4;12:0;-264;0,72;0;-253;1;0;23:12;2,02;11:32;2,09;05:25;0,95;17:54;0,86
Oamaru;Auckland, New Zealand;170,9667;-45,1;12:0;-246;0,66;0;-235;1,06;0;23:30;1,85;11:50;1,91;05:43;1,01;18:12;0,91
Otago Harbor Entr;Auckland, New Zealand;170,7333;-45,7833;12:0;-273;0,58;0;-230;0,33;0;23:03;1,63;11:23;1,68;05:48;0,31;18:17;0,28
Port Chalmers, Otago Hbr;Auckland, New Zealand;170,65;-45,8167;12:0;-215;0,58;0;-203;0,33;0;00:01;1,63;12:21;1,68;06:15;0,31;18:44;0,28
Dunedin, Otago Hbr;Auckland, New Zealand;170,55;-45,8833;12:0;-180;1;-4;-131;1;-1,2;00:36;-1,19;12:56;-1,10;07:27;-0,25;19:56;-0,34
Nugget Point;Auckland, New Zealand;169,8;-46,4333;12:0;-292;1;-2,4;-272;1;0,5;22:44;0,41;11:04;0,50;05:06;1,45;17:35;1,36
Waipapa Point;Auckland, New Zealand;168,85;-46,65;12:0;-317;1;-1,3;-311;1;0,6;22:19;1,51;10:39;1,60;04:27;1,55;16:56;1,46
Bluff;Auckland, New Zealand;168,3333;-46,6;12:0;-334;1;-1,4;-327;1;0,5;22:02;1,41;10:22;1,50;04:11;1,45;16:40;1,36
New River;Auckland, New Zealand;168,25;-46,5333;12:0;-356;1;-1,1;-349;1;-0,1;21:40;1,71;10:00;1,80;03:49;0,85;16:18;0,76
Colac Bay;Auckland, New Zealand;167,9;-46,3667;12:0;-436;1;-2,6;-416;1;-0,2;20:20;0,21;08:40;0,30;02:42;0,75;15:11;0,66
Preservation Inlet;Auckland, New Zealand;166,6833;-46,0667;12:0;299;1;2,9;308;1;-0,6;08:35;5,71;20:55;5,80;14:46;0,35;03:15;0,26
Dusky Sound;Auckland, New Zealand;166,5333;-45,7833;12:0;289;1;-3,1;298;1;-0,4;08:25;-0,29;20:45;-0,20;14:36;0,55;03:05;0,46
Deep Cove;Auckland, New Zealand;167,1667;-45,45;12:0;282;1;-3,6;289;1;-0,3;08:18;-0,79;20:38;-0,70;14:27;0,65;02:56;0,56
Bligh Sound;Auckland, New Zealand;167,5333;-44,8833;12:0;269;1;-3,2;278;1;-0,3;08:05;-0,39;20:25;-0,30;14:16;0,65;02:45;0,56
Milford Sound;Auckland, New Zealand;167,9333;-44,6667;12:0;264;1;-3,2;273;1;-0,3;08:00;-0,39;20:20;-0,30;14:11;0,65;02:40;0,56
Jackson's Bay;Auckland, New Zealand;168,6167;-43,9833;12:0;249;1;-3,1;258;1;-0,4;07:45;-0,29;20:05;-0,20;13:56;0,55;02:25;0,46
Haast River Entr;Auckland, New Zealand;169,05;-43,8333;12:0;239;1;-3,1;248;1;-0,4;07:35;-0,29;19:55;-0,20;13:46;0,55;02:15;0,46
Bruce Bay;Auckland, New Zealand;169,6;-43,5833;12:0;229;1;-3;238;1;0,5;07:25;-0,19;19:45;-0,10;13:36;1,45;02:05;1,36
Okarito;Auckland, New Zealand;170,1833;-43,2167;12:0;224;1;-2,9;233;1;-0,5;07:20;-0,09;19:40;0,00;13:31;0,45;02:00;0,36
Hokitiki Bar;Auckland, New Zealand;170,9667;-42,7167;12:0;219;1;-2,9;228;1;-0,6;07:15;-0,09;19:35;0,00;13:26;0,35;01:55;0,26
Greymouth;Auckland, New Zealand;171,2167;-42,4333;12:0;214;1;-2,8;223;1;-0,7;07:10;0,01;19:30;0,10;13:21;0,25;01:50;0,16
Westport;Auckland, New Zealand;171,6;-41,7333;12:0;209;1;-0,1;218;1;0,1;07:05;2,71;19:25;2,80;13:16;1,05;01:45;0,96
West Haven Inlet;Auckland, New Zealand;172,5333;-40,5833;12:0;144;1;-1,1;153;1;-0,6;06:00;1,71;18:20;1,80;12:11;0,35;00:40;0,26
Motupipi River Entr;Auckland, New Zealand;172,85;-40,8333;12:0;108;1,43;0;101;1,28;0;05:24;4,02;17:44;4,15;11:19;1,22;23:48;1,10
Astrolabe Road;Auckland, New Zealand;173,05;-40,9667;12:0;113;1;4,5;106;1;0,2;05:29;7,31;17:49;7,40;11:24;1,15;23:53;1,06
Nelson;Auckland, New Zealand;173,2667;-41,2667;12:0;133;1;1,2;126;1;0,2;05:49;4,01;18:09;4,10;11:44;1,15;00:13;1,06
Croixilles Harbor;Auckland, New Zealand;173,7;-41,0833;12:0;118;1;2,4;111;1;0,1;05:34;5,21;17:54;5,30;11:29;1,05;23:58;0,96
Greville Harbor, D'Urville Isl;Auckland, New Zealand;173,8;-40,8667;12:0;137;1;-0,4;140;1;-0,6;05:53;2,41;18:13;2,50;11:58;0,35;00:27;0,26
Stephens Island;Auckland, New Zealand;174,0167;-40,6667;12:0;103;1;-2,2;96;1;-0,3;05:19;0,61;17:39;0,70;11:14;0,65;23:43;0,56
Elmslie Bay;Auckland, New Zealand;173,85;-40,9333;12:0;83;1;-1,8;66;1;-1,5;04:59;1,01;17:19;1,10;10:44;-0,55;23:13;-0,64
Pelorus Sound Entr;Auckland, New Zealand;173,9833;-40,9167;12:0;73;1;-2,4;46;1;-0,5;04:49;0,41;17:09;0,50;10:24;0,45;22:53;0,36
Queen Charlotte Sound Entr;Auckland, New Zealand;174,2833;-41,1167;12:0;76;1;-5,7;53;1;-1,2;04:52;-2,89;17:12;-2,80;10:31;-0,25;23:00;-0,34
Picton, Queen Charlotte Sd;Auckland, New Zealand;174;-41,2833;12:0;80;1;-5,8;50;1;-1,3;04:56;-2,99;17:16;-2,90;10:28;-0,35;22:57;-0,44
Cape Campbell;Wellington, New Zealand;174,25;-41,7333;12:0;38;1;1,1;35;1;0;01:52;2,69;14:15;2,69;08:06;0,64;20:24;0,65
Kaikoura Peninsula;Wellington, New Zealand;173,7;-42,4;12:0;13;1;1,3;15;1;-0,1;01:27;2,89;13:50;2,89;07:46;0,54;20:04;0,55
Lyttleton;Wellington, New Zealand;172,7167;-43,6167;12:0;-17;1;1,7;-15;1;-1,1;00:57;3,29;13:20;3,29;07:16;-0,46;19:34;-0,45
Gisborne;Wellington, New Zealand;178,0333;-38,6833;12:0;65;1;1,5;68;1;0,3;02:19;3,09;14:42;3,09;08:39;0,94;20:57;0,95
Clyde, Wairoa Rvr;Wellington, New Zealand;177,4333;-39,05;12:0;60;1;0,8;51;1;-0,5;02:14;2,39;14:37;2,39;08:22;0,14;20:40;0,15
Napier;Wellington, New Zealand;176,9167;-39,4833;12:0;58;1;0,7;49;1;-0,5;02:12;2,29;14:35;2,29;08:20;0,14;20:38;0,15
Cape Palliser;Wellington, New Zealand;175,2833;-41,6167;12:0;10;1;0,2;10;1;-0,1;01:24;1,79;13:47;1,79;07:41;0,54;19:59;0,55
Porirua Harbor;Auckland, New Zealand;174,85;-41,0667;12:0;125;1;-4,6;122;1;0;05:41;-1,79;18:01;-1,70;11:40;0,95;00:09;0,86
Manawatu River Entr;Auckland, New Zealand;175,2167;-40,4667;12:0;103;1;-2,9;96;1;-0,2;05:19;-0,09;17:39;0,00;11:14;0,75;23:43;0,66
Wanganui River Entr;Auckland, New Zealand;174,8167;-39,95;12:0;158;1;-1,9;151;1;0,5;06:14;0,91;18:34;1,00;12:09;1,45;00:38;1,36
Opunake Bay;Auckland, New Zealand;173,85;-39,4667;12:0;118;1;0,1;111;1;0,2;05:34;2,91;17:54;3,00;11:29;1,15;23:58;1,06
Port Taranaki;Auckland, New Zealand;174,0333;-39,0667;12:0;141;1;0,5;159;1;0,1;05:57;3,31;18:17;3,40;12:17;1,05;00:46;0,96
Waitara River Entr;Auckland, New Zealand;174,2333;-38,9833;12:0;142;1;0,9;160;1;0,5;05:58;3,71;18:18;3,80;12:18;1,45;00:47;1,36
Kawhia;Auckland, New Zealand;174,8167;-38,0667;12:0;159;1;-0,6;177;1;-0,5;06:15;2,21;18:35;2,30;12:35;0,45;01:04;0,36
Raglan;Auckland, New Zealand;174,8833;-37,8;12:0;167;1;-0,6;185;1;-0,6;06:23;2,21;18:43;2,30;12:43;0,35;01:12;0,26
Waikato River;Auckland, New Zealand;174,75;-37,4;12:0;137;1;1,5;155;1;0,9;05:53;4,31;18:13;4,40;12:13;1,85;00:42;1,76
Manukau Harbor Entr;Auckland, New Zealand;174,5167;-37,05;12:0;169;1;-0,3;168;1;0,4;06:25;2,51;18:45;2,60;12:26;1,35;00:55;1,26
Cornwallis, Manukau Hbr;Auckland, New Zealand;174,6;-37;12:0;172;1;0,7;190;1;0,6;06:28;3,51;18:48;3,60;12:48;1,55;01:17;1,46
Onehunga, Manukau Hbr;Auckland, New Zealand;174,7833;-36,9333;12:0;201;1;2,1;210;1;1,1;06:57;4,91;19:17;5,00;13:08;2,05;01:37;1,96
Pouto Point, Kaipara Hbr;Auckland, New Zealand;174,1833;-36,3667;12:0;187;1;0,4;205;1;0,5;06:43;3,21;19:03;3,30;13:03;1,45;01:32;1,36
Martins Bay, Hokianga Rvr;Auckland, New Zealand;173,3833;-35,5333;12:0;142;1;0,2;160;1;-0,3;05:58;3,01;18:18;3,10;12:18;0,65;00:47;0,56
Cape Maria van Diemen;Auckland, New Zealand;172,6333;-34,4833;12:0;107;1;-2,1;125;1;-0,5;05:23;0,71;17:43;0,80;11:43;0,45;00:12;0,36
Parengarenga;Auckland, New Zealand;173;-34,5333;12:0;50;1;-2,2;50;1;0;04:26;0,61;16:46;0,70;10:28;0,95;22:57;0,86
Awanui River;Auckland, New Zealand;173,3;-34,9;12:0;50;1;-3,9;30;1;-1,3;04:26;-1,09;16:46;-1,00;10:08;-0,35;22:37;-0,44
Whangaroa;Auckland, New Zealand;173,7833;-35,0333;12:0;20;1;-2,7;20;1;-0,1;03:56;0,11;16:16;0,20;09:58;0,85;22:27;0,76
Port Russell;Auckland, New Zealand;174,1167;-35,2667;12:0;12;1;-2,4;12;1;0;03:48;0,41;16:08;0,50;09:50;0,95;22:19;0,86
Whangarei Heads;Auckland, New Zealand;174,5;-35,8167;12:0;20;1;-2,3;20;1;-0,1;03:56;0,51;16:16;0,60;09:58;0,85;22:27;0,76
Port Whangarei (Railway Wharf);Auckland, New Zealand;174,3333;-35,75;12:0;40;1;-1,1;40;1;0,3;04:16;1,71;16:36;1,80;10:18;1,25;22:47;1,16
Bon Accord Harbor, Kawau Isl;Auckland, New Zealand;174,8333;-36,45;12:0;15;1;-1;25;1;-0,1;03:51;1,81;16:11;1,90;10:03;0,85;22:32;0,76
Nagle Cove, Great BarrierIsl;Auckland, New Zealand;175,35;-36,15;12:0;-24;1;-2,6;-11;1;-0,4;03:12;0,21;15:32;0,30;09:27;0,55;21:56;0,46
Waiheke;Auckland, New Zealand;175,15;-36,7833;12:0;-6;1;-0,4;-6;1;0;03:30;2,41;15:50;2,50;09:32;0,95;22:01;0,86
Coromandel;Auckland, New Zealand;175,5;-36,7667;12:0;-15;1;0,6;-15;1;0,2;03:21;3,41;15:41;3,50;09:23;1,15;21:52;1,06
Mercury Bay;Auckland, New Zealand;175,7167;-36,8333;12:0;-20;1;-3;-20;1;0,2;03:16;-0,19;15:36;-0,10;09:18;1,15;21:47;1,06
Tauranga Harbor Entr;Auckland, New Zealand;176,1833;-37,65;12:0;-12;1;-3,9;-1;1;-0,6;03:24;-1,09;15:44;-1,00;09:37;0,35;22:06;0,26
Ohiwa;Auckland, New Zealand;177,1167;-37,9833;12:0;17;1;-3,7;-3;1;-0,6;03:53;-0,89;16:13;-0,80;09:35;0,35;22:04;0,26
East Cape;Auckland, New Zealand;178,55;-37,6833;12:0;-55;1;-3,3;-45;1;0,2;02:41;-0,49;15:01;-0,40;08:53;1,15;21:22;1,06
Lord Howe Island;Brisbane Bar, Australia;159,0667;-31,5333;10:0;-85;1;-0,6;-80;1;0,3;03:59;0,99;15:58;0,99;10:05;0,89;22:29;0,55
Norfolk Island;Brisbane Bar, Australia;167,9333;-29,0667;11:30;-77;1;-1,3;-89;1;-0,4;04:07;0,29;16:06;0,29;09:56;0,19;22:20;-0,15
Tapa Bay, Bynoe Hbr;Darwin, Australia;130,6;-12,45;9:30;-4;0,88;0;-4;0,9;0;00:32;4,95;14:29;4,27;07:29;2,48;19:21;3,34
East Point, Bynoe Hbr;Darwin, Australia;130,5667;-12,5833;9:30;4;0,91;0;4;0,96;0;00:40;5,12;14:37;4,41;07:37;2,64;19:29;3,56
Night Cliff, Point Darwin;Darwin, Australia;130,8333;-12,3833;9:30;6;1;-1,6;6;1;-0,5;00:42;4,03;14:39;3,25;07:39;2,25;19:31;3,21
Cape Hotham;Darwin, Australia;131,2833;-12,05;9:30;74;0,64;0;74;0,67;0;01:50;3,60;15:47;3,10;08:47;1,84;20:39;2,49
Cape Keith, Melville Isl;Darwin, Australia;131,4667;-11,6;8:0;3;0,54;0;3;0,55;0;00:39;3,04;14:36;2,62;07:36;1,51;19:28;2,04
Cape Don Boat Harbor;Darwin, Australia;131,7667;-11,3167;8:0;-62;0,33;0;-79;0,33;0;23:34;1,86;13:31;1,60;06:14;0,91;18:06;1,22
Arnhem Bay;Darwin, Australia;136,1;-12,1833;9:30;255;0,85;-3;250;0,85;-3;04:51;1,79;18:48;1,12;11:43;-0,66;23:35;0,15
Thursday Island, Torres Str;Townsville, Australia;142,2167;-10,5833;10:0;1111;1;111,1;1111;1;111,1;01:08;113,77;12:34;113,78;18:41;112,10;06:55;112,65
Tern Island;Townsville, Australia;142,75;-11;10:0;98;1;1,1;96;1;0,9;08:15;3,77;19:41;3,78;01:46;1,90;14:00;2,45
Hannibal Island;Townsville, Australia;142,9333;-11,6;10:0;62;1;0;61;1;0;07:39;2,67;19:05;2,68;01:11;1,00;13:25;1,55
Piper Island;Townsville, Australia;143,25;-12,25;10:0;27;0,86;0;28;0,96;0;07:04;2,30;18:30;2,30;00:38;0,96;12:52;1,49
Restoration Island;Townsville, Australia;143,4667;-12,6167;10:0;23;0,7;1;23;0,7;1;07:00;2,87;18:26;2,88;00:33;1,70;12:47;2,08
Flinders Island;Townsville, Australia;144,25;-14,1667;10:0;15;0,78;1,9;15;0,78;1,9;06:52;3,98;18:18;3,99;00:25;2,68;12:39;3,11
