Station Name;Reference Station;Longitude;Latitude;Timezone;Hmin (High Tide Time Add);Hmpy (High Tide Level Multiply);Hoff (High Tide Level Add);Lmin (Low Tide Time Add);Lmpy (Low Tide Level Multiply);Loff (Low Tide Level Add);HW1_Zeit;HW1_Stand;HW2_Zeit;HW2_Stand;NW1_Zeit;NW1_Stand;NW2_Zeit;NW2_Stand
Outer Wood Island;Saint John, New Brunswick;-66,8;44,6;-4:0;-25;1;-7,8;-27;1;-0,8;07:08;-0,62;19:36;-0,85;00:51;0,93;13:24;0,87
Welshpool, Campobello Isl;Saint John, New Brunswick;-66,95;44,8833;-4:0;-1;1;-3,5;6;1;-1;07:32;3,68;20:00;3,45;01:24;0,73;13:57;0,67
Wilsons Beach, Campobello Isl;Saint John, New Brunswick;-66,9333;44,9333;-4:0;0;1;-3,7;1;1;0,1;07:33;3,48;20:01;3,25;01:19;1,83;13:52;1,77
Back Bay, Letite Hbr;Saint John, New Brunswick;-66,8667;45,05;-4:0;0;1;-3,5;-3;1;0;07:33;3,68;20:01;3,45;01:15;1,73;13:48;1,67
Midjik Bluff, Passamaquoddy Bay;Saint John, New Brunswick;-66,9;45,1167;-4:0;12;1;-2;17;1;-0,5;07:45;5,18;20:13;4,95;01:35;1,23;14:08;1,17
St. Andrews, Passamaquoddy Bay;Saint John, New Brunswick;-67,05;45,0667;-4:0;14;1;-2,3;20;1;0;07:47;4,88;20:15;4,65;01:38;1,73;14:11;1,67
The Ledge, St Croix Rvr;Saint John, New Brunswick;-67,2;45,1667;-4:0;17;1;-0,8;30;1;0;07:50;6,38;20:18;6,15;01:48;1,73;14:21;1,67
Matamoros;Tampico, Tamaulipas, Mexico;-97,5167;25,8833;-6:0;55;1;0;40;1;0;14:29;0,38;;;05:33;0,07;;
Tuxpan;Tampico, Tamaulipas, Mexico;-97,3333;21;-6:0;2;1,21;0;4;1,21;0;13:36;0,46;;;04:57;0,08;;
Veracruz;Tampico, Tamaulipas, Mexico;-96,1333;19,2;-6:0;-19;1,21;0;-12;1,21;0;13:15;0,46;;;04:41;0,08;;
Alvarado;Tampico, Tamaulipas, Mexico;-95,7667;18,7667;-6:0;51;0,93;0;27;0,93;0;14:25;0,35;;;05:20;0,07;;
Coatzcoalcos;Tampico, Tamaulipas, Mexico;-94,4167;18,15;-6:0;-40;1,07;0;5;1,07;0;12:54;0,41;;;04:58;0,07;;
Frontera;Tampico, Tamaulipas, Mexico;-92,65;18,5333;-6:0;-18;1,14;0;-27;1,14;0;13:16;0,43;;;04:26;0,08;;
Progreso;Tampico, Tamaulipas, Mexico;-89,6667;21,3;-6:0;79;1,29;0;23;1,29;0;14:53;0,49;;;05:16;0,09;;
Falkland Islands: Port Louis (Berkeley Sound);Pictou, Nova Scotia;-58,15;-51,55;-4:0;470;1;-0,9;467;1;-1;13:26;0,52;01:23;0,76;18:53;-0,06;;
Falkland Islands: Stanley Harbor;Pictou, Nova Scotia;-57,85;-52,7;-4:0;471;1;-1;468;1;-1;13:27;0,42;01:24;0,66;18:54;-0,06;;
South Georgia: Royal Bay (Moltke Hrbr);Pictou, Nova Scotia;-36,0167;-54,5167;-2:2;598;0,36;0;619;0,13;0;15:34;0,51;03:31;0,60;21:25;0,12;;
South Georgia: Leith Harbor;Pictou, Nova Scotia;-36,6833;-54,1333;-2:2;555;0,64;0;575;0,65;0;14:51;0,91;02:48;1,06;20:41;0,61;;
South Orkneys: Scotia Bay, Laurie Island;Pictou, Nova Scotia;-44,65;-60,7333;-3:0;501;1;-0,3;512;1;-0,6;13:57;1,12;01:54;1,36;19:38;0,34;;
South Shetlands: Port Foster;Pictou, Nova Scotia;-60,5667;-62,9667;-3:0;506;1;0;518;1;-0,1;14:02;1,42;01:59;1,66;19:44;0,84;;
South Shetlands: Admiralty Bay;Pictou, Nova Scotia;-58,4;-62,05;-3:0;589;1;-0,5;605;1;-0,4;15:25;0,92;03:22;1,16;21:11;0,54;;
Puerto Angel;Salina Cruz, Oaxaca, Mexico;-96,5;15,65;-6:0;-4;1;-0,7;-4;1;0;09:52;-0,10;22:33;0,14;04:05;-0,06;15:55;-0,13
Acapulco;Salina Cruz, Oaxaca, Mexico;-99,9167;16,8333;-6:0;-25;1;-1,9;-24;1;0,1;09:31;-1,30;22:12;-1,06;03:45;0,04;15:35;-0,03
Puerto Vallarta;Puerto Vallarta, Jalisco, Mexico;-105,2333;20,6;-6:0;0;1;0;0;1;0;06:16;1,01;19:40;0,77;13:17;0,17;;
La Paz;Guaymas, Sonora, Mexico;-110,35;24,1667;-7:0;56;1;0,8;-47;1;0;06:33;1,45;;;13:15;-0,02;;
