fingerprint,file,name,lat,lon,n_identical
e7536cca53b62404f939d85509d6caa8,harmonics/att/harmonics_att_np202_secondary.txt,"Finnlandsneset, Norway",69.0939,17.6219,2
e7536cca53b62404f939d85509d6caa8,harmonics/att/harmonics_att_np202_secondary.txt,"Soløy, Norway",68.7823,17.7806,2
f82a7a2d89ba3143dd5588730ba82cf3,harmonics/att/harmonics_att_np202_secondary.txt,"Lepsøyrevet, Norway",62.5893,6.2636,2
f82a7a2d89ba3143dd5588730ba82cf3,harmonics/att/harmonics_att_np202_secondary.txt,"Fyrde (Austefjorden), Norway",62.0614,6.3249,2
f9c5adaa0ff8e785cd5a2f2cfae3f9c0,harmonics/att/harmonics_att_np202_secondary.txt,"Smalfjorden, Norway",70.4384,28.0587,2
f9c5adaa0ff8e785cd5a2f2cfae3f9c0,harmonics/att/harmonics_att_np202_secondary.txt,"Skjånes, Norway",70.8011,28.0985,2
fe8268aba9edc554460c6a1ff3f3982a,harmonics/att/harmonics_att_np202_secondary.txt,"Casilda, Cuba",21.75,-79.9833,2
fe8268aba9edc554460c6a1ff3f3982a,harmonics/att/harmonics_att_np202_secondary.txt,"Carapachibey, Cuba",21.45,-82.9167,2
07afbe419058425ba53c0d307266e34f,harmonics/att/harmonics_att_np203_secondary.txt,"Ghubbat Hashish, Oman",20.4667,58.1667,2
07afbe419058425ba53c0d307266e34f,harmonics/att/harmonics_att_np203_secondary.txt,"Ras Sheiblah, Oman",20.97,58.7963,2
0f24c92008c70d5a25c7a08d3d020cc6,harmonics/att/harmonics_att_np203_secondary.txt,"Hurghada (Al Ghardaqah), Egypt",27.1913,33.8374,2
0f24c92008c70d5a25c7a08d3d020cc6,harmonics/att/harmonics_att_np203_secondary.txt,"Jazirat Tiran (Johnson Point), Saudi Arabia",28.0008,34.4943,2
2db6c485ab484eab28117fea83702f55,harmonics/att/harmonics_att_np203_secondary.txt,"Kal Faroun, Yemen",12.4393,52.1368,2
2db6c485ab484eab28117fea83702f55,harmonics/att/harmonics_att_np203_secondary.txt,"Shuqrah (Shoqra), Yemen",13.3547,45.7072,2
3a0e3effba94cd2636933ce717298774,harmonics/att/harmonics_att_np203_secondary.txt,"Kiswere Haven, Tanzania",-9.3972,39.5789,2
3a0e3effba94cd2636933ce717298774,harmonics/att/harmonics_att_np203_secondary.txt,"Ras Kizimkazi, Tanzania",-6.4764,39.4956,2
4c63a395ac88299bc2ec733a286fb24b,harmonics/att/harmonics_att_np203_secondary.txt,"Plettenberg Bay, South Africa",-34.052,23.3786,2
4c63a395ac88299bc2ec733a286fb24b,harmonics/att/harmonics_att_np203_secondary.txt,"Cape St. Francis, South Africa",-34.2073,24.8361,2
4e205710a174ba2ab6b56f76c8a85e75,harmonics/att/harmonics_att_np203_secondary.txt,"Pangani, Tanzania",-5.4314,38.9818,2
4e205710a174ba2ab6b56f76c8a85e75,harmonics/att/harmonics_att_np203_secondary.txt,"Tanga, Tanzania",-5.0571,39.1292,2
569f9972265ad0361389da985f2f5ce3,harmonics/att/harmonics_att_np203_secondary.txt,"Horena (Bay of Anfile), Eritrea",14.785,40.735,2
569f9972265ad0361389da985f2f5ce3,harmonics/att/harmonics_att_np203_secondary.txt,"Jazirat Antufash / Tiqfash, Yemen",15.7154,42.4829,2
5779a596acd727b1f171d4bc8503719c,harmonics/att/harmonics_att_np203_secondary.txt,"Al-Seeb (As Sib), Oman",23.6895,58.1786,2
5779a596acd727b1f171d4bc8503719c,harmonics/att/harmonics_att_np203_secondary.txt,"Suhar (Sohar), Oman",24.3796,56.7393,2
694ecd36f34d53d371c050144244e6ea,harmonics/att/harmonics_att_np203_secondary.txt,"Sainte-Luce, Madagascar",-24.7739,47.201,1
9e508e7bbf317cf2b489c8499b070475,harmonics/att/harmonics_att_np203_secondary.txt,"Marsa Sha'b, Egypt",22.85,35.783,2
9e508e7bbf317cf2b489c8499b070475,harmonics/att/harmonics_att_np203_secondary.txt,"Al Hasani (Umluj), Saudi Arabia",24.9736,37.0977,2
