hafen,name,datei,km,quelle,rms_cm,hw_min,nw_min,konst
Funchal,"Funchal, Madeira, Portugal",harmonics_att_np208.txt,0.23,ADMIRALTY Tide Tables Vol.8 (NP208,13.3,-1.2,2.4,M2 x1.01  +2  S2 x1.04  -2
Funchal,"Funchal, Madeira, Portugal",harmonics_noaa_eutt.txt,0.23,NOAA Tide Tables Europe & West Coa,6.3,-2.7,-0.0,M2 x1.00  -1  S2 x1.01  +2
Funchal,"Funchal, Madeira, Portugal",harmonics_ticon4_worldwide.txt,0.23,TICON-4 (GESLA-4 harmonic analysis,3.6,0.6,-1.3,M2 x1.01  +1  S2 x1.02  -0
Vila do Porto (Ilha de Santa Maria),"Vila do Porto (Santa Maria), Açores, Portugal",harmonics_att_np208.txt,0.26,ADMIRALTY Tide Tables Vol.8 (NP208,11.6,0.6,1.9,M2 x0.95 +64  S2 x1.04 +63
Vila do Porto (Ilha de Santa Maria),"Vila do Porto (Santa Maria), Açores, Portugal",harmonics-1997-05-25_mod.txt,0.26,,6.7,2.2,2.2,M2 x0.96 +64  S2 x1.03 +63
Vila do Porto (Ilha de Santa Maria),"Vila do Porto (Santa Maria), Açores, Portugal",harmonics_noaa_eutt.txt,0.26,NOAA Tide Tables Europe & West Coa,11.3,-8.4,-7.2,M2 x1.01 +54  S2 x0.85 +55
Ponta Delgada (Ilha de S. Miguel),"Ponta Delgada (São Miguel), Açores, Portugal",harmonics_att_np208.txt,0.05,ADMIRALTY Tide Tables Vol.8 (NP208,9.5,-5.4,-6.1,M2 x0.99 +56  S2 x0.96 +56
Ponta Delgada (Ilha de S. Miguel),"Ponta Delgada (São Miguel), Açores, Portugal",harmonics_ticon4_worldwide.txt,0.05,TICON-4 (GESLA-4 harmonic analysis,4.8,-2.0,-2.7,M2 x1.00 +59  S2 x0.99 +58
Ponta Delgada (Ilha de S. Miguel),"Ponta Delgada (São Miguel), Açores, Portugal",harmonics_utide_observations.txt,0.05,Derived from UHSLC data with UTide,5.3,-0.4,-0.5,M2 x0.98 +61  S2 x0.99 +60
Angra do Heroísmo (Ilha Terceira),"Angra do Heroísmo (Terceira), Açores, Portugal",harmonics_att_np208_secondary.txt,0.62,ADMIRALTY Tide Tables Vol.8 (NP208,6.0,-3.6,-4.7,M2 x0.92 +56  S2 x0.92 +56
Angra do Heroísmo (Ilha Terceira),"Angra do Heroísmo (Terceira), Açores, Portugal",harmonics_noaa_eutt.txt,0.62,NOAA Tide Tables Europe & West Coa,6.1,-1.9,-2.7,M2 x1.07 +58  S2 x1.12 +58
Angra do Heroísmo (Ilha Terceira),"Angra do Heroísmo (Terceira), Açores, Portugal",harmonics_ticon4_worldwide.txt,0.62,TICON-4 (GESLA-4 harmonic analysis,4.0,-1.1,-1.3,M2 x1.00 +59  S2 x1.01 +58
Angra do Heroísmo (Ilha Terceira),"Angra do Heroísmo (Terceira), Açores, Portugal",harmonics_utide_observations.txt,0.62,Derived from UHSLC data with UTide,4.1,-0.5,-1.3,M2 x1.00 +59  S2 x1.01 +57
Horta (Ilha do Faial),"Horta (Faial), Açores, Portugal",harmonics_att_np208_secondary.txt,0.1,ADMIRALTY Tide Tables Vol.8 (NP208,5.0,8.9,7.7,M2 x0.98 +69  S2 x0.97 +72
Horta (Ilha do Faial),"Horta (Faial), Açores, Portugal",harmonics-1997-05-25_mod.txt,0.1,,5.0,7.0,5.2,M2 x0.97 +68  S2 x0.99 +58
Horta (Ilha do Faial),"Horta (Faial), Açores, Portugal",harmonics_noaa_eutt.txt,0.1,NOAA Tide Tables Europe & West Coa,6.4,9.8,8.4,M2 x1.07 +69  S2 x1.21 +72
Horta (Ilha do Faial),"Horta (Faial), Açores, Portugal",harmonics_utide_observations.txt,0.1,Derived from UHSLC data with UTide,4.8,2.2,-0.7,M2 x0.99 +61  S2 x1.00 +61
Lajes das Flores (Ilha das Flores),"Lajes das Flores, Açores, Portugal",harmonics_att_np208_secondary.txt,0.02,ADMIRALTY Tide Tables Vol.8 (NP208,4.4,-1.2,0.2,M2 x1.01 +60  S2 x1.03 +63
Lajes das Flores (Ilha das Flores),"Lajes das Flores, Açores, Portugal",harmonics_ticon4_worldwide.txt,0.02,TICON-4 (GESLA-4 harmonic analysis,3.5,0.3,0.4,M2 x1.00 +61  S2 x1.00 +61
Lajes das Flores (Ilha das Flores),"Lajes das Flores, Açores, Portugal",harmonics_utide_observations.txt,0.02,Derived from UHSLC data with UTide,3.5,0.7,0.2,M2 x1.00 +61  S2 x1.00 +61
Lajes das Flores (Ilha das Flores),"Lajes das Flores, Açores, Portugal",harmonics_noaa_eutt.txt,0.03,NOAA Tide Tables Europe & West Coa,7.3,-0.6,1.2,M2 x1.13 +61  S2 x1.25 +64
