# ATT NP202, Ausgabe 2015 -- TABLE IV, Buchseiten xxxvi und xxxvii
# "Height in metres of Chart Datum relative to the Land Levelling System in
#  countries outside the United Kingdom"
#
# Der Wert ist die Hoehe des Kartennulls UEBER dem Landeshoehensystem, also
# meist negativ (Kartennull liegt unter dem Landesnull). Umrechnung einer
# XTide-Vorhersage h (ueber Kartennull) in Landeshoehe:
#     h_Land = h + height
# Beispiel Cuxhaven: 3.20 m ueber KN  ->  3.20 + (-2.00) = 1.20 m ueber NN.
#
# Seite xxxvi deckt 1386-1675, Seite xxxvii 1676-1992 ab. Andere Nummern des
# Bandes stehen NICHT in Table IV -- die Tabelle fuehrt nur die Laender mit
# amtlichem Landeshoehensystem im Bereich Daenemark bis Aegypten.
# Am 04.08.2026 Spalte fuer Spalte gegen den Scan gelesen (2 Durchgaenge,
# der zweite bei 1500 px Spaltenbreite), keine Abweichung.
#
# att	name	height	datum	std
#   height = Hoehe Kartennull ueber Landesnull, Meter, Vorzeichen wie im Buch
#   datum  = Kuerzel des Landeshoehensystems, siehe Legende am Dateiende
#   std    = S, wenn das Buch den Namen fett setzt (Standardhafen des Bandes)
#
1564	Oostende	-0.50	TAW	S
1565	Nieuwpoort	-0.65	TAW	-
1568	Dunkerque	-2.69	IGN	S
1570	Calais	-3.46	IGN	S
1572	Boulogne-sur-Mer	-4.39	IGN	S
1579	Dieppe	-4.45	IGN	S
1581	Fecamp	-4.43	IGN	-
1581b	Antifer	-4.41	IGN	-
1582	Le Havre	-4.38	IGN	S
1600	Cherbourg	-3.29	IGN	S
1614	St Malo	-6.29	IGN	S
1620	Paimpol	-5.64	IGN	-
1629	Morlaix	-4.77	IGN	-
1630	Roscoff	-4.76	IGN	-
1636	Le Conquet	-3.48	IGN	-
1638	Brest	-3.64	IGN	S
1640	Douarnenez	-3.28	IGN	-
1643	Audierne	-2.59	IGN	-
1648	Concarneau	-2.53	IGN	-
1650	Port Louis	-2.58	IGN	-
1651	Lorient (Arsenal)	-2.63	IGN	S
1652	Port Tudy	-2.73	IGN	-
1656	Port Navalo	-2.62	IGN	-
1660	Penerf	-2.93	IGN	-
1664	St. Nazaire	-3.16	IGN	-
1667a	Pointe de Saint-Gildas	-3.08	IGN	-
1673	Les Sables d'Olonne	-2.83	IGN	-
1675	La Rochelle-La Pallice	-3.50	IGN	S
1676	La Rochelle	-3.50	IGN	-
1681	Pointe de Grave	-2.83	IGN	S
1682	Richard	-2.82	IGN	-
1683	Lamena	-2.81	IGN	-
1684	Pauillac	-2.50	IGN	-
1685	La Reuille	-2.03	IGN	-
1686	Le Marquis	-1.88	IGN	-
1687	Bordeaux	-1.81	IGN	-
1692	Boucau	-2.14	IGN	-
1693	Socoa	-2.17	IGN	-
1756	Rio Guadalquivir Bar	-1.65	A	-
1757	Bonanza	-1.41	A	-
1758	Corta de los Jeronimos	-0.60	A	-
1770	Gibraltar	-0.25	A	S
1782	Port Vendres	-0.39	IGN	-
1785	Marseilles	-0.33	IGN	-
1786	Toulon	-0.25	IGN	-
1789	Nice	-0.33	IGN	-
1790	Monte Carlo	-0.35	IGN	-
1794	Ajaccio	-0.37	NGC	-
1820	Arzew	-0.34	NGA	-
1822	Alger (Algiers)	-0.34	NGA	-
1880	Valletta	-0.44	M	-
1985	Famagusta	-0.39	C	-
1988	Beirut	-0.20	LND	-
1988a	Sidon	-0.30	LND	-
1989	Hefa (Haifa)	-0.24	I	-
1990	Ashdod	-0.24	I	-
1991	Bur Sa'id (Port Said)	+17.60	S	-
1992	El Iskandariya (Alexandria)	-0.34	E	-
#
# LEGENDE DER LANDESHOEHENSYSTEME (Notes on Land Levelling Systems, S. xxxvii)
# A    Alicante Datum -- Mittelwasser in Alicante aus Beobachtungen 1870-1872.
# C    Land Survey Datum of Cyprus -- naeherungsweise Mittelwasser.
# DNN  Dansk Normal Null -- aus dem Mittelwasser an zehn daenischen Pegeln
#      zwischen 1890 und 1900 bestimmt.
# E    Survey of Egypt Datum.
# I    Israel Survey Datum.
# IGN  Nivellement General de la France (NGF), auch Lallemand-System, beruht
#      auf dem Mittelwasser von Marseille.
# LND  Lebanese National Datum.
# M    Ordnance Datum (Malta) -- willkuerlich gelegt, naeherungsweise MSL.
# NAP  Normaal Amsterdams Peil -- der Stand, bis zu dem das Wasser der
#      Zuiderzee frueher in die Amsterdamer Grachten einlaufen durfte; seit
#      1891 niederlaendisches Landeshoehensystem.
# NGA  Nivellement General de l'Algerie.
# NGC  Nivellement General de la Corse.
# NN   Normal Null -- Bezugsniveau der Bundesrepublik Deutschland.
# S    Suez Canal Datum.
# TAW  Tweede Algemene Waterpassing -- liegt 0.11 m ueber NKD in Prosperpolder
#      und 0.11 m ueber dem ersten Nivellementsnetz des belgischen
#      Ministeriums fuer oeffentliche Arbeiten an der Kueste. Entspricht
#      naeherungsweise dem Niedrigwasser der belgischen Kueste.
#
# ANMERKUNGEN
# - 1475c Nieuwe Statenzijl traegt trotz niederlaendischen Namens NN: der Ort
#   liegt an der deutsch-niederlaendischen Grenze im Ems-Aestuar, das Buch
#   bezieht ihn auf das deutsche System. So gedruckt, nicht korrigiert.
# - 1539d Gentbrugge und 1991 Bur Sa'id sind die beiden positiven Werte:
#   dort liegt das Kartennull UEBER dem Landesnull. Bei Port Said ist der
#   Bezug das Suez Canal Datum, das weit unter dem Meeresspiegel liegt.
# - 1429 Nordstrand: das Buch setzt den Namen zweizeilig und schreibt ihn
#   ohne Umlaut ("Strucklahnungshorn"); amtlich Strucklahnungshoern.
