# NP203 Ausgabe 2002, Part II -- Sekundaerhaefen des suedchinesischen/indonesischen
# Gebiets, die in Part III KEINE eigenen harmonischen Konstanten haben und
# deshalb per Transfer vom Bezugshafen abgeleitet werden muessen.
# Quelle: tide_tables/att/np203_2002_vollband.pdf, PDF-Seite = Buchseite - 164.
# Visuell von den Scanseiten gelesen; die OCR (tide_tables/yemen/ocr/part2_full.txt)
# ist in diesem Bereich unbrauchbar und dient nur als Suchraster.
#
# Zwei Differenztypen, je nach Gebiet -- steht in Spalte "typ":
#   S = semidiurn:  Zeiten MHW/MLW,  Hoehen MHWS MHWN MLWN MLWS
#   M = gemischt:   Zeiten MHW/LLW,  Hoehen MHHW MLHW MHLW MLLW
#                   (so gedruckt im Sungai-Sarawak- und Mekong-Gebiet)
#   D = diurn:      Zeiten HHW/LLW,  Hoehen MHHW MLHW MHLW MLLW
# "-" = im Buch ein Kreis (No data) -> Wert fehlt, nicht transferierbar.
# "~" = im Buch ein Dreieck ("Tide is usually diurnal") -> Groesse ist dort
#       nicht anwendbar, NICHT fehlend; MHHW/MLLW sind gedruckt und die
#       Station ist mit diurnaler Behandlung sehr wohl transferierbar.
#
# Spalten:
# att  name  ref_att  zone  typ  lat_g lat_m NS  lon_g lon_m EW  dt1 dt2  dh1 dh2 dh3 dh4  ml_z0  flags
#
# flags: x = ML inferred, * = see notes on page 310, B/I/U = Vorhersage in
#        Bangladesh/Indian/United States Tide Tables, t/d = wie im Buch.

# --- PDF 117 (Buch 281), Bangladesh, Zone -0600, Bezug 4496 Pussur River Entrance (Hiran Point)
4731	Tanjung Surat	4738	-0800	D	1	28	N	104	02	E	+0043	+0052	+0.8	+0.2	-0.1	-0.1	1.8	x
4733	Tanjung Serindet	4738	-0800	D	1	31	N	104	06	E	+0038	+0050	+1.0	+0.4	-0.1	-0.2	1.9	x
4735	Tanjung Pengelih	4738	-0800	D	1	22	N	104	05	E	+0032	+0041	+0.7	+0.2	0.0	+0.1	1.8	x

# --- PDF 123 (Buch 287) und PDF 124 (Buch 288): 30 bzw. 36 Eintraege,
#     alle mit eigenen Konstanten in Part III. Keine Transfers.

# --- PDF 125 (Buch 289), Malaysia Ostkueste, Zone -0800, Bezug diurn gefuehrt
4911	Geting	4901	-0800	D	6	14	N	102	06	E	+0350	+0340	-0.9	-0.6	-0.6	-0.2	0.85	Mt

# --- PDF 126 (Buch 290), Palawan/Philippinen, Zone -0800, Bezug 5137 Labuan
4925	Paly Island	5137	-0800	D	10	40	N	119	42	E	-0010	-0005	-0.8	-0.9	-1.0	-0.7	0.7	ax
4932	Cuyo Island	5137	-0800	D	10	51	N	121	00	E	-0020	-0039	-1.1	-0.9	-1.0	-0.7	0.7	x

# --- PDF 127 (Buch 291): 29 Eintraege, alle mit eigenen Konstanten. Keine Transfers.

# --- PDF 128 (Buch 292), Luzon, Zone -0800
# 4990 Port Masinloc: MLHW/MHLW im Buch als Dreieck -> "~", nicht anwendbar
#      statt fehlend; MHHW/MLLW und beide Zeiten sind da, Transfer moeglich.
4990	Port Masinloc	4987	-0800	D	15	31	N	119	55	E	-0050	-0025	-0.1	~	~	+0.1	0.4	tx
