name,datei,lat,lon,land_im_namen,km_zum_genannten,liegt_in,km_dorthin,region,entscheidung
"Sanniang Wan, Vietnam",harmonics/noaa/harmonics_noaa_cptt.txt,21.6333,108.7833,Vietnam,83.4,China,0.3,Guangxi,
"Clipperton, France",harmonics/utide/harmonics_utide_tidetables.txt,10.2882,-109.2040,France,,Clipperton Island,0.7,Clipperton Island,
"Guinchos Cay, Bahamas",harmonics/classic/harmonics-2004-06-14_mod.txt,22.7500,-78.1167,Bahamas,115.9,Cuba,33.3,Ciego de Ávila,
"Guinchos Cay, Bahamas",harmonics/noaa/harmonics_noaa_carib.txt,22.7500,-78.1167,Bahamas,115.9,Cuba,33.3,Ciego de Ávila,
"Dzaoudzi, Comoros",harmonics/att/harmonics_att_np203_secondary.txt,-12.7829,45.2539,Comoros,91.3,France,2.3,Mayotte,
"Îles Glorieuses, Comoros",harmonics/att/harmonics_att_np203_secondary.txt,-11.5667,47.3117,Comoros,311.4,French Southern and Antarctic Lands,0.7,Iles Eparses de l'ocean Indien,
"Gibraltar, United Kingdom",harmonics/ticon/harmonics_ticon4_worldwide.txt,36.1487,-5.3654,United Kingdom,1529.7,Gibraltar,1.1,Gibraltar,
"Qaqortoq, Denmark",harmonics/ticon/harmonics_ticon4_worldwide.txt,60.7170,-46.0330,Denmark,2976.3,Greenland,1.2,Kommune Kujalleq,
"Galathea Bay, Indonesia",harmonics/noaa/harmonics_noaa_cptt.txt,6.7833,93.8500,Indonesia,172.5,India,0.3,Andaman and Nicobar,
"Nankauri Harbor, Indonesia",harmonics/noaa/harmonics_noaa_cptt.txt,8.0333,93.5500,Indonesia,298.4,India,1.5,Andaman and Nicobar,
"Horsburgh Lighthouse, Singapore",harmonics/utide/harmonics_utide_tidetables.txt,1.3299,104.4056,Singapore,44.9,Indonesia,14.1,Kepulauan Riau,
"Pedra Branca (Horsburgh Lighthouse), Singapore",harmonics/classic/harmonics-1997-05-25_mod.txt,1.3299,104.4056,Singapore,44.9,Indonesia,14.1,Kepulauan Riau,
"Pulau Jemur, Malaysia",harmonics/att/harmonics_att_np203_scs.txt,2.8833,100.5667,Malaysia,76.2,Indonesia,43.0,Sumatera Utara,
"WestwaveWaveBuoy, United Kingdom Current",harmonics/utide/harmonics_utide_current_observations.txt,52.7547,-9.7037,United Kingdom,203.8,Ireland,5.9,Clare,
"Boujdour, Western Sahara",harmonics/utide/harmonics_utide_tidetables.txt,26.1161,-14.4967,Western Sahara,236.5,Morocco,1.9,Laâyoune - Boujdour - Sakia El Hamra,
"Dakhla Bar, Western Sahara",harmonics/att/harmonics_att_np208.txt,23.6050,-15.9900,Western Sahara,200.2,Morocco,4.5,Oued el Dahab,
"Dakhla Port, Western Sahara",harmonics/utide/harmonics_utide_tidetables.txt,23.6615,-15.9410,Western Sahara,196.5,Morocco,2.6,Oued el Dahab,
"Dakhla, Western Sahara",harmonics/classic/harmonics-1997-05-25_mod.txt,23.6865,-15.9370,Western Sahara,196.6,Morocco,1.1,Oued el Dahab,
"Dakhla, Western Sahara",harmonics/noaa/harmonics_noaa_eutt.txt,23.6965,-15.9194,Western Sahara,195.1,Morocco,2.1,Oued el Dahab,
"El Marsa (Laayoune), Western Sahara",harmonics/att/harmonics_att_np208_secondary.txt,27.0932,-13.4264,Western Sahara,181.6,Morocco,4.7,Laâyoune - Boujdour - Sakia El Hamra,
"El Marsa (Laayoune), Western Sahara",harmonics/utide/harmonics_utide_tidetables.txt,27.0932,-13.4264,Western Sahara,181.6,Morocco,4.7,Laâyoune - Boujdour - Sakia El Hamra,
"Islas Chafarinas, Spain",harmonics/att/harmonics_att_np208.txt,35.1830,-2.4330,Spain,44.8,Morocco,4.0,Oriental,
"Lamhiriz, Western Sahara",harmonics/utide/harmonics_utide_tidetables.txt,22.1938,-16.7729,Western Sahara,80.5,Morocco,1.4,Oued el Dahab,
"Lassarga (Rio de Oro), Western Sahara",harmonics/noaa/harmonics_noaa_eutt.txt,23.6333,-15.9833,Western Sahara,200.3,Morocco,1.8,Oued el Dahab,
"Jangjeon, South Korea",harmonics/att/harmonics_att_np204_secondary.txt,38.7500,128.2000,South Korea,19.0,North Korea,2.6,Kangwŏn-do,
"Tungsan-got, South Korea",harmonics/noaa/harmonics_noaa_cptt.txt,37.6833,125.3667,South Korea,27.5,North Korea,0.6,Hwanghae-namdo,
"Blakeney Island, Solomon Islands",harmonics/noaa/harmonics_noaa_cptt.txt,-10.4167,151.2167,Solomon Islands,577.4,Papua New Guinea,24.1,Milne Bay,
"Bramble Cay, Coral Sea, Australia",harmonics/classic/harmonics-2004-06-14_mod.txt,-9.1333,143.8667,Australia,122.1,Papua New Guinea,51.4,Western,
"Merrie England Shoals, Queensland, Australia",harmonics/utide/harmonics_utide_tidetables.txt,-9.1667,143.4667,Australia,78.8,Papua New Guinea,21.1,Western,
"Mutacomal Reef, Queensland, Australia",harmonics/utide/harmonics_utide_tidetables.txt,-9.2667,143.2000,Australia,47.6,Papua New Guinea,23.1,Western,
"Shortland Island, Solomon Islands",harmonics/classic/harmonics-2004-06-14_mod.txt,-10.5333,151.0833,Solomon Islands,596.7,Papua New Guinea,7.2,Milne Bay,
"Stephens Island, Queensland, Australia",harmonics/utide/harmonics_utide_tidetables.txt,-9.5000,143.5500,Australia,85.0,Papua New Guinea,58.3,Western,
"Unnamed Cay, Queensland, Australia",harmonics/utide/harmonics_utide_tidetables.txt,-9.3667,143.3333,Australia,60.4,Papua New Guinea,38.1,Western,
"Dukhan, United Arab Emirates",harmonics/att/harmonics_att_np203_secondary.txt,25.4333,50.7500,United Arab Emirates,133.4,Qatar,1.5,Ar Rayyān,
"Umais, Bahrain",harmonics/att/harmonics_att_np203_secondary.txt,25.9833,50.8833,Bahrain,26.5,Qatar,10.1,Madinat ach Shamal,
"Kerefe River, Liberia",harmonics/noaa/harmonics_noaa_eutt.txt,7.0000,-11.6500,Liberia,21.1,Sierra Leone,2.3,Southern,
"Pulau Bukum, Indonesia",harmonics/noaa/harmonics_noaa_cptt.txt,1.2277,103.7781,Indonesia,20.6,Singapore,4.6,South West,
"King Edward, United Kingdom",harmonics/ticon/harmonics_ticon4_worldwide.txt,-54.2833,-36.4968,United Kingdom,,South Georgia and the Islands,0.4,South Georgia and the South Sandwich Islands,
"Royal Bay (Moltke Harbor), United Kingdom",harmonics/noaa/harmonics_noaa_amtt.txt,-54.5167,-36.0167,United Kingdom,,South Georgia and the Islands,1.7,South Georgia and the South Sandwich Islands,
"Nam Yet (Namyit Island, Spratly Islands), Vietnam",harmonics/utide/harmonics_utide_tidetables.txt,10.1833,114.3500,Vietnam,583.3,Spratly Is.,1.0,Spratly Islands,
"Shuangzijiao (Nansha Qundao), Hainan, China",harmonics/utide/harmonics_utide_tidetables.txt,11.4500,114.3167,China,580.6,Spratly Is.,44.5,Spratly Islands,
"Song Tu Tay (Southwest Cay, Spratly Islands), Vietnam",harmonics/utide/harmonics_utide_tidetables.txt,11.4167,114.3000,Vietnam,542.9,Spratly Is.,40.7,Spratly Islands,
"Ch'eng-kuang-ao Po-ti, Okinawa, Japan",harmonics/noaa/harmonics_noaa_cptt.txt,23.1333,121.4000,Japan,214.1,Taiwan,1.4,Taitung,
"Hua-lien Kang, Okinawa, Japan",harmonics/noaa/harmonics_noaa_cptt.txt,23.9667,121.6167,Japan,144.2,Taiwan,1.0,Hualien,
"Megisti (Kastellorizo), Greece",harmonics/att/harmonics_att_np208.txt,36.1505,29.5924,Greece,124.0,Turkey,3.8,Antalya,
"Christmas Island, Indonesia",harmonics/noaa/harmonics_noaa_cptt.txt,-10.4167,105.7167,Indonesia,345.0,australia,2.1,Christmas Island,
