tafel,satz,datei,km,tafel_test_cm,tafel_dt_min,reihe,reihe_km,echt_cm,echt_versatz_min,eigen,nachbar_pct,empfehlung
Workington,"Workington (Cumbria), England, United Kingdom",harmonics_noaa_eutt.txt,0.09,34.4,19.2,,,,,,,
Workington,"Workington (Cumbria), England, United Kingdom",harmonics_ticon4_worldwide.txt,0.09,11.0,2.9,,,,,,4.7,
Seacombe (Alfred Dock),NEU tidetimes-Fit,(neu),0.0,41.1,6.2,,,,,,12.7,nicht aufnehmen (unentschieden)
Seacombe (Alfred Dock),"Birkenhead (Alfred Dock), England, United Kingdom",harmonics_utide_tidetables.txt,0.53,42.2,6.4,,,,,,12.7,
Port Erin,NEU tidetimes-Fit,(neu),0.0,22.7,3.4,IOM2309.txt,0.25,19.3,5,,5.6,nicht aufnehmen (Pegel)
Port Erin,"Port Erin, Isle of Man",harmonics_ticon4_worldwide.txt,0.23,6.6,1.8,IOM2309.txt,0.25,3.3,0,,3.8,
Port Erin,"Port Saint Mary, Isle of Man",harmonics_utide_tidetables.txt,2.56,27.4,6.2,IOM2309.txt,0.25,24.5,0,,,
Llandudno,NEU tidetimes-Fit,(neu),0.0,34.5,5.3,LLA2501.txt,0.57,29.1,5,,3.6,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Llandudno,"Llandudno, Wales, United Kingdom",harmonics_ticon4_worldwide.txt,0.57,7.4,2.5,LLA2501.txt,0.57,5.1,0,,6.3,
Llandudno,"Llandudno, England, United Kingdom",harmonics_utide_observations.txt,0.57,8.0,1.5,LLA2501.txt,0.57,4.0,0,ja,,
Holyhead,NEU tidetimes-Fit,(neu),0.0,22.3,4.2,HOL2309.txt,0.4,19.7,5,,13.7,nicht aufnehmen (Pegel)
Holyhead,"Holyhead, Wales, United Kingdom",harmonics_ticon4_worldwide.txt,0.39,5.1,2.7,HOL2309.txt,0.4,2.9,0,,15.1,
Barmouth,NEU tidetimes-Fit,(neu),0.0,16.1,9.7,BAR2309.txt,0.42,19.4,15,,4.3,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Barmouth,"Barmouth, Wales, United Kingdom",harmonics_ticon4_worldwide.txt,0.45,8.5,9.0,BAR2309.txt,0.42,6.8,0,,4.5,
Barmouth,"Barmouth, Wales, United Kingdom",harmonics_utide_observations.txt,0.45,11.8,4.9,BAR2309.txt,0.42,7.4,0,ja,,
Milford Haven,NEU tidetimes-Fit,(neu),0.0,28.9,3.1,MHA2309.txt,0.72,23.9,0,,4.9,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Milford Haven,"Milford Haven, Wales, United Kingdom",harmonics_ticon4_worldwide.txt,0.71,9.6,2.1,MHA2309.txt,0.72,3.8,0,,5.7,
