np203_no,name_alt,lat,lon,kandidat,art,km,schrift,buchhafen,buchhafen_nr,buchhafen_km,name_neu
426a,"Khafji, Saudi Arabia Current",28.4517,48.5950,Dawhat al `Asli,bay,13.87,,"Khafji, Saudi Arabia",4260f,7.4,
426b,"Khafji Oilfield, Saudi Arabia Current",28.4750,48.9367,,,,,"Khafji Oilfield, Saudi Arabia",4260d,1.0,
426c,"Khafji N, Saudi Arabia Current",28.5250,48.7333,,,,,"Jazirat Umm al Maradim, Kuwait",4260g,18.6,
426d,"Khafji NE, Saudi Arabia Current",28.6017,48.9983,,,,,"Hout Oilfield, Saudi Arabia",4260e,9.5,
426e,"Khowr-e Musa, Iran Current",29.9467,49.1267,,,,,"Shatt al Arab Outer Bar, Iraq",4268,41.5,
429,"Nakhiloo / Thamadoo S, Iran Current",27.4483,51.4183,,,,,"Jazireh-ye Lavan, Iran",4290,208.0,
429a,"Lavan / Hendorabi S, Iran Current",26.5833,53.4167,,,,,"Jazireh-ye Lavan, Iran",4290,23.6,
470,Singapore Strait (NP203 470) Current,1.2333,103.3167,Marko,strait,12.82,,"Kukup, Malaysia",4707a,18.5,"Posal Piya (Singapore Strait), Indonesia Current"
470,Singapore Strait (NP203 470) Current,1.2333,103.3167,Tanjung Puluh,cape,12.34,,"Kukup, Malaysia",4707a,18.5,
470,Singapore Strait (NP203 470) Current,1.2333,103.3167,Tanjung Selayang,cape,12.51,,"Kukup, Malaysia",4707a,18.5,
471,Singapore Strait (NP203 471) Current,1.1367,103.6100,Main Strait,strait,13.97,,"Sultan Shoal, Singapore",4714,11.6,
471,Singapore Strait (NP203 471) Current,1.1367,103.6100,Selat Pawai,strait,14.07,,"Sultan Shoal, Singapore",4714,11.6,
471,Singapore Strait (NP203 471) Current,1.1367,103.6100,Selat Salu,strait,14.19,,"Sultan Shoal, Singapore",4714,11.6,
471a,Singapore Strait (NP203 471a) Current,1.1217,103.7167,Phillip Strait,strait,3.70,,"Raffles Lighthouse, Singapore",4717,6.2,"Pulau Takong Besar (Singapore Strait), Indonesia Current"
471a,Singapore Strait (NP203 471a) Current,1.1217,103.7167,Main Strait,strait,4.27,,"Raffles Lighthouse, Singapore",4717,6.2,
471a,Singapore Strait (NP203 471a) Current,1.1217,103.7167,Selat Biola,strait,5.58,,"Raffles Lighthouse, Singapore",4717,6.2,
471b,"Singapore Strait, Riau Current",1.0000,103.5667,Pulau Parit,island,14.31,,"Sultan Shoal, Singapore",4714,27.5,
471b,"Singapore Strait, Riau Current",1.0000,103.5667,Mantaras Kecil,island,14.72,,"Sultan Shoal, Singapore",4714,27.5,
471b,"Singapore Strait, Riau Current",1.0000,103.5667,Pulau Pandan Kecil,coastline,9.67,,"Sultan Shoal, Singapore",4714,27.5,
472,Singapore Strait (NP203 472) Current,1.0950,103.7300,Phillip Strait,strait,1.13,,"Sembawang Shipyard, Singapore",4725,42.9,"Takong Kecil Lighthouse (Singapore Strait), Indonesia Current"
472,Singapore Strait (NP203 472) Current,1.0950,103.7300,Main Strait,strait,6.78,,"Sembawang Shipyard, Singapore",4725,42.9,
472,Singapore Strait (NP203 472) Current,1.0950,103.7300,Selat Biola,strait,8.01,,"Sembawang Shipyard, Singapore",4725,42.9,
472a,Singapore Strait (NP203 472a) Current,1.2333,103.8150,Singapore Strait,strait,2.75,,"Sembawang Shipyard, Singapore",4725,26.0,"Terumbu Selegi / Sentosa (Singapore Strait), Singapore Current"
