abstand_km,kennung_art,kennung,station,lat,lon,katalog_name,katalog_lat,katalog_lon,befund,datei,n_kennungen
23.9,ioc_code,ferg,"Townsville, Queensland, Australia",-19.25,146.833,Cape_Ferguson_AU,-19.2773,147.0584,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,10
23.9,ptwc_code,ferg,"Townsville, Queensland, Australia",-19.25,146.833,Cape_Ferguson_AU,-19.2773,147.0584,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,10
23.9,psmsl_id,1492,"Townsville, Queensland, Australia",-19.25,146.833,CAPE FERGUSON,-19.2773,147.0584,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,10
23.8,ssc_id,ferg,"Townsville, Queensland, Australia",-19.25,146.833,Cape Ferguson,-19.2767,147.0583,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,10
23.8,uhslc_id,343,"Townsville, Queensland, Australia",-19.25,146.833,Cape Ferguson,-19.2767,147.0583,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,10
23.2,psmsl_id,248,"Singapore (Tanjong Pagar), Singapore",1.2615,103.8521,JOHOR BAHRU,1.4617,103.7917,Nachbarpegel -- Kennung pruefen,harmonics/ticon/harmonics_ticon4_worldwide.txt,11
23.1,ssc_id,meul,"Meulaboh, Sumatra, Indonesia",4.1272,96.1318,Meulaboh,4.3167,96.2167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
23.1,uhslc_id,914,"Meulaboh, Sumatra, Indonesia",4.1272,96.1318,Meulaboh,4.3167,96.2167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
23.0,psmsl_id,851,"Brisbane Bar, Queensland, Australia",-27.3608,153.1719,BRISBANE II,-27.5000,153.0000,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,5
23.0,psmsl_id,851,"Brisbane Bar, Queensland, Australia",-27.3608,153.1718,BRISBANE II,-27.5000,153.0000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
23.0,ioc_code,lton,"Loreto, Baja California Sur, Mexico",26.0146,-111.3388,Loreto,25.8100,-111.3075,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
23.0,ptwc_code,lton,"Loreto, Baja California Sur, Mexico",26.0146,-111.3388,Loreto,25.8100,-111.3075,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
22.9,psmsl_id,724,"Singapore (Tanjong Pagar), Singapore",1.2615,103.8521,SEMBAWANG,1.4667,103.8333,Nachbarpegel -- Kennung pruefen,harmonics/ticon/harmonics_ticon4_worldwide.txt,11
21.5,ioc_code,pcfl,"Panama City Beach (outside), St. Andrew Bay, Florida",30.2138,-85.8786,Panama_City_FL,30.1520,-85.6670,Position pruefen (Name passt),harmonics/classic/harmonics-dwf-20251228-free.txt,7
21.5,ptwc_code,pcfl,"Panama City Beach (outside), St. Andrew Bay, Florida",30.2138,-85.8786,Panama_City_FL,30.1520,-85.6670,Position pruefen (Name passt),harmonics/classic/harmonics-dwf-20251228-free.txt,7
21.5,psmsl_id,1641,"Panama City Beach (outside), St. Andrew Bay, Florida",30.2138,-85.8786,"PANAMA CITY, ST.ANDREWS BAY, FL",30.1517,-85.6667,Position pruefen (Name passt),harmonics/classic/harmonics-dwf-20251228-free.txt,7
21.0,psmsl_id,309,"Jakarta, Java, Indonesia",-6.117,106.85,JAKARTA,-6.1667,106.6667,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,8
19.5,uhslc_id,755,"Haulover Pier, N. Miami Beach, Florida",25.9033,-80.12,Virginia Key,25.7317,-80.1617,Nachbarpegel -- Kennung pruefen,harmonics/classic/harmonics-dwf-20251228-free.txt,5
19.4,psmsl_id,2024,"Funchal, Madeira, Portugal",32.6447,-16.9107,FUNCHAL B,32.6511,-17.1178,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
