tafel,name,lat,lon,scheitel,neu_rms_cm,neu_dt_min,bestand,bestand_datei,bestand_rms_cm,bestand_dt_min,saetze
Redkirk.json,Redkirk,54.9833333,-3.1,1857,8.1,11.7,"Redkirk (Gretna), Scotland, United Kingdom",harmonics_utide_tidetables.txt,86.5,25.1,1
Minehead.json,Minehead,51.2166667,-3.4666667,3729,8.0,6.4,"Minehead, England, United Kingdom",harmonics_utide_tidetables.txt,46.9,5.9,1
Porlock_Bay.json,Porlock Bay,51.2166667,-3.6333333,1778,8.0,7.2,"Porlock Bay, England, United Kingdom",harmonics_utide_tidetables.txt,46.5,6.2,1
Weston-Super-Mare.json,Weston-Super-Mare,51.35,-2.9833333,1774,8.0,8.3,"Weston-Super-Mare, England, United Kingdom",harmonics_utide_tidetables.txt,56.1,5.8,2
St._Catherine_Bay.json,St. Catherine Bay,49.2166667,-2.0166667,3729,7.9,8.1,"St. Catherine Bay, Jersey, Channel Islands",harmonics_utide_tidetables.txt,39.3,4.8,1
River_Neath_Entrance.json,River Neath Entrance,51.6166667,-3.85,1862,7.8,5.0,"River Neath Entrance, Wales, United Kingdom",harmonics_utide_tidetables.txt,24.1,2.1,1
Torduff_Point.json,Torduff Point,54.9666667,-3.15,1863,7.7,9.8,"Torduff Point, Scotland, United Kingdom",harmonics_utide_tidetables.txt,82.5,25.1,1
Bursledon.json,Bursledon,50.8833333,-1.3,5583,7.6,17.5,"Bursledon, England, United Kingdom",harmonics_utide_tidetables.txt,13.0,25.5,1
Redbridge.json,Redbridge,50.9166667,-1.4666667,5580,7.6,18.0,"Redbridge, England, United Kingdom",harmonics_utide_tidetables.txt,13.2,25.0,1
Warsash.json,Warsash,50.85,-1.3,5583,7.6,16.8,"Warsash, England, United Kingdom",harmonics_utide_tidetables.txt,13.1,25.0,1
Clovelly.json,Clovelly,51.0,-4.4,3729,7.5,6.8,"Clovelly, England, United Kingdom",harmonics_utide_tidetables.txt,34.8,3.4,1
Kew_Bridge.json,Kew Bridge,51.4833333,-0.2833333,3557,7.5,14.3,"Kew Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,60.4,19.9,1
Lundy.json,Lundy,51.1666667,-4.65,3726,7.5,6.2,"Lundy, England, United Kingdom",harmonics_utide_tidetables.txt,35.0,4.2,1
Bouley_Bay.json,Bouley Bay,49.25,-2.0833333,1782,7.4,9.2,"Bouley Bay, Jersey, Channel Islands",harmonics_utide_tidetables.txt,38.7,4.6,1
Burry_Port.json,Burry Port,51.6833333,-4.25,3725,7.4,7.0,"Burry Port, Wales, United Kingdom",harmonics_utide_tidetables.txt,34.5,3.2,1
Barry.json,Barry,51.3833333,-3.2666667,1778,7.3,7.1,"Barry, Wales, United Kingdom",harmonics-1997-05-25_mod.txt,34.2,9.0,2
Carmarthen.json,Carmarthen,51.85,-4.3,1798,7.1,4.3,"Carmarthen, Wales, United Kingdom",harmonics_utide_tidetables.txt,68.4,3.4,1
Ferryside.json,Ferryside,51.7666667,-4.3666667,1729,7.1,6.1,"Ferryside, Wales, United Kingdom",harmonics_utide_tidetables.txt,60.5,15.0,2
Stackpole_Quay.json,Stackpole Quay,51.6166667,-4.9,3725,7.1,7.6,"Stackpole Quay, Wales, United Kingdom",harmonics_utide_tidetables.txt,32.2,5.4,1
Annan_Waterfoot.json,Annan Waterfoot,54.9666667,-3.2666667,2162,7.0,10.5,"Annan Waterfoot, Scotland, United Kingdom",harmonics_utide_tidetables.txt,94.1,26.2,1
Richmond_Lock.json,Richmond Lock,51.4666667,-0.3166667,1544,7.0,12.1,"Richmond Lock, England, United Kingdom",harmonics_utide_tidetables.txt,33.8,10.4,1
Black_Tar.json,Black Tar,51.75,-4.9,3712,6.8,6.3,"Black Tar, Wales, United Kingdom",harmonics_utide_tidetables.txt,33.7,4.2,1
Flixborough_Wharf.json,Flixborough Wharf,53.6166667,-0.7,3511,6.7,8.5,"Flixborough Wharf, England, United Kingdom",harmonics_utide_tidetables.txt,61.9,18.8,1
Llanelli.json,Llanelli,51.6666667,-4.1666667,1862,6.7,5.2,"Llanelli, Wales, United Kingdom",harmonics_utide_tidetables.txt,23.2,2.1,1
Bridgwater.json,Bridgwater,51.1333333,-3.0,1864,6.6,4.0,"Bridgwater, England, United Kingdom",harmonics_utide_tidetables.txt,71.6,4.0,1
Bude.json,Bude,50.8333333,-4.55,1865,6.6,5.4,"Bude, England, United Kingdom",harmonics_utide_tidetables.txt,11.3,1.3,1
Calshot_Castle.json,Calshot Castle,50.8166667,-1.3,2640,6.6,12.5,"Calshot Castle, England, United Kingdom",harmonics_utide_tidetables.txt,11.7,23.5,2
Goole.json,Goole,53.7,-0.8666667,1744,6.6,7.2,"Goole, England, United Kingdom",harmonics_utide_tidetables.txt,31.1,16.3,2
Maseline_Pier.json,Maseline Pier,49.4333333,-2.35,3727,6.6,7.7,"Maseline Harbour, Sark, Channel Islands",harmonics_utide_tidetables.txt,33.1,3.9,1
Newquay.json,Newquay,50.4166667,-5.0833333,3711,6.6,6.6,"Newquay, England, United Kingdom",harmonics_utide_tidetables.txt,37.7,4.6,1
Blacktoft.json,Blacktoft,53.7,-0.7166667,3535,6.5,8.8,"Blacktoft (River Ouse), England, United Kingdom",harmonics_utide_tidetables.txt,58.8,17.5,1
Boscastle.json,Boscastle,50.6833333,-4.7,3730,6.5,6.6,"Boscastle, England, United Kingdom",harmonics_utide_tidetables.txt,30.6,8.0,1
Les_Ecrehou.json,Les Ecrehou,49.2833,-1.9333,1782,6.5,8.8,"Les Écréhous, Channel Islands",harmonics_utide_tidetables.txt,41.5,4.4,2
Arnside.json,Arnside,54.2,-2.85,1863,6.4,9.8,"Arnside, England, United Kingdom",harmonics_utide_tidetables.txt,52.8,24.5,1
Burton_Stather.json,Burton Stather,53.65,-0.7,3139,6.4,7.8,"Burton Stather, England, United Kingdom",harmonics_utide_tidetables.txt,77.1,21.7,1
Kincardine.json,Kincardine,56.0666667,-3.7166667,3705,6.4,18.9,"Kincardine, Scotland, United Kingdom",harmonics_utide_tidetables.txt,26.9,14.0,1
Perranporth.json,Perranporth,50.35,-5.15,3729,6.3,7.0,"Perranporth, England, United Kingdom",harmonics_utide_tidetables.txt,28.6,3.8,1
St._Ives.json,St. Ives,50.2166667,-5.4833333,3729,6.3,7.0,"St. Ives, England, United Kingdom",harmonics_utide_tidetables.txt,27.1,4.0,2
Haverfordwest.json,Haverfordwest,51.8,-4.9666667,1784,6.2,4.5,"Haverfordwest, Wales, United Kingdom",harmonics_utide_tidetables.txt,54.0,24.1,1
Martins_Haven.json,Martin's Haven,51.7333333,-5.25,3724,6.1,6.1,"Martin's Haven, Wales, United Kingdom",harmonics_utide_tidetables.txt,24.4,3.1,1
Skomer_Island.json,Skomer Island,51.7333333,-5.2833333,3719,6.1,6.8,"Skomer Island, Wales, United Kingdom",harmonics_utide_tidetables.txt,28.1,3.4,1
Porthcawl.json,Porthcawl,51.4666667,-3.7,1773,6.0,5.1,"Porthcawl, Wales, United Kingdom",harmonics_utide_tidetables.txt,41.8,4.4,2
Arundel.json,Arundel,50.85,-0.55,489,5.9,10.7,,,,,0
Hestan_Islet.json,Hestan Islet,54.8333333,-3.8,3748,5.9,13.0,"Hestan Islet, Scotland, United Kingdom",harmonics_utide_tidetables.txt,36.7,10.1,1
Keadby.json,Keadby,53.6,-0.7333333,3471,5.9,8.0,"Keadby, England, United Kingdom",harmonics_utide_tidetables.txt,57.2,18.8,1
Little_Haven.json,Little Haven,51.7666667,-5.1166667,3724,5.8,6.2,"Little Haven, Wales, United Kingdom",harmonics_utide_tidetables.txt,23.1,3.3,1
Morecambe.json,Morecambe,54.0666667,-2.8833333,3725,5.8,6.6,"Morecambe, England, United Kingdom",harmonics_utide_tidetables.txt,40.7,7.3,2
Grangemouth.json,Grangemouth,56.0333333,-3.6833333,3702,5.7,14.7,"Grangemouth (Forth River), Scotland, United Kingdom",harmonics_noaa_eutt.txt,26.3,30.8,2
Hammersmith_Bridge.json,Hammersmith Bridge,51.4833333,-0.2333333,3531,5.7,14.8,"Hammersmith Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,65.2,16.5,1
Perth.json,Perth,56.4,-3.4166667,1766,5.7,9.7,,,,,0
Erith.json,Erith,51.483333,0.183333,3729,5.6,16.4,"Erith, England, United Kingdom",harmonics_utide_tidetables.txt,33.6,6.4,1
Glasson_Dock.json,Glasson Dock,54.0,-2.85,1863,5.6,8.1,"Glasson Dock, England, United Kingdom",harmonics_utide_tidetables.txt,60.3,23.1,1
Duddon_Bar.json,Duddon Bar,54.15,-3.3333333,3726,5.4,6.2,"Duddon Bar, England, United Kingdom",harmonics_utide_tidetables.txt,37.0,6.5,1
Humber_Bridge.json,Humber Bridge,53.7166667,-0.45,3704,5.4,5.9,"Humber Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,36.3,5.6,1
New_Quay.json,New Quay,52.2166667,-4.35,3726,5.4,7.4,"New Quay, Wales, United Kingdom",harmonics_utide_tidetables.txt,16.2,5.7,1
Owston_Ferry.json,Owston Ferry,53.4833333,-0.7666667,1860,5.4,5.0,"Owston Ferry, England, United Kingdom",harmonics_utide_tidetables.txt,46.6,3.3,1
Solva.json,Solva,51.8666667,-5.2,3724,5.4,6.5,"Solva, Wales, United Kingdom",harmonics_utide_tidetables.txt,21.3,3.9,1
Tarn_Point.json,Tarn Point,54.2833333,-3.4166667,3726,5.4,6.5,"Tarn Point, England, United Kingdom",harmonics_utide_tidetables.txt,36.1,5.8,1
Silloth.json,Silloth,54.8666667,-3.4,1770,5.3,6.6,"Silloth, England, United Kingdom",harmonics_noaa_eutt.txt,36.8,12.7,2
West_Stones.json,West Stones,52.8333333,0.35,3725,5.3,6.0,"West Stones, England, United Kingdom",harmonics_utide_tidetables.txt,27.5,8.1,1
Cowes.json,Cowes,50.7666667,-1.3,2643,5.2,13.5,"Cowes (Isle of Wight), England, United Kingdom",harmonics_utide_tidetables.txt,10.6,23.4,2
Mumbles.json,Mumbles,51.5666667,-3.9666667,1778,5.2,6.6,"Mumbles, Wales, United Kingdom",harmonics-dwf-20100529-nonfree_mod.txt,11.4,2.2,1
North_Woolwich.json,North Woolwich,51.5,0.0833333,1766,5.2,16.1,,,,,0
Port_Talbot.json,Port Talbot,51.5833333,-3.8166667,1774,5.2,6.0,"Port Talbot, Wales, United Kingdom",harmonics_utide_tidetables.txt,39.9,4.3,1
Swansea.json,Swansea,51.6166667,-3.9166667,1778,5.2,5.4,"Swansea (King's Dock), Wales, United Kingdom",harmonics-1997-05-25_mod.txt,21.6,4.7,2
Chatham_(Lock_Approaches).json,Chatham (Lock Approaches),51.4,0.55,1766,5.1,14.3,"Chatham (Lock Approaches), England, United Kingdom",harmonics-pierre-lavergne-v10_mod.txt,32.3,14.8,2
Southerness_Point.json,Southerness Point,54.8666667,-3.6,1863,5.1,7.4,"Southerness Point, Scotland, United Kingdom",harmonics_utide_tidetables.txt,47.6,22.3,1
Tabs_Head.json,Tabs Head,52.9333333,0.0833333,3720,5.1,6.4,"Tabs Head, England, United Kingdom",harmonics_utide_tidetables.txt,27.6,9.0,1
Brough.json,Brough,53.7166667,-0.5833333,1701,5.0,7.1,"Brough, England, United Kingdom",harmonics_utide_tidetables.txt,54.4,12.0,1
Gravesend.json,Gravesend,51.45,0.3833,3727,5.0,15.0,"Gravesend, England, United Kingdom",harmonics_utide_tidetables.txt,31.1,5.2,1
Lancaster.json,Lancaster,54.05,-2.8166667,1863,5.0,8.8,"Lancaster, England, United Kingdom",harmonics_utide_tidetables.txt,53.0,24.6,1
London_Bridge_(Tower_Pier).json,London Bridge (Tower Pier),51.5,-0.0833333,1774,5.0,12.9,"London Bridge (Tower Pier), England, United Kingdom",harmonics_utide_tidetables.txt,20.8,7.7,2
Ramsey_Sound.json,Ramsey Sound,51.8833333,-5.3166667,3725,5.0,6.7,"Ramsey Sound, Wales, United Kingdom",harmonics_utide_tidetables.txt,19.8,2.7,1
Tenby.json,Tenby,51.6666667,-4.7,1773,5.0,5.0,"Tenby, Wales, United Kingdom",harmonics_utide_tidetables.txt,34.9,3.6,2
Braye.json,Braye,49.7167,-2.2,1782,4.9,10.2,"Braye Bay, Alderney, Channel Islands",harmonics-pierre-lavergne-v10_mod.txt,13.8,7.8,3
Chelsea_Bridge.json,Chelsea Bridge,51.4833333,-0.15,1751,4.9,13.3,"Chelsea Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,21.8,8.0,2
Chester.json,Chester,53.2,-2.9,1863,4.9,7.7,"Chester, England, United Kingdom",harmonics_utide_tidetables.txt,55.1,2.1,1
Garlieston.json,Garlieston,54.7833333,-4.3666667,2359,4.9,11.6,"Garlieston, Scotland, United Kingdom",harmonics_utide_tidetables.txt,20.1,7.0,1
Hull_(Albert_Dock).json,Hull (Albert Dock),53.7333,-0.35,3717,4.9,5.7,"Hull (Albert Dock), England, United Kingdom",harmonics_utide_tidetables.txt,31.5,4.3,1
Eastham.json,Eastham,53.3166667,-2.95,1772,4.8,6.3,"Eastham, England, United Kingdom",harmonics_noaa_eutt.txt,42.8,15.7,2
Lynmouth.json,Lynmouth,51.2333333,-3.8333333,1864,4.8,3.9,"Lynmouth, England, United Kingdom",harmonics_utide_tidetables.txt,11.3,4.0,1
Maryport.json,Maryport,54.7166667,-3.5,1769,4.8,6.7,"Maryport, England, United Kingdom",harmonics_utide_tidetables.txt,37.8,5.2,2
Port_Cardigan.json,Port Cardigan,52.1166667,-4.6833333,3725,4.8,6.4,"Port Cardigan, Wales, United Kingdom",harmonics_utide_tidetables.txt,15.3,7.0,1
Port_William.json,Port William,54.7666667,-4.5833333,2359,4.8,11.1,"Port William, Scotland, United Kingdom",harmonics_utide_tidetables.txt,17.7,6.4,1
Albert_Bridge.json,Albert Bridge,51.4833333,-0.1666667,3624,4.7,13.0,"Chelsea Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,31.2,18.5,2
Blackpool.json,Blackpool,53.8166667,-3.0666667,3726,4.7,6.4,"Blackpool, England, United Kingdom",harmonics_utide_tidetables.txt,37.9,5.9,1
Neyland.json,Neyland,51.7,-4.95,1770,4.7,5.5,"Neyland, Wales, United Kingdom",harmonics_utide_tidetables.txt,30.8,3.9,2
