datei,name,fehler_prozent,begruendung
harmonics/ticon/harmonics_ticon4_worldwide.txt,"Lázaro Cárdenas, Michoacán, Mexico",14.7,"An der Tafel Lázaro Cárdenas, Michoacán, Mexico: 14.7 % des Hubs von 0.84 m gegen 2.0 % von ""Lázaro Cárdenas, Michoacán, Mexico"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 7.4, Kurvenabweichung 37 %."
harmonics/noaa/harmonics_noaa_censam.txt,"Matamoros (Playa Lauro Villar), Tamaulipas, Mexico",24.7,"An der Tafel Matamoros, Tamaulipas, México: 24.7 % des Hubs von 0.44 m gegen 7.2 % von ""Matamoros, Tamaulipas, México"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 3.4, Kurvenabweichung 33 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Frontera #, Mexico",11.1,"An der Tafel Frontera, Tabasco, Mexico: 11.1 % des Hubs von 0.74 m gegen 3.8 % von ""Frontera, Tabasco, Mexico"" (harmonics_utide_tidetables.txt), 1097 m entfernt. Faktor 2.9, Kurvenabweichung 14 %."
harmonics/classic/harmonics-1997-05-25_mod.txt,"Matamoros, Tamaulipas, México",20.2,"An der Tafel Matamoros, Tamaulipas, México: 20.2 % des Hubs von 0.44 m gegen 7.2 % von ""Matamoros, Tamaulipas, México"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 2.8, Kurvenabweichung 34 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Frontera, Tabasco, Mexico",7.6,"An der Tafel Frontera, Tabasco, Mexico: 7.6 % des Hubs von 0.74 m gegen 3.8 % von ""Frontera, Tabasco, Mexico"" (harmonics_utide_tidetables.txt), 855 m entfernt. Faktor 2.0, Kurvenabweichung 10 %."
