verdacht,ozean_km,datei,name,lat,lon,kueste,fluesse,flaechen,flaechen_benannt
0,inf,harmonics-2004-06-14_mod.txt,"Sorel, Québec, Canada",46.0472,-73.1157,0,Rivière Richelieu,3,Lac Saint-Pierre
0,inf,harmonics_utide_tidetables.txt,"Sorel, Québec, Canada",46.0472,-73.1157,0,Rivière Richelieu,3,Lac Saint-Pierre
0,inf,harmonics_ticon4_worldwide.txt,"Sorel, Québec, Canada",46.0471,-73.1155,0,Rivière Richelieu,3,Lac Saint-Pierre
0,inf,harmonics-2004-06-14_mod.txt,"Îlets Percés, Québec, Canada",46.1172,-72.9490,0,Fleuve Saint-Laurent; Rivière Yamaska,1,Lac Saint-Pierre
0,inf,harmonics_ticon4_worldwide.txt,"Louiseville, Québec, Canada",46.2208,-72.9244,0,Rivière du Loup,2,Lac Saint-Pierre; Rivière du Loup
0,inf,harmonics-2004-06-14_mod.txt,"Nicolet, Québec, Canada",46.2470,-72.6510,0,Rivière Nicolet,3,Estuaire fluvial du Saint-Laurent; Lac Saint-Pierre
0,inf,harmonics_ticon4_worldwide.txt,"Port-Saint-François, Québec, Canada",46.2725,-72.6193,0,Fleuve Saint-Laurent,1,Estuaire fluvial du Saint-Laurent
0,inf,harmonics_utide_tidetables.txt,"Port-Saint-François, Québec, Canada",46.2725,-72.6193,0,Fleuve Saint-Laurent,1,Estuaire fluvial du Saint-Laurent
0,inf,harmonics_ticon4_worldwide.txt,"Becancour, Québec, Canada",46.4003,-72.3795,0,Fleuve Saint-Laurent,3,Estuaire fluvial du Saint-Laurent
0,inf,harmonics_utide_tidetables.txt,"Bécancour, Québec, Canada",46.4003,-72.3795,0,Fleuve Saint-Laurent,3,Estuaire fluvial du Saint-Laurent
