datei,name,fehler_prozent,begruendung
harmonics/noaa/harmonics_noaa_eutt.txt,"Ochsen Sand, Pellworm, Germany",10.6,"Dublette: 163 m von ""Pellworm (Anleger), Germany"" (harmonics_utide_observations.txt), Kurve 16 % gleich. An der Tafel (1 Vergleich(e)) 45.4 cm RMS gegen 36.7 cm, Zeitversatz -30 gegen +0 min [Spur H, Beleg nur abgeleitet] bei 4.29 m Hub."
harmonics/noaa/harmonics_noaa_eutt.txt,"Pauillac, France",6.4,"Dublette: 2032 m von ""Trompeloup (Pauillac), France"" (harmonics_utide_observations.txt), Kurve 11 % gleich. An der Tafel (1 Vergleich(e)) 40.1 cm RMS gegen 14.9 cm, Zeitversatz +10 gegen +0 min [Spur H, Beleg nur abgeleitet] bei 6.23 m Hub."
harmonics/noaa/harmonics_noaa_eutt.txt,"St. Valery-en-Caux, France",5.7,"Dublette: 2337 m von ""Saint-Valery-en-Caux, France"" (harmonics-pierre-lavergne-v10_mod.txt), Kurve 11 % gleich. An der Tafel (1 Vergleich(e)) 54.5 cm RMS gegen 18.3 cm, Zeitversatz +10 gegen +0 min [Spur HN, Beleg nur abgeleitet] bei 9.48 m Hub."
harmonics/ticon/harmonics_ticon4_worldwide.txt,"San Carlos, Baja California Sur, Mexico",12.1,"Dublette: 0 m von ""San Carlos, Baja California Sur, Mexico"" (harmonics_noaa_amtt.txt), Kurve 30 % gleich. An der Tafel (1 Vergleich(e)) 38.0 cm RMS gegen 25.0 cm, Zeitversatz -30 gegen -10 min [Spur H, Beleg Name] bei 3.15 m Hub."
harmonics/noaa/harmonics_noaa_eutt.txt,"Schillighorn, Germany",14.8,"Dublette: 221 m von ""Schillig, Germany"" (harmonics_utide_observations.txt), Kurve 15 % gleich. An der Tafel (1 Vergleich(e)) 59.0 cm RMS gegen 52.5 cm, Zeitversatz -30 gegen +10 min [Spur H, Beleg nur abgeleitet] bei 3.98 m Hub."
harmonics/noaa/harmonics_noaa_amtt.txt,"Sept Iles, Québec, Canada",8.5,"Dublette: 2117 m von ""Sept-Îles, Québec, Canada"" (harmonics-dwf-20100529-nonfree_mod.txt), Kurve 13 % gleich. An der Tafel (2 Vergleich(e)) 30.7 cm RMS gegen 16.3 cm, Zeitversatz +10 gegen +0 min [Spur HN, Beleg nur abgeleitet] bei 3.59 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Isakimachi, Yamaguchi, Japan",6.9,"Dublette: 1503 m von ""Shimonoseki Sanbasi, Yamaguchi, Japan"" (harmonics-2004-06-14_mod.txt), Kurve 11 % gleich. An der Tafel (2 Vergleich(e)) 18.2 cm RMS gegen 11.5 cm, Zeitversatz -10 gegen +0 min [Spur H, Beleg nur abgeleitet] bei 2.64 m Hub."
harmonics/noaa/harmonics_noaa_amtt.txt,"St. Georges Harbour, Newfoundland, Canada",6.4,"Dublette: 2467 m von ""St. George's, Newfoundland, Canada"" (harmonics_utide_tidetables.txt), Kurve 17 % gleich. An der Tafel (1 Vergleich(e)) 10.5 cm RMS gegen 1.1 cm, Zeitversatz +50 gegen +0 min [Spur H, Beleg nur abgeleitet] bei 1.64 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Taio Hae Bay, Nuku Hiva Island, French Polynesia",5.4,"Dublette: 2011 m von ""Taioha'e, Nuku Hiva, Marquesas Islands, French Polynesia"" (harmonics_ticon4_worldwide.txt), Kurve 14 % gleich. An der Tafel (1 Vergleich(e)) 8.6 cm RMS gegen 1.6 cm, Zeitversatz -720 gegen +0 min [Spur HN, Beleg nur abgeleitet] bei 1.61 m Hub."
harmonics/noaa/harmonics_noaa_amtt.txt,"Tasu Sound, British Columbia, Canada",6.3,"Dublette: 0 m von ""Tasu Sound, British Columbia, Canada"" (harmonics-2004-06-14_mod.txt), Kurve 9 % gleich. An der Tafel (1 Vergleich(e)) 28.8 cm RMS gegen 2.8 cm, Zeitversatz -10 gegen +0 min [Spur N, Beleg Name (Teilmenge)] bei 4.58 m Hub."
harmonics/noaa/harmonics_noaa_amtt.txt,"Ticoralak Island, Labrador, Canada",9.0,"Dublette: 2309 m von ""Snooks Rocks, Labrador, Canada"" (harmonics_utide_tidetables.txt), Kurve 16 % gleich. An der Tafel (1 Vergleich(e)) 18.1 cm RMS gegen 1.3 cm, Zeitversatz +20 gegen +0 min [Spur H, Beleg nur abgeleitet] bei 2.00 m Hub."
harmonics/noaa/harmonics_noaa_eutt.txt,"Tyne River entrance, England, United Kingdom",3.5,"Dublette: 316 m von ""Tynemouth Lighthouse, England, United Kingdom"" (harmonics-1997-05-25_mod.txt), Kurve 7 % gleich. An der Tafel (2 Vergleich(e)) 20.3 cm RMS gegen 7.2 cm, Zeitversatz +0 gegen +0 min [Spur GKN, Beleg nur abgeleitet] bei 5.86 m Hub."
harmonics/noaa/harmonics_noaa_eutt.txt,"Wangerooge, east end, Germany",10.7,"Dublette: 2162 m von ""Wangerooge (Ost), Germany"" (harmonics_utide_observations.txt), Kurve 18 % gleich. An der Tafel (1 Vergleich(e)) 40.3 cm RMS gegen 32.4 cm, Zeitversatz -40 gegen +0 min [Spur H, Beleg nur abgeleitet] bei 3.79 m Hub."
