tafel,satz,datei,empfehlung,nachbar_alt_pct,nachbar_neu_pct,lat,lon,tafel_alt_cm,tafel_neu_cm,neu_dt_min,zahm,tiefste,hoechste,tafel_tief,tafel_hoch,reihe,echt_neu_cm,echt_alt_cm,entscheidung
Douglas.json,"Douglas, Isle of Man",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),8.9,17.6,54.1500,-4.4670,29.4,3.4,6.7,ja,-0.17,7.63,0.08,7.62,,,,
Limerick_Dock.json,"Limerick Dock, Ireland",harmonics_utide_tidetables.txt,offen (keine Nachbarn),,,52.6667,-8.6333,29.1,3.1,9.0,ja,-0.22,6.7,0.02,6.72,,,,
Blacksod_Quay.json,"Blacksod Quay, Ireland",harmonics_utide_tidetables.txt,offen (keine Nachbarn),,,54.1000,-10.0667,28.0,2.3,6.1,ja,-0.28,4.43,0.0,4.45,,,,
Roundstone_Bay.json,"Roundstone Bay, Ireland",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),4.1,8.0,53.3833,-9.9167,27.7,2.2,5.6,ja,-0.22,4.82,0.01,4.83,,,,
Stackpole_Quay.json,"Stackpole Quay, Wales, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),7.7,14.5,51.6167,-4.9000,32.2,7.1,7.6,ja,0.12,8.79,0.24,8.8,,,,
Sunk_Dredged_Channel.json,"Sunk Dredged Channel, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),7.0,7.1,53.6167,-0.0333,28.4,3.6,5.5,ja,0.25,7.78,0.29,7.79,,,,
Kilkieran_Cove.json,"Kilkieran Cove, Ireland",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),4.4,13.4,53.3167,-9.7333,27.3,2.6,6.0,ja,-0.25,5.4,0.0,5.42,,,,
Goole.json,"Goole, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),23.9,23.4,53.7000,-0.8667,31.1,6.6,7.2,ja,-1.0,6.54,0.0,6.59,,,,
Northney.json,"Northney, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),7.3,17.5,50.8333,-0.9667,28.0,3.5,7.5,ja,-0.25,5.33,0.0,5.31,,,,
Outer_Westmark_Knock.json,"Outer Westmark Knock, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),9.2,10.1,52.8833,0.2167,28.7,4.2,6.2,ja,-0.15,7.92,0.0,7.91,,,,
Cemaes_Bay.json,"Cemaes Bay, Wales, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),15.1,22.3,53.4167,-4.4500,26.9,2.6,5.4,ja,0.04,7.47,0.02,7.48,,,,
Humber_Sea_Terminal.json,"Humber Sea Terminal, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),8.8,11.0,53.6667,-0.2333,28.5,4.3,6.6,ja,0.08,7.9,0.09,7.93,,,,
Boscastle.json,"Boscastle, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),7.7,8.2,50.6833,-4.7000,30.6,6.5,6.6,ja,-0.03,8.04,0.0,8.07,,,,
Grimsby.json,"Grimsby, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),7.0,8.1,53.5833,-0.0667,27.1,3.1,5.2,ja,0.73,7.66,0.74,7.67,,,,
Darnett_Ness.json,"Darnett Ness, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),7.9,12.8,51.4000,0.6000,27.9,4.0,11.3,ja,-0.08,6.56,0.0,6.46,,,,
Rona.json,"Rona, Scotland, United Kingdom",harmonics_utide_tidetables.txt,offen (keine Nachbarn),,,59.1333,-5.8167,27.1,3.3,4.9,ja,-0.41,3.69,0.0,3.73,,,,
Spurn_Head.json,"Spurn Head, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),5.7,5.2,53.5833,0.1167,26.9,3.2,4.7,ja,0.22,7.67,0.28,7.69,rloi8194.json,23.6,24.2,
Bee_Ness.json,"Bee Ness, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),8.0,12.7,51.4167,0.6500,27.3,3.8,11.8,ja,0.08,6.56,0.05,6.46,,,,
Cape_Cornwall.json,"Cape Cornwall, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),7.9,6.9,50.1333,-5.7000,27.4,4.0,6.9,ja,-0.14,6.65,0.01,6.68,,,,
Grovehurst_Jetty.json,"Grovehurst Jetty, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),6.8,12.5,51.3667,0.7667,27.0,3.7,10.1,ja,-0.07,6.35,0.0,6.22,,,,
Worthing.json,"Worthing, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),2.9,7.7,50.8000,-0.3667,26.2,3.0,5.2,ja,0.13,6.8,0.1,6.76,,,,
Appledore.json,"Appledore, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),16.4,19.7,51.0500,-4.2000,33.0,10.0,10.1,ja,0.2,8.5,0.08,8.55,,,,
Middlesbrough_(Dock_Entrance).json,"Middlesbrough (Dock Entrance), England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),1.9,7.3,54.5833,-1.2167,25.3,2.5,6.7,ja,-0.19,6.1,0.0,6.11,,,,
Inishtrahull.json,"Inishtrahull, Ireland",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),11.1,14.5,55.4333,-7.2333,26.8,4.1,6.3,ja,-0.31,3.76,0.0,3.79,,,,
Luce_Bay_(Offshore_Platform).json,"Luce Bay (Offshore Platform), Scotland, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),11.6,16.9,54.8333,-4.8833,27.3,4.6,6.6,ja,0.15,7.21,0.13,7.15,,,,
Port_St._Mary.json,"Port Saint Mary, Isle of Man",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),5.1,11.7,54.0667,-4.7333,26.3,3.6,8.2,ja,-0.06,6.48,0.0,6.41,,,,
Osea_Island.json,"Osea Island (Blackwater River), England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),9.6,19.1,51.7167,0.7667,26.1,3.6,17.1,ja,-0.22,5.86,0.03,5.85,,,,
Tabs_Head.json,"Tabs Head, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),5.4,7.7,52.9333,0.0833,27.6,5.1,6.4,ja,0.01,8.35,0.04,8.35,,,,
Greenore.json,"Greenore (Carlingford Lough), Ireland",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),7.2,10.9,54.0333,-6.1333,25.2,2.8,6.2,ja,-0.25,5.88,0.0,5.89,,,,
Perranporth.json,"Perranporth, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),11.3,16.2,50.3500,-5.1500,28.6,6.3,7.0,ja,-0.08,7.64,0.0,7.67,,,,
Hunstanton.json,"Hunstanton, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),5.9,9.3,52.9333,0.4833,26.7,4.5,6.3,ja,0.23,8.2,0.21,8.21,,,,
West_Stones.json,"West Stones, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),6.8,9.0,52.8333,0.3500,27.5,5.3,6.0,ja,0.16,8.25,0.07,8.26,,,,
Skomer_Island.json,"Skomer Island, Wales, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),11.0,14.6,51.7333,-5.2833,28.1,6.1,6.8,ja,-0.11,7.28,0.02,7.28,,,,
Calf_Sound.json,"Calf Sound, Isle of Man",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),4.1,8.7,54.0667,-4.8000,26.1,4.2,6.6,ja,-0.09,6.77,0.0,6.7,,,,
Skegness.json,"Skegness, England, United Kingdom",harmonics_utide_tidetables.txt,offen (keine Nachbarn),,,53.1500,0.3500,25.5,3.7,6.9,ja,0.41,7.5,0.38,7.5,,,,
Whitstable_Approaches.json,"Whitstable Approaches, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),13.8,21.7,51.3667,1.0333,25.0,3.2,11.8,ja,0.09,5.7,0.09,5.71,,,,
Drummore.json,"Drummore, Scotland, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),13.5,16.9,54.7000,-4.8833,25.8,4.1,6.7,ja,-0.1,6.48,0.0,6.36,,,,
New_Hythe.json,"New Hythe, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),39.0,50.0,51.3167,0.4667,25.6,4.3,18.0,nein,-0.07,6.15,0.3,4.66,,,,
St._Ives.json,"St. Ives, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),10.7,16.7,50.2167,-5.4833,27.1,6.3,7.0,ja,-0.02,7.36,0.04,7.37,rloi3154.json,26.4,28.6,
Kincardine.json,"Kincardine, Scotland, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),18.8,27.5,56.0667,-3.7167,26.9,6.4,18.9,ja,-0.14,7.08,0.0,6.43,,,,
Fremington.json,"Fremington, England, United Kingdom",harmonics_utide_tidetables.txt,neu fitten,20.8,18.0,51.0833,-4.1167,27.8,8.1,9.1,ja,-0.22,6.99,0.06,7.03,,,,
