name,meridian,tz,stunden,umgedreht,grund,fes_vorher,fes_nachher,zwilling,zwilling_vorher,zwilling_nachher,reihe,reihe_vorher_min,beleg,urteil
"Havneby, Denmark",+01:00,Europe/Copenhagen,1.0,0,einheitlich -63 min gegen FES (Region),M2-64 S2-60 K1-72 O1-56,M2-4 S2-0 K1-12 O1+4,,,,,,FES,richten
"La Crucecita (Huatulco), Oaxaca, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-23 S2-10 K1-369 O1-427,M2-10 S2-10 K1-11 O1-13,"La Crucecita (Huatulco), Oaxaca, Mexico [harmonics_utide_tidetables.txt]",720,-15,,,FES+Zwilling,richten
"Isla Cedros (El Morro), Baja California, Mexico",-06:00,America/Tijuana,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-14 S2-2 K1-356 O1-410,M2-1 S2-2 K1+2 O1+5,,,,,,FES,richten
"K14 Platform, Netherlands",+01:00,Europe/Amsterdam,1.0,0,einheitlich -48 min gegen FES (Region),M2-48 S2-50 K1-40 O1-53,M2+12 S2+10 K1+20 O1+7,,,,,,FES,richten
"La Paz (Puerto Pichilingue), Baja California Sur, Mexico",-06:00,America/Mazatlan,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2+30 S2+30 K1+27 O1+31,,,,,,FES,richten
"La Paz (Cuarta Zona Naval), Baja California Sur, Mexico",-06:00,America/Mazatlan,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2+16 S2+26 K1-340 O1-391,M2+28 S2+26 K1+18 O1+23,"La Paz (Cuarta Zona Naval), Baja California Sur, Mexico [harmonics_utide_observations.txt]",-693,-1,Mexico_UHSLC/671_La_Paz.csv,-60,Zwilling,richten
"Loreto, Baja California Sur, Mexico",-06:00,America/Mazatlan,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2+3 S2+4 K1+6 O1+6,"Loreto, Baja California Sur, Mexico [harmonics_utide_observations.txt]",-656,0,Mexico_UHSLC/319_Loreto.csv,-340,FES+Zwilling,richten
"Manzanillo, Colima, Mexico",-06:00,America/Mexico_City,-6.0,0,Meridian -06:00 auf UTC-Phasen (Juli-Eingriff),M2+361 S2+357 K1+349 O1+349,M2+1 S2-3 K1-11 O1-11,"Manzanillo, Colima, Mexico [harmonics_utide_observations.txt]",358,-2,Mexico_UHSLC/395_Manzanillo.csv,350,FES+Zwilling+Reihe,richten
"Marín (Ría de Pontevedra), Spain",+01:00,Europe/Madrid,1.0,0,einheitlich -55 min gegen FES (Region),M2-57 S2-55 K1-53 O1-53,M2+3 S2+5 K1+7 O1+7,"Marín (Ría de Pontevedra), Spain [harmonics_utide_tidetables.txt]",-59,1,,,FES+Zwilling,richten
"Mazatlán, Sinaloa, Mexico",-06:00,America/Mazatlan,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2+3 S2+2 K1+3 O1+2,"Mazatlán, Sinaloa, Mexico [harmonics_utide_observations.txt]",-39,1,Mexico_UHSLC/673_Mazatlan.csv,-30,FES+Zwilling,richten
"Viaduc de la Seudre, France",+01:00,Europe/Paris,1.0,0,einheitlich -65 min gegen FES (Region),M2-63 S2-62 K1-65 O1-72,M2-3 S2-2 K1-5 O1-12,,,,,,FES,richten
"Progreso, Yucatán, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2+8 K1+6 O1+4,,,,Mexico_UHSLC/721_Progreso.csv,-380,FES,richten
"Salina Cruz (Puerto), Oaxaca, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-18 S2-7 K1-367 O1-413,M2-6 S2-7 K1-9 O1+2,"Salina Cruz (Faro), Oaxaca, Mexico [harmonics_utide_observations.txt]",-27,1,Mexico_UHSLC/394_Salina_Cruz.csv,-20,FES+Zwilling,richten
"Salina Cruz (Faro), Oaxaca, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-18 S2-7 K1-367 O1-413,M2-6 S2-7 K1-9 O1+2,"Salina Cruz (Faro), Oaxaca, Mexico [harmonics_utide_observations.txt]",-27,1,Mexico_UHSLC/394_Salina_Cruz.csv,-20,FES+Zwilling,richten
"San Felipe, Baja California, Mexico",-06:00,America/Tijuana,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2+14 S2-0 K1-343 O1-384,M2+26 S2-0 K1+15 O1+30,"San Felipe, Baja California, Mexico [harmonics-2004-06-14_mod.txt]",720,-10,Mexico_UHSLC/307_San_Felipe.csv,-20,Zwilling,richten
"San Quintin (Campo La Chorera), Baja California, Mexico",-06:00,America/Tijuana,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-70 S2+10 K1-390 O1-446,M2-58 S2+10 K1-32 O1-31,"San Quintin (Campo La Chorera), Baja California, Mexico [harmonics_utide_observations.txt]",-47,-1,Mexico_UHSLC/308_San_Quintin.csv,-40,Zwilling,richten
"Topolobampo, Sinaloa, Mexico",-06:00,America/Mazatlan,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2+14 S2+16 K1-352 O1-392,M2+26 S2+16 K1+6 O1+23,"Topolobampo, Sinaloa, Mexico [harmonics_utide_observations.txt]",-702,-1,Mexico_UHSLC/676_Topolobampo.csv,-50,Zwilling,richten
"Tuxpan, Veracruz, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-3 K1-353 O1-413,M2+10 K1+5 O1+2,,,,,,FES,richten
"Puerto Vallarta, Jalisco, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-8 S2+10 K1-347 O1-387,M2+4 S2+10 K1+11 O1+27,"Puerto Vallarta, Jalisco, Mexico [harmonics_utide_observations.txt]",-715,0,Mexico_UHSLC/393_Puerto_Vallarta.csv,-80,Zwilling,richten
"Veracruz, Veracruz, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2-5 K1-11 O1-4,"Veracruz, Veracruz, Mexico [harmonics_utide_observations.txt]",-614,-3,Mexico_UHSLC/250_Veracruz.csv,-390,FES+Zwilling,richten
