name,datei_a,rms_a_cm,datei_b,rms_b_cm,hub_m
"Benoa, Bali, Indonesia",harmonics_utide_observations.txt,12.2,harmonics_ticon4_worldwide.txt,11.9,3.19
"Beppu, Oita, Japan",harmonics_ticon4_worldwide.txt,2.8,harmonics_utide_observations.txt,1.5,2.73
"Bergen, Norway",harmonics_utide_observations.txt,14.3,harmonics_ticon4_worldwide.txt,14.2,1.77
"Blandford, Nova Scotia, Canada",harmonics_utide_tidetables.txt,4.2,harmonics-2004-06-14_mod.txt,3.4,1.99
"Bluff, Southland, New Zealand",harmonics-2004-06-14_mod.txt,14.5,harmonics_utide_observations.txt,13.8,2.65
"Bluff, Southland, New Zealand",harmonics_ticon4_worldwide.txt,14.0,harmonics_utide_observations.txt,13.8,2.65
"Bodø, Norway",harmonics_utide_observations.txt,17.6,harmonics_ticon4_worldwide.txt,16.9,3.29
"Bonavista, Newfoundland, Canada",harmonics_utide_observations.txt,1.8,harmonics_utide_tidetables.txt,1.0,1.23
"Braye Bay, Alderney, Channel Islands",harmonics_utide_tidetables.txt,15.2,harmonics-pierre-lavergne-v10_mod.txt,13.5,6.40
"Bremen-Oslebshausen (Weser), Germany",harmonics-dwf-20070318_mod.txt,36.3,harmonics_utide_observations.txt,34.9,5.09
"Bremerhaven (Alter Leuchtturm), Germany",harmonics_ticon4_worldwide.txt,38.0,harmonics_utide_observations.txt,35.7,4.75
"Brest (Estuaire Penfeld), France",harmonics-pierre-lavergne-v10_mod.txt,15.9,harmonics_utide_observations.txt,14.7,6.97
"Brighton, England, United Kingdom",harmonics_ticon4_worldwide.txt,10.1,harmonics_utide_observations.txt,9.7,6.69
"Brisbane Bar, Queensland, Australia",harmonics_ticon4_worldwide.txt,8.6,harmonics_utide_observations.txt,8.2,2.56
"Brunsbüttel (Elbe), Germany",harmonics_ticon4_worldwide.txt,41.4,harmonics_utide_observations.txt,39.2,3.57
"Bullenbaai, Curaçao",harmonics_ticon4_worldwide.txt,5.2,harmonics_utide_observations.txt,5.2,0.59
"Bundaberg (Burnett Heads), Queensland, Australia",harmonics_utide_tidetables.txt,7.8,harmonics_utide_observations.txt,7.2,3.48
"Bunker Island Light, Nova Scotia, Canada",harmonics_utide_tidetables.txt,6.8,harmonics-2004-06-14_mod.txt,5.7,4.70
