# IH Tabela de Mares Vol. I 2026, S. 3-2/3-3 "Concordancias de mares para locais proximos dos portos principais"
# vom Seitenbild abgelesen (14.09.2026). Zeiten in Minuten (PM = Hochwasser, BM = Niedrigwasser,
# AM = Nipptide, AV = Springtide), Hoehenkorrekturen in m, Relacao de amplitude AM/AV.
# Leer = im Buch nicht angegeben. Ueber mehrere Spalten gedruckte Werte (ein Wert fuer alle) stehen in jeder Spalte.
# Zeilen typ=STD: Standardhafen mit den veroeffentlichten Pegeln PMAM PMAV BMAM BMAV (= NM +-M2 +-S2).
# lat/lon dezimal (N positiv, E positiv).
typ	bezug	name	lat	lon	nm	t_pm_am	t_pm_av	t_bm_am	t_bm_av	h_pm_am	h_pm_av	h_bm_am	h_bm_av	r_am	r_av
SEC	AVEIRO	Vagueira	40.5617	-8.7583	2.00	47	46	212	148	0.01	0	0.38	1.20	0.71	0.53
SEC	AVEIRO	Areão	40.5100	-8.7767	2.00										
STD	FIGUEIRA DA FOZ	Figueira da Foz	40.1483	-8.8562	2.00					2.67	3.39	1.33	0.61
SEC	FIGUEIRA DA FOZ	S. Martinho do Porto	39.5117	-9.1400	2.00	8	8	8	8					1.03	1.03
STD	PENICHE	Peniche	39.3498	-9.3747	2.00					2.67	3.39	1.33	0.61
SEC	PENICHE	Nazaré	39.5850	-9.0750	2.00	-4	-6	-3	-3	0.07	0.07	0.09	0.09
STD	CASCAIS	Cascais	38.6932	-9.4153	2.08					2.74	3.46	1.42	0.70
SEC	CASCAIS	Ericeira	38.9650	-9.4217	2.00	1	1	3	-2					1.05	1.05
STD	LISBOA	Lisboa	38.7103	-9.1255	2.20					2.96	3.75	1.44	0.65	
SEC	LISBOA	Paço de Arcos	38.6917	-9.2933	2.08	-23	-31	-13	-20	-0.24	-0.33	0	0.05	0.85	0.88
SEC	LISBOA	Pedrouços	38.6933	-9.2250	2.10	-18	-21	-16	-21	-0.17	-0.22	0	0	0.91	0.93
SEC	LISBOA	Trafaria	38.6750	-9.2317	2.10	-12	-18	-9	-13	-0.19	-0.26	0	0	0.88	0.92
SEC	LISBOA	Cacilhas	38.6883	-9.1483	2.20	-11	-11	-14	-17	0	0	0	0	0.97	1.00
SEC	LISBOA	Arsenal do Alfeite	38.6717	-9.1483	2.20	-6	-6	-5	-5	0.02	0.02	0.02	0.02	1.01	0.99
SEC	LISBOA	Montijo	38.6900	-9.0483	2.25	-3	-6	-13	-17	0.06	0.11	0	-0.07	1.02	1.06
SEC	LISBOA	Seixal	38.6500	-9.0767	2.25	0	-5	-11	-15	0	0.07	0.06	0	0.98	1.02
SEC	LISBOA	Cais da Matinha	38.7500	-9.0933	2.25	5	5	-2	1	0.20	0.20	0.05	0		
SEC	LISBOA	Cabo Ruivo	38.7567	-9.0917	2.25	0	0	-11	-14	0.08	0.15	0	-0.11	1.05	1.08
SEC	LISBOA	Alcochete	38.7567	-8.9650	2.30	10	10	0	0	0.20	0.30	-0.10	-0.20	1.10	1.13
SEC	LISBOA	Ponta da Erva	38.8333	-8.9667	2.35	9	11	2	11	0.25	0.34	0	-0.13	1.14	1.15
SEC	LISBOA	VALORSUL	38.8283	-9.0817	2.30	14	17	5	15	0	0.10	-0.25	-0.30		
SEC	LISBOA	Póvoa de Santa Iria	38.8567	-9.0617	2.30	10	17	2	13	0.20	0.18	0	0	1.15	1.07
SEC	LISBOA	CIMPOR	38.9217	-9.0083	2.35	25	35	40	80	0.30	0.30	0	0.30		
SEC	LISBOA	Vila Franca de Xira	38.9433	-8.9933	2.40	35	40	50	90	0.25	0.30	0	0.40	1.14	1.02
SEC	LISBOA	Carregado – terra	39.0083	-8.9417	2.40	67	78	90	125	0.28	0	0.15	0.48	1.08	0.84
STD	SETÚBAL (TROIA)	Setúbal (Troia)	38.4948	-8.9028	2.00					2.67	3.38	1.33	0.62	
