datei,name,fehler_prozent,begruendung
harmonics/noaa/harmonics_noaa_amtt.txt,"Angostura Inglesa, Chile",18.2,"Auch an der ihm guenstigsten Tafel (Angostura Inglesa, Canal Messier, Chile) 18.2 % des Hubs, gegen 0.5 % von ""Angostura Inglesa, Canal Messier, Chile"" (harmonics_utide_tidetables.txt) in 1584 m Entfernung. Nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Mejillones del Sur, Chile",13.2,"Auch an der ihm guenstigsten Tafel (Mejillones del Sur, Chile) 13.2 % des Hubs, gegen 0.5 % von ""Mejillones del Sur, Chile"" (harmonics_utide_chile_shoa.txt) in 1708 m Entfernung. Nirgends selbst der beste Satz."
harmonics/utide/harmonics_utide_chile_shoa.txt,"Puerto Natales, Chile",10.2,"Auch an der ihm guenstigsten Tafel (Puerto Natales, Chile) 10.2 % des Hubs, gegen 1.1 % von ""Puerto Natales, Chile"" (harmonics_utide_tidetables.txt) in 402 m Entfernung. Nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Quintero, Chile",9.3,"Auch an der ihm guenstigsten Tafel (Quintero, Chile) 9.3 % des Hubs, gegen 0.4 % von ""Quintero, Chile"" (harmonics_utide_chile_shoa.txt) in 1511 m Entfernung. Nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Valdivia, Río Valdivia, Chile",9.3,"Auch an der ihm guenstigsten Tafel (Valdivia (Río Calle-Calle), Chile) 9.3 % des Hubs, gegen 0.4 % von ""Valdivia (Río Calle-Calle), Chile"" (harmonics_utide_tidetables.txt) in 243 m Entfernung. Nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Constitución, Río Maule entrance, Chile",7.9,"Auch an der ihm guenstigsten Tafel (Constitución, Río Maule entrance, Chile) 7.9 % des Hubs, gegen 0.4 % von ""Constitución, Chile"" (harmonics_utide_chile_shoa.txt) in 1748 m Entfernung. Nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Port Foster, Deception Island, Antarctica",7.9,"Auch an der ihm guenstigsten Tafel (Caleta Balleneros (Isla Decepción), Chile) 7.9 % des Hubs, gegen 0.7 % von ""Caleta Balleneros (Isla Decepción), Chile"" (harmonics_utide_tidetables.txt) in 1813 m Entfernung. Nirgends selbst der beste Satz."
harmonics/classic/harmonics-1997-05-25_mod.txt,"Port Foster, Deception Island, South Shetlands, Antarctica",7.3,"Auch an der ihm guenstigsten Tafel (Caleta Balleneros (Isla Decepción), Chile) 7.3 % des Hubs, gegen 0.7 % von ""Caleta Balleneros (Isla Decepción), Chile"" (harmonics_utide_tidetables.txt) in 1813 m Entfernung. Nirgends selbst der beste Satz."
