name,bezug,lat,lon,satzname,standard,grundsatz,grund_cm,art,cm,hw,nw,bestand,entscheidung,grund,loeschen,loeschen_n,fes
Porto Santo,FUNCHAL,33.055,-16.31,"Porto Santo, Madeira, Portugal",Funchal,"harmonics_utide_observations.txt|Funchal, Madeira, Portugal",3.4,nachgefuehrt,3.3,0,0,"harmonics_att_np208_secondary.txt|Porto Santo, Madeira, Portugal [- 0.7 km] Tafel 7.8 cm +5/+4, Kurve 2.6 % ; harmonics_utide_observations.txt|Porto Santo, Madeira, Portugal [A 0.7 km] Tafel 4.2 cm +3/-3, Kurve 1.0 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_observations.txt|Porto Santo, Madeira, Portugal",,,
Desertas,FUNCHAL,32.51,-16.51,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Selvagem Grande,FUNCHAL,30.1383,-15.8683,"Selvagem Grande, Madeira, Portugal",Funchal,"harmonics_utide_observations.txt|Funchal, Madeira, Portugal",3.4,nachgefuehrt,3.4,0,0,"harmonics_utide_tidetables.txt|Selvagem Grande, Madeira, Portugal [B 0.0 km] Tafel 3.7 cm +1/-0, Kurve 0.3 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Selvagem Grande, Madeira, Portugal",,,
Praia da Vitória,ANGRA DO HEROÍSMO,38.73,-27.0533,"Praia da Vitória, Açores, Portugal",Angra do Heroísmo (Ilha Terceira),"harmonics_utide_observations.txt|Angra do Heroísmo (Terceira), Açores, Portugal",4.1,nachgefuehrt,4.2,0,0,"harmonics_att_np208_secondary.txt|Praia da Vitória (Terceira), Açores, Portugal [- 0.3 km] Tafel 5.1 cm -8/-9, Kurve 1.8 % ; harmonics_noaa_eutt.txt|Praia da Vitória (Terceira), Açores, Portugal [- 0.3 km] Tafel 10.4 cm -8/-9, Kurve 3.2 % ; harmonics_utide_tidetables.txt|Praia da Vitória (Terceira), Açores, Portugal [B 0.3 km] Tafel 4.5 cm -1/-1, Kurve 0.3 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Praia da Vitória (Terceira), Açores, Portugal",,,
Santa Cruz (Graciosa),ANGRA DO HEROÍSMO,39.0833,-27.9983,"Santa Cruz (Graciosa), Açores, Portugal",Angra do Heroísmo (Ilha Terceira),"harmonics_utide_observations.txt|Angra do Heroísmo (Terceira), Açores, Portugal",4.1,nachgefuehrt,4.1,0,0,"harmonics_att_np208_secondary.txt|Santa Cruz da Graciosa, Açores, Portugal [- 0.1 km] Tafel 6.4 cm -15/-16, Kurve 3.5 % ; harmonics_noaa_eutt.txt|Santa Cruz da Graciosa, Açores, Portugal [- 0.1 km] Tafel 6.3 cm -14/-15, Kurve 2.9 % ; harmonics_utide_tidetables.txt|Santa Cruz da Graciosa, Açores, Portugal [B 0.1 km] Tafel 4.4 cm -1/-1, Kurve 0.3 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Santa Cruz da Graciosa, Açores, Portugal",,,
Topo (S. Jorge),HORTA,38.5417,-27.76,"Topo (S. Jorge), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.6,0,0,"harmonics_utide_tidetables.txt|Topo (S. Jorge), Açores, Portugal [B 0.0 km] Tafel 5.2 cm +2/-1, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Topo (S. Jorge), Açores, Portugal",,,
Norte Grande (S. Jorge),HORTA,38.6783,-28.0583,"Norte Grande (S. Jorge), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.7,0,0,"harmonics_utide_tidetables.txt|Norte Grande (S. Jorge), Açores, Portugal [B 0.0 km] Tafel 5.4 cm +2/-1, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Norte Grande (S. Jorge), Açores, Portugal",,,
Velas (S. Jorge),HORTA,38.6783,-28.205,"Velas (S. Jorge), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.6,0,0,"harmonics_utide_tidetables.txt|Velas (S. Jorge), Açores, Portugal [B 0.0 km] Tafel 5.2 cm +2/-1, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Velas (S. Jorge), Açores, Portugal",,,
Madalena do Pico (Pico),HORTA,38.535,-28.53,"Madalena do Pico (Pico), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.4,0,0,"harmonics_utide_tidetables.txt|Madalena do Pico, Açores, Portugal [B 0.0 km] Tafel 5.1 cm +1/-6, Kurve 2.6 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Madalena do Pico, Açores, Portugal",,,
Calheta (S. Jorge),HORTA,38.6,-28.0117,"Calheta (S. Jorge), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.6,0,0,"harmonics_utide_tidetables.txt|Calheta (S. Jorge), Açores, Portugal [B 0.0 km] Tafel 5.2 cm +2/-1, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Calheta (S. Jorge), Açores, Portugal",,,
S. António (Pico),HORTA,38.5367,-28.3367,"S. António (Pico), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.8,0,0,"harmonics_utide_tidetables.txt|S. António (Pico), Açores, Portugal [B 0.0 km] Tafel 5.5 cm +2/-1, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|S. António (Pico), Açores, Portugal",,,
Lajes (Pico),HORTA,38.3983,-28.2567,"Lajes (Pico), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.4,0,0,"harmonics_utide_tidetables.txt|Lajes do Pico, Açores, Portugal [B 0.0 km] Tafel 5.0 cm +2/-1, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Lajes do Pico, Açores, Portugal",,,
Porto do Cais (Pico),HORTA,38.5317,-28.3217,"Porto do Cais (Pico), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.5,0,0,"harmonics_utide_tidetables.txt|Porto do Cais (Pico), Açores, Portugal [B 0.0 km] Tafel 5.1 cm +2/-1, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Porto do Cais (Pico), Açores, Portugal",,,
Castelo Branco (Faial),HORTA,38.5283,-28.7517,"Castelo Branco (Faial), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,uebertragen,3.3,-1,-2,"harmonics_utide_tidetables.txt|Castelo Branco (Faial), Açores, Portugal [B 0.0 km] Tafel 4.6 cm +2/-1, Kurve 2.2 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Castelo Branco (Faial), Açores, Portugal",,,
Salão (Faial),HORTA,38.6283,-28.6617,"Salão (Faial), Açores, Portugal",Horta (Ilha do Faial),IH-Konstanten,3.5,nachgefuehrt,4.4,0,0,"harmonics_utide_tidetables.txt|Salão (Faial), Açores, Portugal [B 0.4 km] Tafel 4.9 cm +2/-1, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Salão (Faial), Açores, Portugal",,,
Santa Cruz das Flores,LAJES DAS FLORES,39.4547,-31.1242,"Santa Cruz das Flores, Açores, Portugal",Lajes das Flores (Ilha das Flores),"harmonics_ticon4_worldwide.txt|Lajes das Flores, Açores, Portugal",3.5,nachgefuehrt,3.2,0,0,"harmonics_att_np208_secondary.txt|Santa Cruz das Flores, Açores, Portugal [- 0.4 km] Tafel 4.5 cm +2/+1, Kurve 1.3 % ; harmonics_ticon4_worldwide.txt|Santa Cruz das Flores, Açores, Portugal [A 0.4 km] Tafel 4.0 cm +4/+5, Kurve 1.1 % ; harmonics_utide_observations.txt|Santa Cruz das Flores, Açores, Portugal [A 0.4 km] Tafel 4.2 cm +4/+5, Kurve 2.1 %",nicht,"Bestand am Ort gleichwertig: harmonics_att_np208_secondary.txt|Santa Cruz das Flores, Açores, Portugal",,,
Corvo,LAJES DAS FLORES,39.6668,-31.1008,"Corvo, Açores, Portugal",Lajes das Flores (Ilha das Flores),"harmonics_ticon4_worldwide.txt|Lajes das Flores, Açores, Portugal",3.5,nachgefuehrt,3.0,0,0,"harmonics_att_np208_secondary.txt|Corvo, Açores, Portugal [- 0.9 km] Tafel 4.4 cm +2/+1, Kurve 1.2 % ; harmonics_utide_tidetables.txt|Corvo, Açores, Portugal [B 0.9 km] Tafel 3.5 cm +1/-2, Kurve 1.3 %",nicht,"Bestand am Ort gleichwertig: harmonics_att_np208_secondary.txt|Corvo, Açores, Portugal",,,
Porto Novo (Sto. Antão),PORTO GRANDE,17.0167,-25.065,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Tarrafal (S. Nicolau),PORTO GRANDE,16.5667,-24.365,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Preguiça (S. Nicolau),PORTO GRANDE,16.56,-24.2867,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Palmeira (Sal),PORTO GRANDE,16.755,-22.9867,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Sal-Rei (Boavista),PORTO GRANDE,16.1733,-22.925,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Maio,PORTO GRANDE,15.135,-23.22,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Praia (Santiago),PORTO GRANDE,14.9117,-23.52,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Tarrafal (Santiago),PORTO GRANDE,15.2783,-23.765,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Mosteiros (Fogo),PORTO GRANDE,15.0333,-24.3467,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Vale de Cavaleiros (Fogo),PORTO GRANDE,14.92,-24.51,,,,,,,,,,nicht,"Kap Verde: an beiden pruefbaren Orten 25-35 min falsch (Palmeira: TICON und UHSLC 235 treffen die IH-Tafel Palmeira auf +2..+10 min, die Konkordanz +51 min liegt 25-35 min daneben; Praia: Konkordanz -17 min, IH-Tafel Praia -38 min); fuer die uebrigen 8 Orte gibt es keine Messung",,,
Foz do Rio Cacheu,CACHEU,12.1667,-16.3333,"Foz do Rio Cacheu, Guinea-Bissau",Cacheu,"harmonics-1997-05-25_mod.txt|Cacheu, Guinea-Bissau",4.5,uebertragen,4.5,0,-1,,neu,,,0,Buch -50 / FES +102 min: FES hier nicht brauchbar
Apilho,CACHEU,12.325,-15.9433,"Apilho, Guinea-Bissau",Cacheu,"harmonics-1997-05-25_mod.txt|Cacheu, Guinea-Bissau",4.5,nachgefuehrt,4.6,0,0,,neu,,,0,Buch +55 / FES -200 min: FES hier nicht brauchbar
Jol,CACHEU,12.2783,-15.8983,"Jol, Guinea-Bissau",Cacheu,"harmonics-1997-05-25_mod.txt|Cacheu, Guinea-Bissau",4.5,nachgefuehrt,5.3,1,0,,neu,,,0,Buch +80 / FES -200 min: FES hier nicht brauchbar
Maca,CACHEU,12.3067,-15.73,"Maca, Guinea-Bissau",Cacheu,"harmonics-1997-05-25_mod.txt|Cacheu, Guinea-Bissau",4.5,nachgefuehrt,5.7,1,0,,neu,,,0,Buch +95 / FES +43 min: FES hier nicht brauchbar
Canja,CACHEU,12.3267,-15.6767,"Canja, Guinea-Bissau",Cacheu,"harmonics-1997-05-25_mod.txt|Cacheu, Guinea-Bissau",4.5,nachgefuehrt,5.7,1,0,,neu,,,0,Buch +155 / FES +43 min: FES hier nicht brauchbar
Barro,CACHEU,12.3533,-15.605,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Bigene,CACHEU,12.4117,-15.5283,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Binta,CACHEU,12.42,-15.3467,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Farim,CACHEU,12.4783,-15.2233,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Bóia de aterragem,CAIÓ,11.82,-16.725,"Bóia de aterragem (Caió), Guinea-Bissau",Caió,"harmonics_utide_tidetables.txt|Ilheu de Caio, Guinea-Bissau",3.7,nachgefuehrt,2.7,0,0,,neu,,,0,Buch -60 / FES -36 min: FES hier nicht brauchbar
Foz do Rio Cacheu,CAIÓ,12.1667,-16.3333,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Cametonco,BUBAQUE,11.1733,-15.22,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Cobumba,BUBAQUE,11.3617,-15.1433,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Bruce,BUBAQUE,11.2017,-15.8383,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Inorei,BUBAQUE,11.3067,-15.6617,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Abú,BUBAQUE,11.455,-15.9033,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Ponta Oeste,BUBAQUE,11.525,-15.635,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Bolama,BUBAQUE,11.5783,-15.4717,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Gã Mitilia,BUBAQUE,11.6467,-15.4717,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Buba,BUBAQUE,11.5867,-15.0017,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
João Vieira,BUBAQUE,11.0567,-15.6283,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Eguba,BUBAQUE,11.3283,-16.025,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Uno,BUBAQUE,11.2417,-16.1617,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Poilão,BUBAQUE,10.8683,-15.7317,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Água Izé,ANA CHAVES,0.2183,6.7333,"Água Izé, São Tomé and Príncipe",Ana Chaves,"harmonics_ticon4_worldwide.txt|São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",4.4,uebertragen,4.4,0,0,,neu,,,0,Buch +0 / FES -1 min: FES hier nicht brauchbar
Baía das Agulhas,SANTO ANTÓNIO,1.61,7.3633,"Baía das Agulhas, São Tomé and Príncipe",Santo António,"harmonics_utide_tidetables.txt|Santo António (Ilha do Príncipe), São Tomé and Príncipe",3.1,uebertragen,3.1,0,0,,neu,,,0,Buch +0 / FES +1 min: FES hier nicht brauchbar
Cabinda,SOYO,-5.5483,12.1933,,,,,,,,,,nicht,"ATT-Standardhafen Cabinda (NP208) 38-40 min frueher; +32 min gegen Soyo (Kongomuendung) waere Luanda +56 min an offener Kueste, Luanda-Lobito sind 11 min",,,
Enseada do Capulo,LUANDA,-7.995,13.1833,"Enseada do Capulo, Angola",Luanda,"harmonics_utide_observations.txt|Luanda, Angola",4.1,nachgefuehrt,3.4,0,0,,neu,,,0,Buch +4 / FES +0 min: bestaetigt
Porto Amboim,LUANDA,-10.73,13.7533,"Porto Amboim, Angola",Luanda,"harmonics_utide_observations.txt|Luanda, Angola",4.1,nachgefuehrt,3.3,0,0,"harmonics_att_np208_secondary.txt|Porto Amboim, Angola [- 0.4 km] Tafel 4.4 cm +1/+1, Kurve 4.3 % ; harmonics_noaa_eutt.txt|Porto Amboim, Angola [- 0.4 km] Tafel 8.9 cm +17/+9, Kurve 4.7 %",nicht,"Bestand am Ort gleichwertig: harmonics_att_np208_secondary.txt|Porto Amboim, Angola",,,Buch -5 / FES -7 min: bestaetigt
Novo Redondo,LOBITO,-11.1933,13.8367,"Novo Redondo, Angola",Lobito,"harmonics_utide_observations.txt|Lobito, Angola",3.3,uebertragen,3.5,-1,0,,neu,,,0,Buch +0 / FES +1 min: bestaetigt
Benguela,LOBITO,-12.5767,13.3983,"Benguela, Angola",Lobito,"harmonics_utide_observations.txt|Lobito, Angola",3.3,uebertragen,3.3,-1,0,,neu,,,0,Buch +0 / FES -0 min: bestaetigt
Baía dos Elefantes,LOBITO,-13.2317,12.7233,"Baía dos Elefantes, Angola",Lobito,"harmonics_utide_observations.txt|Lobito, Angola",3.3,uebertragen,3.3,-1,0,,neu,,,0,Buch -4 / FES -3 min: bestaetigt
Santa Maria,NAMIBE,-13.4233,12.5433,"Santa Maria, Angola",Namibe (Moçâmedes),"harmonics_ticon4_worldwide.txt|Moçâmedes (Namibe), Angola",3.4,nachgefuehrt,3.7,0,0,,neu,,,0,Buch -1 / FES +6 min: bestaetigt
Santa Marta,NAMIBE,-13.8772,12.4327,"Santa Marta, Angola",Namibe (Moçâmedes),"harmonics_ticon4_worldwide.txt|Moçâmedes (Namibe), Angola",3.4,nachgefuehrt,3.4,0,0,,neu,,,0,Buch +2 / FES +5 min: bestaetigt
Tômbwa,NAMIBE,-15.8,11.855,"Tômbwa, Angola",Namibe (Moçâmedes),"harmonics_ticon4_worldwide.txt|Moçâmedes (Namibe), Angola",3.4,nachgefuehrt,3.2,0,0,,neu,,,0,Buch -13 / FES -4 min: bestaetigt
Baía dos Tigres,NAMIBE,-16.599,11.7238,"Baía dos Tigres, Angola",Namibe (Moçâmedes),"harmonics_ticon4_worldwide.txt|Moçâmedes (Namibe), Angola",3.4,nachgefuehrt,3.5,0,0,,neu,,,0,Buch +2 / FES -7 min: bestaetigt
Matola,MAPUTO,-25.98,32.4817,"Matola, Mozambique",Maputo,"harmonics_utide_observations.txt|Maputo, Mozambique",5.2,nachgefuehrt,4.4,0,0,,neu,,,0,Buch +15 / FES +0 min: FES hier nicht brauchbar
Catembe,MAPUTO,-25.98,32.5617,"Catembe, Mozambique",Maputo,"harmonics_utide_observations.txt|Maputo, Mozambique",5.2,nachgefuehrt,4.2,0,0,"harmonics_ticon4_worldwide.txt|Maputo, Mozambique [A 0.9 km] Tafel 5.2 cm +6/+6, Kurve 3.0 % ; harmonics_utide_observations.txt|Maputo, Mozambique [A 0.9 km] Tafel 5.2 cm +5/+6, Kurve 1.0 %",nicht,gleich dem Standardhafen,,,Buch +0 / FES +0 min: FES hier nicht brauchbar
Canal da Polana,MAPUTO,-25.9783,32.615,"Canal da Polana, Mozambique",Maputo,"harmonics_utide_observations.txt|Maputo, Mozambique",5.2,nachgefuehrt,4.2,0,0,,nicht,gleich dem Standardhafen,,,Buch +0 / FES -3 min: FES hier nicht brauchbar
Canal da Xefina,MAPUTO,-25.945,32.69,"Canal da Xefina, Mozambique",Maputo,"harmonics_utide_observations.txt|Maputo, Mozambique",5.2,nachgefuehrt,3.8,0,0,,neu,,,0,Buch -15 / FES -30 min: FES hier nicht brauchbar
Baixo Ribeiro,MAPUTO,-25.9117,32.8017,"Baixo Ribeiro, Mozambique",Maputo,"harmonics_utide_observations.txt|Maputo, Mozambique",5.2,nachgefuehrt,3.5,0,0,,neu,,,0,Buch -25 / FES -70 min: FES hier nicht brauchbar
Barra Norte,MAPUTO,-25.78,32.8333,"Barra Norte, Mozambique",Maputo,"harmonics_utide_observations.txt|Maputo, Mozambique",5.2,nachgefuehrt,3.4,0,0,,neu,,,0,Buch -30 / FES -157 min: FES hier nicht brauchbar
Baixo do Meio,MAPUTO,-25.8667,32.9333,"Baixo do Meio, Mozambique",Maputo,"harmonics_utide_observations.txt|Maputo, Mozambique",5.2,nachgefuehrt,3.4,0,0,,neu,,,0,Buch -30 / FES -173 min: FES hier nicht brauchbar
Baixos da Inhaca,MAPUTO,-25.9,32.9,"Baixos da Inhaca, Mozambique",Maputo,"harmonics_utide_observations.txt|Maputo, Mozambique",5.2,nachgefuehrt,3.4,0,0,,neu,,,0,Buch -27 / FES -135 min: FES hier nicht brauchbar
Linga-Linga,INHAMBANE,-23.7333,35.405,"Linga-Linga, Mozambique",Inhambane,"harmonics_ticon4_worldwide.txt|Inhambane (Rio Matumba.), Mozambique (an die IH-Tafel nachgefuehrt)",4.9,nachgefuehrt,4.6,0,0,,neu,,,0,Buch -26 / FES -35 min: FES hier nicht brauchbar
Pedestal,INHAMBANE,-23.7067,35.415,"Pedestal (Inhambane), Mozambique",Inhambane,"harmonics_ticon4_worldwide.txt|Inhambane (Rio Matumba.), Mozambique (an die IH-Tafel nachgefuehrt)",4.9,uebertragen,4.5,0,-1,,neu,,,0,Buch -32 / FES -46 min: FES hier nicht brauchbar
Bóia de espera,INHAMBANE,-23.675,35.4867,"Bóia de espera (Inhambane), Mozambique",Inhambane,"harmonics_ticon4_worldwide.txt|Inhambane (Rio Matumba.), Mozambique (an die IH-Tafel nachgefuehrt)",4.9,uebertragen,4.7,0,0,,neu,,,0,Buch -75 / FES -61 min: FES hier nicht brauchbar
Farol da Barra,INHAMBANE,-23.79,35.5383,"Farol da Barra (Inhambane), Mozambique",Inhambane,"harmonics_ticon4_worldwide.txt|Inhambane (Rio Matumba.), Mozambique (an die IH-Tafel nachgefuehrt)",4.9,uebertragen,4.7,-1,0,,neu,,,0,Buch -86 / FES -60 min: FES hier nicht brauchbar
Bazaruto,BEIRA,-21.65,35.433,"Bazaruto, Mozambique",Beira,"harmonics_utide_tidetables.txt|Beira, Mozambique",3.6,nachgefuehrt,3.0,0,0,"harmonics_att_np203_secondary.txt|Bazaruto, Mozambique [- 0.0 km] Tafel 17.2 cm -5/-10, Kurve 4.5 % ; harmonics_noaa_cptt.txt|Bazaruto, Mozambique [- 0.0 km] Tafel 13.2 cm -11/-8, Kurve 4.5 %",neu,,"harmonics_att_np203_secondary.txt|Bazaruto, Mozambique [- 0.0 km] Tafel 17.2 cm -5/-10, Kurve 4.5 % ; harmonics_noaa_cptt.txt|Bazaruto, Mozambique [- 0.0 km] Tafel 13.2 cm -11/-8, Kurve 4.5 %",2,Buch -24 / FES -303 min: FES hier nicht brauchbar
Bartolomeu Dias,BEIRA,-21.1767,35.1217,"Bartolomeu Dias, Mozambique",Beira,"harmonics_utide_tidetables.txt|Beira, Mozambique",3.6,nachgefuehrt,3.0,0,0,,neu,,,0,Buch -19 / FES -313 min: FES hier nicht brauchbar
Ilhas Chiloane,BEIRA,-20.6183,34.885,"Ilhas Chiloane, Mozambique",Beira,"harmonics_utide_tidetables.txt|Beira, Mozambique",3.6,nachgefuehrt,3.2,0,0,,neu,,,0,Buch -26 / FES -235 min: FES hier nicht brauchbar
Sofala,BEIRA,-20.1575,34.7373,"Sofala, Mozambique",Beira,"harmonics_utide_tidetables.txt|Beira, Mozambique",3.6,nachgefuehrt,3.4,0,0,"harmonics_att_np203_secondary.txt|Sofala, Mozambique [- 0.0 km] Tafel 36.5 cm +6/+3, Kurve 4.9 %",neu,,"harmonics_att_np203_secondary.txt|Sofala, Mozambique [- 0.0 km] Tafel 36.5 cm +6/+3, Kurve 4.9 %",1,Buch -20 / FES -163 min: FES hier nicht brauchbar
Canal do Macuti,BEIRA,-19.8883,34.8483,"Canal do Macuti, Mozambique",Beira,"harmonics_utide_tidetables.txt|Beira, Mozambique",3.6,nachgefuehrt,3.3,0,0,,neu,,,0,Buch -10 / FES -73 min: FES hier nicht brauchbar
Pilotos da Beira,BEIRA,-19.8667,34.95,"Pilotos da Beira, Mozambique",Beira,"harmonics_utide_tidetables.txt|Beira, Mozambique",3.6,nachgefuehrt,3.2,0,0,,neu,,,0,Buch -25 / FES -277 min: FES hier nicht brauchbar
