name_a,name_b,begruendung,km,kurve_prozent,dt_h,guete,namensueberlappung,spur,haufen,datei_a,datei_b,Neuer gemeinsamer Name
"Lobos De Afuera, Peru","Lobos de Afuera, Peru",,0.00,2.2,-0.10,1000,1.00,N,1339,harmonics_ticon4_worldwide.txt,harmonics_utide_observations.txt,
"Dadens, British Columbia, Canada","Solide Passage, British Columbia, Canada",,0.00,2.3,-0.03,998,0.67,N,564,harmonics-2004-06-14_mod.txt,harmonics-2004-06-14_mod.txt,
"Dadens, British Columbia, Canada","Henslung Cove, British Columbia, Canada",,0.00,2.4,-0.05,998,0.67,N,564,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Dipper Harbour West, New Brunswick, Canada","West Dipper Harbour, New Brunswick, Canada",,0.00,2.5,+0.07,998,1.00,N,609,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Luderitz Bay, Namibia","Luderitz, Namibia",,0.00,2.6,+0.12,1000,1.00,N,1377,harmonics_ticon4_worldwide.txt,harmonics_utide_observations.txt,
"Tubuai, Austral Islands, French Polynesia (1)","Tubuai, Austral Islands, French Polynesia (3)",,0.00,2.6,+0.12,1000,1.00,N,2646,harmonics_ticon4_worldwide.txt,harmonics_ticon4_worldwide.txt,
"Haysport, British Columbia, Canada","Port Essington, British Columbia, Canada",,0.00,2.9,-0.02,999,0.67,N,1934,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"St. Mary's (Isles of Scilly), England, United Kingdom","St. Mary's, England, United Kingdom",,0.00,3.4,+0.02,998,1.00,N,2414,harmonics_utide_observations.txt,harmonics_utide_tidetables.txt,
"Brooksby Point, British Columbia, Canada","Uchucklesit Inlet, British Columbia, Canada",,0.00,3.4,+0.08,1000,0.50,N,2667,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Godfrey Point, British Columbia, Canada","Seabreeze Point, British Columbia, Canada",,0.00,3.6,+0.05,993,0.75,N,799,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Claxton, British Columbia, Canada","Klaxton Creek, British Columbia, Canada",,0.00,3.7,-0.05,998,0.67,N,1165,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
