name_a,name_b,begruendung,km,kurve_prozent,dt_h,guete,namensueberlappung,spur,haufen,datei_a,datei_b,Neuer gemeinsamer Name
"La Trinité, Crac'h River, France","La Trinité-sur-Mer, France",,0.84,8.5,-0.08,1000,0.50,N,1256,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Tago Minato, Shizuoka, Japan","Tago, Shizuoka, Japan",,0.84,8.9,-0.07,1000,1.00,N,2475,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Base Carlini (Caleta Potter, Isla 25 de Mayo), Antártida Argentina, Argentina","Dallmann, Antártida Argentina, Argentina",,0.85,0.8,+0.00,1000,0.67,N,573,harmonics_utide_tidetables.txt,harmonics_utide_observations.txt,
"Bantam, Cocos Islands, Western Australia, Australia","Port Refuge, Western Australia, Australia",,0.85,1.4,+0.02,1000,0.50,N,1966,harmonics_utide_observations.txt,harmonics_att_np203_scs.txt,
"Carantec, Château du Taureau, France","Morlaix River entrance, France",,0.85,8.3,+0.13,999,0.00,N,432,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Gono Ura, Iki Shima, Nagasaki, Japan","Gonoura, Nagasaki, Japan",,0.85,9.2,+0.15,999,0.50,N,805,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Stornoway (Isle of Lewis), Scotland, United Kingdom (2)","Stornoway, Scotland, United Kingdom",,0.86,6.9,+0.03,999,1.00,N,2431,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Kagoshima Ko, Kagoshima Kaiwan, Kagoshima, Japan","Kagoshima, Kagoshima, Japan",,0.86,9.1,+0.08,993,1.00,N,1076,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Qui Nhon, Vietnam","Quy Nhon (Phuong Mai), Vietnam",,0.87,0.1,+0.00,1000,0.50,N,2094,harmonics_utide_observations.txt,harmonics_ticon4_worldwide.txt,
"Quy Nhon (Phuong Mai), Vietnam","Quy Nhon (Thi Nai Port), Vietnam",,0.87,0.1,+0.00,1000,0.50,N,2094,harmonics_ticon4_worldwide.txt,harmonics_ticon4_worldwide.txt,
"Stornoway (Isle of Lewis), Scotland, United Kingdom","Stornoway, Scotland, United Kingdom",,0.87,6.5,+0.03,999,1.00,N,2431,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Saint-Martin-de-Ré (Île de Ré), France","St. Martin, Île de Ré, France",,0.89,7.7,-0.03,1000,0.80,N,2192,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Ube Ko, Yamaguchi, Japan","Ube, Yamaguchi, Japan",,0.89,8.9,-0.13,999,1.00,N,2664,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"L'Aber Benoît entrance, France","L'Aber Benoît, France",,0.90,8.9,-0.13,1000,1.00,N,1241,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Port Dickson, Malaysia","Port Dickson, Malaysia (2)",,0.92,1.7,-0.02,1000,1.00,N,1932,harmonics-1997-05-25_mod.txt,harmonics_utide_tidetables.txt,
"Benoa, Bali, Indonesia","Benoa, Indonesia",,0.92,3.4,-0.18,1000,1.00,N,241,harmonics_utide_observations.txt,harmonics_att_np203_scs.txt,
"Nemuro Ko, Hokkaido, Japan","Nemuro, Hokkaido, Japan",,0.92,9.2,-0.12,997,1.00,N,1630,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Snapper Rocks, Queensland, Australia","Tweed River, New South Wales, Australia",,0.93,7.8,-0.13,994,0.00,N,1881,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Pembina Terminal, British Columbia, Canada","Port Edward, British Columbia, Canada",,0.94,1.2,-0.02,1000,0.50,N,1850,harmonics_utide_tidetables.txt,harmonics_utide_tidetables.txt,
"Point Danger (Snapper Rocks), New South Wales, Australia","Tweed River, New South Wales, Australia",,0.94,6.3,-0.20,999,0.60,N,1881,harmonics-2004-06-14_mod.txt,harmonics-2004-06-14_mod.txt,
"Odomari Wan, Kagoshima, Japan","Odomari, Kagoshima, Japan",,0.95,9.4,+0.07,992,1.00,N,1702,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Héaux-de-Bréhat, France","Les Héaux-de-Bréhat, France",,0.96,7.9,+0.00,998,1.00,N,1310,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"La Pallice, France","La Rochelle - La Pallice, France",,0.96,8.9,+0.07,1000,1.00,N,1254,harmonics_noaa_eutt.txt,harmonics_utide_observations.txt,
"Saint-Gilles-Croix-de-Vie, France","St. Gilles sur Vie, France",,0.96,9.5,+0.15,1000,0.50,N,2189,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Saint-Laurent-de-l'Île-d'Orléans, Québec, Canada","St. Laurent d' Orleans, Québec, Canada",,0.98,8.2,+0.02,1000,0.40,N,2410,harmonics_utide_tidetables.txt,harmonics_noaa_amtt.txt,
"Saint-Malo, France","St. Malo, France",,0.98,8.5,+0.08,998,0.50,N,2412,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Uragami, Wakayama, Japan","Urakami Ko, Wakayama, Japan",,0.98,9.5,+0.07,1000,0.50,N,2683,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Saint Peter Port, Guernsey, Channel Islands","St. Peter Port, Guernsey Island, Channel Islands",,0.99,7.4,+0.02,998,0.75,N,2184,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Cua Cam Approaches (Hon Dau), Vietnam","Do Son, Vietnam",,1.00,0.8,+0.03,1000,0.00,N,548,harmonics_att_np203_scs.txt,harmonics-1997-05-25_mod.txt,
"Omaezaki, Shizuoka, Japan","Omai Saki, Shizuoka, Japan",,1.05,8.8,+0.18,1000,0.50,N,1725,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Kushiro Ko, Hokkaido, Japan","Kushiro, Hokkaido, Japan",,1.06,8.9,+0.22,997,1.00,N,1229,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"River Tees (Teesmouth), England, United Kingdom","River Tees (Teesmouth), England, United Kingdom",,1.07,8.4,+0.00,1000,0.75,N,2147,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Aburatsubo, Kanagawa, Japan","Moroiso, Kanagawa, Japan",,1.12,4.9,-0.13,998,0.50,N,1530,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Caleta La Misión, Tierra del Fuego, Argentina","Caleta la Misión, Tierra del Fuego, Argentina",,1.16,2.7,-0.02,1000,1.00,N,376,harmonics_utide_tidetables.txt,harmonics_att_np207.txt,
"Nagasaki (Matsugae), Nagasaki, Japan","Nagasaki (Mizunoura), Nagasaki, Japan",,1.16,7.3,-0.05,998,0.50,N,1592,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Kushimoto, Fukuro Ko, Wakayama, Japan","Kushimoto, Wakayama, Japan",,1.18,8.5,-0.02,999,1.00,N,1228,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Lorient (Port de commerce), France","Lorient, France",,1.20,8.8,+0.07,1000,1.00,N,1356,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Bitung (Lembeh Strait), Sulawesi, Indonesia","Bitung, Indonesia",,1.23,4.2,-0.17,997,1.00,N,268,harmonics_utide_observations.txt,harmonics_att_np203_scs.txt,
"Rothesay (Bute), Scotland, United Kingdom","Rothesay Bay, Firth of Clyde, Scotland, United Kingdom",,1.26,9.9,+0.13,998,0.67,N,2161,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Shimoda Ko, Shizuoka, Japan","Shimoda, Shizuoka, Japan",,1.27,8.6,-0.12,1000,1.00,N,2329,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Kuchinotsu Wan, Nagasaki, Japan","Kuchinotsu, Nagasaki, Japan",,1.27,9.6,+0.10,999,1.00,N,1214,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Clarks Harbour, Nova Scotia, Canada","Swim Point, Nova Scotia, Canada",,1.29,2.5,-0.05,1000,0.50,N,502,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Clarks Harbour, Nova Scotia, Canada","Swims Point, Nova Scotia, Canada",,1.29,2.8,-0.03,1000,0.50,N,502,harmonics_utide_tidetables.txt,harmonics_utide_tidetables.txt,
"Areia Branca (Salineiro Terminal), Rio Grande do Norte, Brazil","Areia Branca (Terminal Salineiro), Rio Grande do Norte, Brazil",,1.31,1.8,+0.03,999,1.00,N,83,harmonics_att_np207.txt,harmonics_utide_tidetables.txt,
"Zorritos, Peru","Zorritos, Tumbes, Peru",,1.32,7.4,-0.13,1000,1.00,N,2840,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Miyako (Kuwagasaki), Iwate, Japan","Miyako Ko, Iwate, Japan",,1.32,8.5,-0.17,1000,0.67,N,1505,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Hyder, Portland Canal, Alaska","Stewart, British Columbia, Canada",,1.35,0.5,+0.00,1000,0.00,N,976,harmonics-dwf-20251228-free.txt,harmonics_utide_tidetables.txt,
"Kazi-Ga-Hana, Fukuoka, Japan","Moji, Fukuoka, Japan",,1.36,2.9,+0.02,1000,0.50,N,1128,harmonics-2004-06-14_mod.txt,harmonics_utide_observations.txt,
"Kazi-Ga-Hana, Fukuoka, Japan","Miojin Hana, Fukuoka, Japan",,1.36,3.6,+0.02,999,0.67,N,1128,harmonics-2004-06-14_mod.txt,harmonics_ticon4_worldwide.txt,
"Tobermory (Island of Mull), Scotland, United Kingdom","Tobermory, Sound of Mull, Scotland, United Kingdom",,1.37,8.6,+0.00,973,0.80,N,2586,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Scrabster (Thurso), Scotland, United Kingdom","Thurso, Scotland, United Kingdom",,1.38,7.9,-0.10,995,0.50,N,2277,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Harumi, Tokyo, Japan","Tsukiji, Tokyo, Japan",,1.39,5.4,-0.32,1000,0.50,N,2642,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Komatsushima Ko, Tokushima, Japan","Komatushima, Tokushima, Japan",,1.40,8.9,-0.15,1000,0.50,N,1176,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Cardiff, Wales, United Kingdom","Penarth, Wales, United Kingdom",,1.44,4.9,+0.13,998,0.50,N,435,harmonics_utide_tidetables.txt,harmonics_utide_observations.txt,
"Cap Ferret, Bassin d'Arcachon, France","Cap Ferret, France",,1.46,5.9,-0.10,1000,1.00,N,399,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Barrow (Ramsden Dock), England, United Kingdom","Barrow-in-Furness (Ramsden Dock), England, United Kingdom",,1.46,7.4,-0.10,1000,1.00,N,194,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Entrée rivière d'Étel, France","Port d'Étel, France",,1.50,7.0,-0.28,1000,0.50,N,1982,harmonics_utide_tidetables.txt,harmonics_utide_tidetables.txt,
"Port Of Bristol (Avonmouth), England, United Kingdom","Portbury, England, United Kingdom",,1.52,4.8,+0.15,999,0.50,N,111,harmonics_utide_tidetables.txt,harmonics_utide_observations.txt,
"Himeji (Shikama), Hyogo, Japan","Shikama Ko, Hyogo, Japan",,1.52,7.7,+0.30,1000,0.67,N,2326,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Avonmouth (Port of Bristol), England, United Kingdom","Portbury, England, United Kingdom",,1.53,1.1,+0.00,998,0.50,N,111,harmonics_utide_observations.txt,harmonics_utide_observations.txt,
"IJmuiden Zuidelijk Havenhoofd, Netherlands","IJmuiden, buitenhaven, Netherlands",,1.54,1.3,-0.02,1000,0.50,N,981,harmonics_ticon4_worldwide.txt,harmonics_utide_observations.txt,
"Tachibana Ura, Tokushima, Japan","Tachibana, Tokushima, Japan",,1.54,9.8,-0.10,1000,1.00,N,2468,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Kogo, Nagasaki, Japan","Megami, Nagasaki, Japan",,1.55,6.6,-0.02,1000,0.50,N,1458,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Abashiri Byochi, Hokkaido, Japan","Abashiri, Hokkaido, Japan",,1.56,4.0,+0.18,1000,1.00,N,2,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Estuaire-de-la-Saint-Charles, Québec, Canada","Vieux-Québec, Québec, Canada",,1.57,1.7,+0.03,1000,0.50,N,692,harmonics_ticon4_worldwide.txt,harmonics_utide_tidetables.txt,
"Dendermonde Afwaarts DVW, Belgium","Dendermonde, Belgium",,1.57,5.9,+0.15,1000,1.00,N,593,harmonics_utide_observations.txt,harmonics_utide_observations.txt,
"Porto de Itaqui, Maranhão, Brazil","Terminal da Ponta da Madeira, Maranhão, Brazil",,1.59,2.7,+0.03,999,0.25,N,2558,harmonics_utide_tidetables.txt,harmonics_utide_tidetables.txt,
"Base Prat (Bahía Chile, Isla Greenwich), Chile","Discovery Bay, Antarctica",,1.60,5.3,+0.03,999,0.00,N,610,harmonics_utide_tidetables.txt,harmonics_att_np207.txt,
"Clachnaharry, Scotland, United Kingdom","Inverness, Scotland, United Kingdom",,1.61,6.9,-0.25,996,0.50,N,1013,harmonics_utide_observations.txt,harmonics_utide_tidetables.txt,
"Hoek van Holland, Maeslantkering, Beneden, noord, Netherlands","Scheurhaven, Netherlands",,1.62,4.7,+0.12,999,0.00,N,944,harmonics_utide_observations.txt,harmonics_utide_observations.txt,
"Casey Cove, British Columbia, Canada","Fairview Terminal, British Columbia, Canada",,1.63,0.9,-0.03,1000,0.50,N,444,harmonics_utide_tidetables.txt,harmonics_utide_tidetables.txt,
"Chichijima, Tokyo, Japan","Futami Ko, Ogasawara Gunto, Tokyo, Japan",,1.63,6.9,+0.10,1000,0.50,N,764,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Chichijima, Tokyo, Japan (2)","Futami Ko, Ogasawara Gunto, Tokyo, Japan",,1.63,7.0,+0.10,999,0.50,N,764,harmonics_ticon4_worldwide.txt,harmonics_noaa_cptt.txt,
"L'Aber Wrac'h (Fort Cézon), France","L'Aber Wrac'h, France",,1.64,7.5,-0.02,1000,1.00,N,1243,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Boucau-Bayonne, France","Le Boucau, Adour River, France",,1.68,6.3,-0.03,1000,0.50,N,1290,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Hukuro Ura (Minamata), Kumamoto, Japan","Minamata, Kumamoto, Japan",,1.70,6.8,+0.10,1000,1.00,N,970,harmonics-2004-06-14_mod.txt,harmonics_utide_observations.txt,
"Discovery Bay, Antarctica","Puerto Soberania, South Shetland Islands, Antarctica",,1.73,2.2,-0.07,1000,0.00,N,610,harmonics_att_np207.txt,harmonics_ticon4_worldwide.txt,
"Camaret, France","Camaret-sur-Mer, France",,1.78,7.7,+0.07,1000,1.00,N,383,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Cobh, Ireland","Ringaskiddy (NMCI), Ireland",,1.79,7.0,+0.17,995,0.00,N,509,harmonics_utide_tidetables.txt,harmonics_ticon4_worldwide.txt,
"Arzon (Port Crouesty), France","Port-Navalo, France",,1.81,5.5,-0.18,1000,0.50,N,1992,harmonics_utide_observations.txt,harmonics_utide_tidetables.txt,
"Arzon (Port Crouesty), France","Port Navalo, Morbihan entrance, France",,1.81,8.8,-0.13,1000,0.33,N,1992,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Auckland, Auckland, New Zealand","Westhaven Inlet, New Zealand",,1.83,4.2,+0.15,999,0.00,N,103,harmonics_utide_observations.txt,harmonics_utide_tidetables.txt,
"Auckland, New Zealand","Westhaven Inlet, New Zealand",,1.83,4.3,+0.15,999,0.00,N,103,harmonics_ticon4_worldwide.txt,harmonics_utide_tidetables.txt,
"Southend Pier, Thames River, England, United Kingdom","Southend-on-Sea, England, United Kingdom",,1.83,8.3,-0.07,1000,0.50,N,2389,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Saint-Jean-de-Luz (Ciboure), France","Saint-Jean-de-Luz (Socoa), France",,1.84,1.7,+0.07,1000,0.80,GN,2404,harmonics_utide_observations.txt,harmonics_utide_observations.txt,
"Henshima, Kochi, Japan","Katasima (Sukumo Wan), Kochi, Japan",,1.85,6.2,+0.08,1000,0.50,N,1119,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Portland Roads, Queensland, Australia","Rocky Island, Queensland, Australia",,1.85,6.9,-0.02,981,0.33,N,1999,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Isla Neny, Antarctica","Stonington, Antarctica",,1.86,2.7,-0.03,999,0.00,N,2430,harmonics-1997-05-25_mod.txt,harmonics_att_np207.txt,
"Chibaminato, Chiba, Japan","Samugawa, Chiba, Japan",,1.91,3.2,-0.03,999,0.50,N,2213,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Brentwood Bay, British Columbia, Canada","Tod Inlet, British Columbia, Canada",,1.91,3.7,+0.13,1000,0.50,N,2590,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Miyazu, Kyoto, Japan","Shiizaki, Kyoto, Japan",,1.95,7.8,-0.15,1000,0.50,N,2324,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Kuji Wan, Iwate, Japan","Kuji, Iwate, Japan",,1.97,8.7,+0.03,999,1.00,N,1217,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Katanohara (Katahara), Aichi, Japan","Suzaki, Aichi, Japan",,1.98,5.9,+0.02,999,0.50,N,2458,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Penmarc'h, France","Saint-Guénolé (Pointe de Penmarch), France",,1.98,8.6,+0.02,999,0.00,N,2190,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Fromentine (La Barre-de-Monts), France","Fromentine, France",,2.22,8.8,-0.02,1000,1.00,GN,751,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Bayonne (Pont Blanc), France","Bayonne (Pont Grenet), France",,2.24,7.0,+0.30,999,0.67,G,209,harmonics_utide_observations.txt,harmonics_utide_observations.txt,
"Corral, Bahía Corral, Chile","Corral, Chile",,2.27,7.0,-0.02,999,1.00,G,531,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Trepassey Harbour, Newfoundland, Canada","Trepassey, Newfoundland, Canada",,2.28,9.0,+0.15,996,1.00,GN,2617,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Saint-Jean-de-Luz (Ciboure), France","St. Jean de Luz (Socoa), France",,2.30,6.7,-0.07,1000,0.60,GN,2404,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Bayovar, Peru","Bayóvar, Piura, Peru",,2.38,10.0,-0.18,1000,1.00,G,212,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Itozaki (Mihara), Hiroshima, Japan","Itozaki, Hiroshima, Japan",,2.41,3.6,-0.13,999,1.00,G,1032,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Ambon, Indonesia","Ambon, Maluku, Indonesia",,2.62,3.6,+0.12,996,1.00,GN,41,harmonics_att_np203_scs.txt,harmonics_utide_observations.txt,
