Quelle;Station;Typ;Lat;Lon;Referenz-Quelle;Referenz-Station;Match-Typ;Distanz_km;Ø_Zeitdiff_min;Ø_Höhendiff_m;N_Events;Status
Classic 1997;Beachley (Aust), River Severn, England, United Kingdom;Ref;51.6;-2.6333;;;;;;;;Keine Referenz gefunden
Classic 1997;Beira, Moçambique;Ref;-19.8261;34.8327;;;;;;;;Keine Referenz gefunden
Classic 1997;Belawan, Sumatra, Indonesia;Ref;3.8333;98.7167;;;;;;;;Keine Referenz gefunden
Classic 1997;Belfast (Lagan Weir), Northern Ireland, United Kingdom;Ref;54.6014;-5.9215;;;;;;;;Keine Referenz gefunden
Classic 1997;Berbera, Somalia;Ref;10.4408;45.0028;;;;;;;;Keine Referenz gefunden
Classic 1997;Beypore, India;Ref;11.1667;75.8;;;;;;;;Keine Referenz gefunden
Classic 1997;Bhavnagar, India;Ref;21.8;72.15;;;;;;;;Keine Referenz gefunden
Classic 1997;Bissau, Guinea-Bissau;Ref;11.858;-15.5774;;;;;;;;Keine Referenz gefunden
Classic 1997;Bolama, Guinea-Bissau;Ref;11.5788;-15.471;;;;;;;;Keine Referenz gefunden
Classic 1997;Bolinao, Philippines;Ref;16.4;119.9;;;;;;;;Keine Referenz gefunden
Classic 1997;Bonny, Nigeria;Ref;4.45;7.1667;;;;;;;;Keine Referenz gefunden
Classic 1997;Bubaque, Guinea-Bissau;Ref;11.2996;-15.8265;;;;;;;;Keine Referenz gefunden
Classic 1997;Buenos Aires, Argentina (1);Ref;-34.6;-58.3667;;;;;;;;Keine Referenz gefunden
Classic 1997;Buenos Aires, Argentina (2);Ref;-34.5667;-58.3833;TICON4;Buenos Aires (Club de Pescadores), Argentina;Proximity (1.6km);1.6;-196.0;0.814;3;OK
Classic 1997;Bushehr, Iran;Ref;28.919;50.804;;;;;;;;Keine Referenz gefunden
Classic 1997;Cabedelo, Brazil;Ref;-6.9667;-34.8333;;;;;;;;Keine Referenz gefunden
Classic 1997;Cabo Frio, Brazil;Ref;-22.9736;-42.0133;;;;;;;;Keine Referenz gefunden
Classic 1997;Cabo San Pablo, Argentina;Ref;-54.2833;-66.7;;;;;;;;Keine Referenz gefunden
Classic 1997;Cacheu, Guinea-Bissau;Ref;12.2787;-16.1652;;;;;;;;Keine Referenz gefunden
Classic 1997;Caio, Guinea-Bissau;Ref;11.9226;-16.2136;;;;;;;;Keine Referenz gefunden
Classic 1997;Calabar, Nigeria;Ref;4.9667;8.3167;;;;;;;;Keine Referenz gefunden
Classic 1997;Calcutta (Garden Reach), India;Ref;22.55;88.3;;;;;;;;Keine Referenz gefunden
Classic 1997;Caleta Brent, Argentina;Ref;-54.8333;-64.3667;;;;;;;;Keine Referenz gefunden
Classic 1997;Calshot Harbour, Edinburgh of the Seven Seas, Tristan da Cunha Island;Ref;-37.0637;-12.3133;;;;;;;;Keine Referenz gefunden
Classic 1997;Câm Pha, Vietnam;Ref;21.0333;107.3667;;;;;;;;Keine Referenz gefunden
Classic 1997;Cam Ranh, Vietnam;Ref;11.896;109.1429;;;;;;;;Keine Referenz gefunden
Classic 1997;Campeche City, Campeche, México;Ref;19.8645;-90.5281;;;;;;;;Keine Referenz gefunden
Classic 1997;Canal Galheta, Brazil;Ref;-25.5667;-48.3167;;;;;;;;Keine Referenz gefunden
Classic 1997;Cap Boujdour, Western Sahara;Ref;26.1167;-14.5;;;;;;;;Keine Referenz gefunden
Classic 1997;Cardiff, Wales, United Kingdom;Ref;51.4476;-3.1654;;;;;;;;Keine Referenz gefunden
Classic 1997;Carelmapu, Chile;Ref;-41.75;-73.7167;;;;;;;;Keine Referenz gefunden
Classic 1997;Casablanca (Port), Morocco;Ref;33.6073;-7.6169;;;;;;;;Keine Referenz gefunden
Classic 1997;Casablanca, Morocco;Ref;33.607;-7.6166;;;;;;;;Keine Referenz gefunden
Classic 1997;Cayenne, French Guiana;Ref;4.9167;-52.3333;;;;;;;;Keine Referenz gefunden
Classic 1997;Chandbali (Dhamra River), India;Ref;20.7714;86.7393;;;;;;;;Keine Referenz gefunden
Classic 1997;Changhang / Gunsan, South Korea;Ref;36.0069;126.6842;;;;;;;;Keine Referenz gefunden
Classic 1997;Charcot, Antarctica;Ref;-65.0667;-64.0333;;;;;;;;Keine Referenz gefunden
Classic 1997;Chiba, Japan;Ref;35.6;140.1167;;;;;;;;Keine Referenz gefunden
Classic 1997;Chinde, Moçambique;Ref;-18.5759;36.4629;;;;;;;;Keine Referenz gefunden
Classic 1997;Chinnampo, North Korea;Ref;38.6833;125.3833;;;;;;;;Keine Referenz gefunden
Classic 1997;Chipiona, España;Ref;36.75;-6.4333;;;;;;;;Keine Referenz gefunden
Classic 1997;Chise P'o, South Korea;Ref;34.8333;128.7167;;;;;;;;Keine Referenz gefunden
Classic 1997;Cobh, Ireland;Ref;51.8494;-8.2938;TICON4;Ringaskiddy (NMCI), Ireland;Proximity (1.8km);1.8;0.0;2.283;4;OK
Classic 1997;Cogo (Puerto Iradier), Equatorial Guinea;Ref;1.0829;9.6935;;;;;;;;Keine Referenz gefunden
Classic 1997;Colonia del Sacramento, Rio de la Plata, Uruguay;Ref;-34.4667;-57.85;;;;;;;;Keine Referenz gefunden
Classic 1997;Comodoro Rivadavia, Argentina;Ref;-45.8667;-67.4833;;;;;;;;Keine Referenz gefunden
Classic 1997;Conakry, Guinea;Ref;9.5024;-13.7154;;;;;;;;Keine Referenz gefunden
Classic 1997;Coquimbo, Chile;Ref;-29.9333;-71.35;;;;;;;;Keine Referenz gefunden
Classic 1997;Corta de los Jeronimos, España;Ref;37.1333;-6.1;;;;;;;;Keine Referenz gefunden
Classic 1997;Croiselles, South Island, New Zealand;Ref;-41.0833;173.7;;;;;;;;Keine Referenz gefunden
Classic 1997;Da Nang, Vietnam;Ref;16.1167;108.2167;;;;;;;;Keine Referenz gefunden
Classic 1997;Deauville, France;Ref;49.3645;0.0791;;;;;;;;Keine Referenz gefunden
Classic 1997;Deokjeokdo (Tokchok To), South Korea;Ref;37.2265;126.1559;;;;;;;;Keine Referenz gefunden
Classic 1997;Diamond Harbour, India;Ref;22.1833;88.1833;;;;;;;;Keine Referenz gefunden
Classic 1997;Diogué (Casamance), Senegal;Ref;12.5706;-16.7419;;;;;;;;Keine Referenz gefunden
Classic 1997;Do Son, Vietnam;Ref;20.6721;106.809;;;;;;;;Keine Referenz gefunden
Classic 1997;Douala, Cameroon (1);Ref;4.05;9.6833;;;;;;;;Keine Referenz gefunden
Classic 1997;Douala, Cameroon (2);Ref;4.05;9.6667;;;;;;;;Keine Referenz gefunden
Classic 1997;Dubayy, United Arab Emirates;Ref;25.2667;55.2833;;;;;;;;Keine Referenz gefunden
Classic 1997;Dundee, Scotland, United Kingdom;Ref;56.4624;-2.9509;;;;;;;;Keine Referenz gefunden
Classic 1997;Egedesminde, Greenland;Ref;68.7167;-52.8833;;;;;;;;Keine Referenz gefunden
Classic 1997;Eskimo Point, Nunavut, Canada;Ref;61.1167;-94.0667;;;;;;;;Keine Referenz gefunden
Classic 1997;Esperanza Station, Antarctica;Ref;-63.3946;-56.9991;TICON4;Esperanza, Argentina;Proximity (0.2km);0.2;-185.0;1.987;3;OK
Classic 1997;Fair Isle, Shetland Islands, Scotland, United Kingdom;Ref;59.5335;-1.5988;;;;;;;;Keine Referenz gefunden
Classic 1997;Falmouth, England, United Kingdom;Ref;50.1515;-5.0595;;;;;;;;Keine Referenz gefunden
Classic 1997;Faro-Olhão, Portugal;Ref;36.978;-7.8665;;;;;;;;Keine Referenz gefunden
Classic 1997;Figueira da Foz, Portugal;Ref;40.15;-8.8667;;;;;;;;Keine Referenz gefunden
Classic 1997;Finnsbu, Greenland;Ref;63.4;-41.2833;;;;;;;;Keine Referenz gefunden
Classic 1997;Florianópolis, Brazil;Ref;-27.5833;-48.55;;;;;;;;Keine Referenz gefunden
Classic 1997;Forari, Vanuatu;Ref;-17.6833;168.55;;;;;;;;Keine Referenz gefunden
Classic 1997;Freeport Harbour, Grand Bahama Island, Bahamas;Ref;26.5187;-78.7779;;;;;;;;Keine Referenz gefunden
Classic 1997;Freetown, Sierra Leone;Ref;8.4925;-13.2747;;;;;;;;Keine Referenz gefunden
Classic 1997;Galle, Sri Lanka;Ref;6.0333;80.2167;;;;;;;;Keine Referenz gefunden
Classic 1997;Gibsons Landing, British Columbia, Canada;Ref;49.4005;-123.5039;;;;;;;;Keine Referenz gefunden
Classic 1997;Godhavn, Disko Island, Greenland;Ref;69.25;-53.55;;;;;;;;Keine Referenz gefunden
Classic 1997;Great Sound, Ireland Island, Bermuda;Ref;32.3167;-64.8333;;;;;;;;Keine Referenz gefunden
Classic 1997;Green Turtle Cay, Bahamas;Ref;26.7701;-77.3245;;;;;;;;Keine Referenz gefunden
Classic 1997;Greenock, Scotland, United Kingdom;Ref;55.9575;-4.7652;;;;;;;;Keine Referenz gefunden
Classic 1997;Greville, South Island, New Zealand;Ref;-40.8667;173.8;;;;;;;;Keine Referenz gefunden
Classic 1997;Guayaquil, Ecuador;Ref;-2.2;-79.8833;;;;;;;;Keine Referenz gefunden
Classic 1997;Haiphong, Vietnam;Ref;20.8667;106.6667;;;;;;;;Keine Referenz gefunden
Classic 1997;Hamad Port (Umm Al-Houl), Qatar;Ref;25.0207;51.6512;;;;;;;;Keine Referenz gefunden
Classic 1997;Harmil Island, Eritrea;Ref;16.5032;40.1689;;;;;;;;Keine Referenz gefunden
Classic 1997;Hillsborough, Carriacou, The Grenadines, Grenada;Ref;12.4836;-61.4591;;;;;;;;Keine Referenz gefunden
Classic 1997;Hobyo, Somalia;Ref;5.3492;48.5299;;;;;;;;Keine Referenz gefunden
Classic 1997;Hon Nieu, Vietnam;Ref;18.8;105.7667;;;;;;;;Keine Referenz gefunden
Classic 1997;Hongay, Vietnam;Ref;20.95;107.0667;;;;;;;;Keine Referenz gefunden
Classic 1997;Horseshoe Bay, British Columbia, Canada;Ref;49.3781;-123.2736;;;;;;;;Keine Referenz gefunden
Classic 1997;Horta, Faial, Açores, Portugal;Ref;38.5333;-28.6167;;;;;;;;Keine Referenz gefunden
Classic 1997;Horten, Norway;Ref;59.4354;10.4943;;;;;;;;Keine Referenz gefunden
Classic 1997;Hrútafjörður, Ísland;Ref;65.2544;-21.108;;;;;;;;Keine Referenz gefunden
Classic 1997;Huangpu, Guangzhou, China;Ref;23.08;113.4381;;;;;;;;Keine Referenz gefunden
Classic 1997;Hull (King George Dock), England, United Kingdom;Ref;53.7402;-0.2728;;;;;;;;Keine Referenz gefunden
Classic 1997;Huludao, Liaoning, China;Ref;40.7095;120.9926;;;;;;;;Keine Referenz gefunden
Classic 1997;Ibo, Moçambique;Ref;-12.3457;40.5808;;;;;;;;Keine Referenz gefunden
Classic 1997;Îles du Salut, French Guiana;Ref;5.2833;-52.5833;UTide FR;Cayenne - Iles du Salut, France;Proximity (0.4km);0.4;-2.9;0.253;8;OK
Classic 1997;Ilha de Moçambique, Moçambique;Ref;-15.0321;40.7343;;;;;;;;Keine Referenz gefunden
Classic 1997;Ilha Guaíba, Brazil;Ref;-23.0;-44.0333;;;;;;;;Keine Referenz gefunden
Classic 1997;Ilot Cone, Cambodia;Ref;11.4167;103.0;;;;;;;;Keine Referenz gefunden
Classic 1997;Inch'on, South Korea;Ref;37.4667;126.5833;;;;;;;;Keine Referenz gefunden
Classic 1997;Inverness, Scotland, United Kingdom;Ref;57.4938;-4.2351;;;;;;;;Keine Referenz gefunden
Classic 1997;Inward Rocks, River Severn, England, United Kingdom;Ref;51.65;-2.6167;;;;;;;;Keine Referenz gefunden
Classic 1997;Iquique, Chile;Ref;-20.2167;-70.1667;;;;;;;;Keine Referenz gefunden
Classic 1997;Isla Martin Garcia, Argentina;Ref;-34.1833;-58.25;;;;;;;;Keine Referenz gefunden
Classic 1997;Isla Neny, Antarctica;Ref;-68.2;-67.0;;;;;;;;Keine Referenz gefunden
Classic 1997;Islas Ano Nuevo, Argentina;Ref;-54.65;-64.1333;;;;;;;;Keine Referenz gefunden
Classic 1997;Itajaí, Brazil;Ref;-26.9;-48.65;;;;;;;;Keine Referenz gefunden
Classic 1997;Iwakuni (Shinminato), Japan;Ref;34.1833;132.2333;;;;;;;;Keine Referenz gefunden
Classic 1997;Jazirat Das, United Arab Emirates;Ref;25.15;52.8833;;;;;;;;Keine Referenz gefunden
Classic 1997;Jazirat Halul, Qatar;Ref;25.6667;52.4;;;;;;;;Keine Referenz gefunden
Classic 1997;Jazireh-ye Khark, Iran;Ref;29.2667;50.3333;;;;;;;;Keine Referenz gefunden
Classic 1997;Jazireh-ye Lavan, Iran;Ref;26.8;53.3833;;;;;;;;Keine Referenz gefunden
Classic 1997;Jeju, Jeju Do, South Korea;Ref;33.5275;126.5431;;;;;;;;Keine Referenz gefunden
Classic 1997;Jinhae, South Korea;Ref;35.1454;128.6421;;;;;;;;Keine Referenz gefunden
Classic 1997;Kacho To, South Korea;Ref;34.3;126.05;;;;;;;;Keine Referenz gefunden
Classic 1997;Kakinada, India;Ref;16.9333;82.25;;;;;;;;Keine Referenz gefunden
Classic 1997;Kandla, India;Ref;23.0036;70.2222;;;;;;;;Keine Referenz gefunden
Classic 1997;Karang Jamuang, Java, Indonesia;Ref;-6.9333;112.7333;;;;;;;;Keine Referenz gefunden
Classic 1997;Karwar, India;Ref;14.8;74.1;;;;;;;;Keine Referenz gefunden
Classic 1997;Khowr-e Musa, Iran;Ref;30.0;49.0;;;;;;;;Keine Referenz gefunden
Classic 1997;Kirkenes, Norway;Ref;69.7333;30.05;;;;;;;;Keine Referenz gefunden
Classic 1997;Ko Si Chang, Thailand;Ref;13.15;100.8167;;;;;;;;Keine Referenz gefunden
Classic 1997;Komun Do, South Korea;Ref;34.0;127.3;;;;;;;;Keine Referenz gefunden
Classic 1997;Koper, Slovenia;Ref;45.55;13.7333;;;;;;;;Keine Referenz gefunden
Classic 1997;Korsakov, Russia;Ref;46.6333;142.75;;;;;;;;Keine Referenz gefunden
Classic 1997;Kralendijk, Bonaire, Caribbean Netherlands;Ref;12.15;-68.2833;;;;;;;;Keine Referenz gefunden
Classic 1997;Kuala Batu Pahat, Malaysia;Ref;1.7991;102.8936;;;;;;;;Keine Referenz gefunden
Classic 1997;Kuala Terengganu, Malaysia;Ref;5.3365;103.1525;;;;;;;;Keine Referenz gefunden
Classic 1997;Kuantan, Malaysia;Ref;3.8333;103.3333;;;;;;;;Keine Referenz gefunden
Classic 1997;Kuching, Malaysia;Ref;1.5607;110.3469;;;;;;;;Keine Referenz gefunden
Classic 1997;La Habana, Cuba;Ref;23.1416;-82.3445;;;;;;;;Keine Referenz gefunden
Classic 1997;La Plata, Argentina;Ref;-34.8333;-57.8833;;;;;;;;Keine Referenz gefunden
