# NP203 Ausgabe 2002, Part III (Harmonic Constants) -- Suedchinesisches Meer
# und Indonesien, also der Bereich, den die Ausgabe 2015 nicht mehr enthaelt.
# Von den Scanseiten in tide_tables/att/np203_2002_vollband.pdf abgelesen
# (PDF-Seite = Buchseite - 164). Zahlen visuell gelesen, die OCR ist hier
# unbrauchbar (nur 101 von 849 Zeilen parsebar).
#
# Spalten (Tab-getrennt):
#   att  name  zone  z0  gM2 HM2  gS2 HS2  gK1 HK1  gO1 HO1  f4 F4  f6 F6
# z0 in Metern ueber Kartennull; "w" = Table VI (Wert aus Part II holen).
# Leere Flachwasserspalten stehen als "-".
# Zeilen mit "v" (grosse jahreszeitliche Schwankung) stehen mit dem Mittel
# aus der Monatstabelle derselben Buchseite drin; das ist jeweils vermerkt.
#
# STAND: vollstaendig. Buchseiten 322-338, 791 Stationen,
# att 4495-5542 sowie 6851-7050 (Thailand/Vietnam/China haben im Band einen
# eigenen Nummernblock). Positionen dazu in np203_2002_part2_scs_pos.tsv.
#
# PRUEFSTAND: einmal gelesen, Format maschinell geprueft (Phasen 000-359,
# Amplituden < 4 m, keine Dubletten). Die OCR taugt als Gegenprobe nicht (sie
# trifft im Schnitt nur 4 von 9 Zahlen je Zeile). Stattdessen gegen die
# unabhaengigen Sammlungen geprueft: 421 Stationen liegen naeher als 3 km an
# einer Station aus classic/ticon/utide/noaa; nach Umrechnung auf den
# GMT-Meridian betraegt die mittlere Abweichung 0.03 m in der M2-Amplitude
# und 4.6 Grad in der Phase. Bei classic, classic_original und TICON (71
# Paare) weicht keine einzige Phase um mehr als 60 Grad ab.
#
# att	name	zone	z0	gM2	HM2	gS2	HS2	gK1	HK1	gO1	HO1	f4	F4	f6	F6
# ===== Buchseite 322 -- INDIA EAST COAST; BANGLADESH; BURMA =====
4792	Bagan	-0700	2.10	099	1.08	144	0.50	341	0.22	-	0.00	-	-	-	-
4794	Tanjungtiram	-0700	1.30	086	0.71	138	0.33	006	0.19	-	0.00	-	-	-	-
4795	Kualatanjung	-0700	1.60	079	0.80	127	0.35	001	0.17	207	0.03	-	-	-	-
4797	Belawan Channel	-0700	1.50	031	0.61	070	0.32	347	0.20	279	0.05	-	-	-	-
4799	Sembilan Channel	-0700	1.50	013	0.63	055	0.36	347	0.20	282	0.05	-	-	-	-
4801	Langsa Bay	-0700	1.50	338	0.56	022	0.33	342	0.14	296	0.06	-	-	-	-
4802	Idi	-0700	1.00	317	0.47	006	0.25	307	0.14	295	0.06	-	-	-	-
4804	Lhokseumawe	-0700	1.00	293	0.59	340	0.28	328	0.10	298	0.04	-	-	-	-
4805	Sigli	-0700	1.00	285	0.34	333	0.24	319	0.09	292	0.04	-	-	-	-
4806	Sabang	-0700	0.80	275	0.44	322	0.26	315	0.08	282	0.05	-	-	-	-
4808	Uleelheue	-0700	1.00	298	0.42	342	0.17	316	0.11	293	0.08	-	-	-	-
4809	Pulau Rusa	-0700	0.35	250	0.20	313	0.08	358	0.07	249	0.05	-	-	-	-
4810	Pulau Raya	-0700	0.20	215	0.04	208	0.05	319	0.08	183	0.02	-	-	-	-
4811	Chalang	-0700	0.30	223	0.14	265	0.10	282	0.08	324	0.05	-	-	-	-
4812	Meulaboh	-0700	0.30	203	0.09	239	0.09	322	0.06	254	0.04	-	-	-	-
4814	Tapaktuan	-0700	0.30	193	0.18	253	0.08	304	0.10	294	0.07	-	-	-	-
4816	Teluk Sinabang	-0700	0.40	173	0.13	245	0.08	289	0.09	261	0.05	-	-	-	-
4818	Singkilbaru	-0700	0.70	188	0.22	227	0.12	291	0.10	254	0.05	-	-	-	-
4819	Barus	-0700	0.70	173	0.25	213	0.16	288	0.12	245	0.06	-	-	-	-
4820	Sibolga	-0700	0.70	172	0.13	223	0.13	269	0.10	298	0.04	-	-	-	-
4822	Simanari	-0700	0.70	171	0.20	203	0.13	248	0.08	257	0.06	-	-	-	-
4823	Gunungsitoli	-0700	0.70	159	0.08	200	0.18	290	0.05	-	0.00	-	-	-	-
4824	Teluk Dalam	-0700	0.70	168	0.22	228	0.09	265	0.10	260	0.06	-	-	-	-
4825	Natal	-0700	0.70	178	0.28	220	0.13	281	0.11	253	0.07	-	-	-	-
4826	Air Bangis	-0700	0.70	165	0.27	227	0.15	274	0.15	244	0.05	-	-	-	-
4827	Pulau Telo	-0700	0.70	170	0.24	217	0.15	283	0.11	250	0.06	-	-	-	-
4829	Teluk Bayur (Emma Haven)	-0700	0.70	180	0.35	228	0.15	281	0.13	266	0.07	086	0.149	179	0.026
4831	Teluk Siberut	-0700	0.70	177	0.30	232	0.12	276	0.12	245	0.09	-	-	-	-
4832	Pulau Tonggo	-0700	0.70	178	0.31	221	0.14	260	0.13	247	0.08	-	-	-	-
4834	Bengkulu	-0700	0.70	198	0.32	242	0.14	283	0.11	259	0.10	-	-	-	-
4836	Teluk Enggano	-0700	0.70	180	0.30	252	0.11	262	0.15	256	0.09	-	-	-	-
4839	Kotaagung	-0700	0.80	208	0.32	246	0.15	285	0.15	275	0.10	-	-	-	-
4841	Telukbetung (Bandarlampung)	-0700	0.80	214	0.32	261	0.14	269	0.16	257	0.08	-	-	-	-
4842	Labuan Bangkai	-0700	0.70	210	0.29	292	0.16	271	0.12	229	0.04	-	-	-	-
4845	Sungai Tulangbawang	-0700	0.90	070	0.16	061	0.20	144	0.33	106	0.24	-	-	-	-
4848	Sungai Palembang (Outer Bar)	-0700	1.90	191	0.27	233	0.13	156	0.88	086	0.60	-	-	-	-
4849	Sungsang	-0700	1.90	211	0.31	235	0.13	163	0.89	099	0.58	-	-	-	-
4850	Peradjin	-0700	1.60	292	0.25	322	0.14	210	0.74	145	0.45	-	-	-	-
4851	Palembang	-0700	1.40	305	0.25	332	0.11	218	0.68	152	0.43	-	-	-	-
4854	Pulau Cebia	-0700	1.50	153	0.09	208	0.07	146	0.71	076	0.50	-	-	-	-
# ===== Buchseite 327 -- PULAU BANGKA; BELITUNG; PENINSULAR MALAYSIA EAST COAST =====
4855	Baai Klabat	-0700	1.50	213	0.11	261	0.07	152	0.74	109	0.53	-	-	-	-
4856	Teluk Bulu	-0700	1.70	175	0.19	224	0.11	155	0.81	080	0.63	-	-	-	-
4857	Tanjung Kelian	-0700	1.90	179	0.25	216	0.12	159	0.95	085	0.55	-	-	-	-
4858	Pulau-Pulau Nangka	-0700	1.80	183	0.40	195	0.08	158	0.95	086	0.54	-	-	-	-
4859	Pulau Besar	-0700	1.50	158	0.23	049	0.11	153	0.73	099	0.42	-	-	-	-
4860	Dapur	-0700	1.20	104	0.17	078	0.11	148	0.61	095	0.32	-	-	-	-
4862	Pangkalbalam	-0700	1.50	173	0.06	328	0.02	142	0.72	074	0.54	-	-	-	-
4864	Beting Akbar	-0700	1.30	129	0.05	079	0.06	159	0.53	107	0.48	-	-	-	-
4865	Celaka	-0700	1.30	082	0.07	047	0.05	142	0.67	079	0.38	-	-	-	-
4866	Simedang	-0700	1.00	055	0.08	037	0.07	144	0.53	090	0.28	-	-	-	-
4867	Seliu	-0700	1.00	029	0.09	021	0.06	142	0.51	092	0.34	-	-	-	-
4868	Ru	-0700	1.30	061	0.05	-	0.00	146	0.57	090	0.32	-	-	-	-
4869	Tanjungpandan	-0700	1.50	067	0.08	025	0.07	139	0.72	079	0.42	-	-	-	-
4870	Langkuas	-0700	1.30	225	0.02	011	0.03	139	0.64	076	0.38	-	-	-	-
4871	Tanjung Batubedil	-0700	0.80	-	0.00	328	0.03	140	0.57	092	0.37	-	-	-	-
4872	Teluk Pering	-0700	0.80	311	0.02	294	0.03	121	0.51	073	0.37	-	-	-	-
4873	Sungai Manggar	-0700	0.80	349	0.02	321	0.06	137	0.41	095	0.27	-	-	-	-
4874	Gantung	-0700	0.80	352	0.07	354	0.04	153	0.39	102	0.23	-	-	-	-
4875	Pulau Selandu (near)	-0700	0.80	351	0.08	-	0.00	136	0.40	087	0.24	-	-	-	-
4876	Tanjung Batunitam	-0700	0.80	346	0.09	076	0.01	137	0.38	068	0.23	-	-	-	-
4879	Tanjung Penawar	-0800	1.57	293	0.57	350	0.19	065	0.29	024	0.30	-	-	-	-
4881	Sedili Kechil	-0800	1.48	287	0.56	346	0.17	056	0.39	014	0.26	-	-	-	-
4886	Pulau Babi Besar	-0800	1.55	276	0.54	333	0.21	031	0.48	349	0.30	-	-	-	-
4887	Mersing	-0800	1.50	283	0.62	336	0.15	029	0.39	347	0.30	-	-	-	-
4889	Teluk Tekek	-0800	1.58	272	0.57	323	0.18	025	0.46	343	0.35	-	-	-	-
4892	Kuala Rompin	-0800	1.52	280	0.53	327	0.15	026	0.45	335	0.30	-	-	-	-
4894	Pulau Varella	-0800	1.74	268	0.63	323	0.20	020	0.48	340	0.34	-	-	-	-
4895	Pahang	-0800	1.52	264	0.60	323	0.19	020	0.51	334	0.37	-	-	-	-
4896	Kuantan	-0800	1.58	270	0.56	322	0.17	018	0.51	334	0.35	-	-	-	-
4896a	Tanjung Gelang	-0800	1.87	260	0.51	309	0.17	015	0.53	331	0.36	-	-	-	-
4897	Sungai Kemaman	-0800	1.00	266	0.47	322	0.16	015	0.56	330	0.36	-	-	-	-
4897a	Tanjung Berhala	-0800	1.59	252	0.45	300	0.15	012	0.53	327	0.35	-	-	-	-
4898	Kertih Terminal	-0800	1.69	255	0.37	295	0.13	009	0.51	322	0.34	-	-	-	-
4898a	Paka	-0800	1.40	254	0.32	306	0.12	010	0.44	323	0.30	-	-	-	-
4899	Kuala Dungun	-0800	1.26	250	0.38	301	0.13	358	0.57	320	0.37	-	-	-	-
4901	Chendering	-0800	1.46	238	0.29	283	0.12	005	0.49	318	0.31	-	-	-	-
4902	Terengganu	-0800	1.03	243	0.27	289	0.11	002	0.50	315	0.29	-	-	-	-
4904	Setiu	-0800	1.21	236	0.24	291	0.11	359	0.39	308	0.25	-	-	-	-
4907	Sungai Besut	-0800	1.32	240	0.23	290	0.11	000	0.41	309	0.23	-	-	-	-
4910	Tumpat	-0800	1.09	264	0.18	295	0.08	352	0.29	316	0.17	-	-	-	-
# ===== Buchseite 328 -- CENTRAL CHINA SEA REEFS; PHILIPPINE ISLANDS =====
4917	North Danger Reef	-0800	1.10	298	0.20	347	0.10	305	0.20	257	0.30	-	-	-	-
4918	Scarborough Shoal	-0800	0.90	305	0.20	340	0.10	330	0.30	280	0.30	-	-	-	-
4920	Balabac	-0800	0.61	314	0.26	351	0.13	323	0.32	273	0.30	-	-	-	-
4922	Eran Bay	-0800	0.60	310	0.20	350	0.10	320	0.30	270	0.30	-	-	-	-
4923	Ulugan Bay	-0800	0.58	304	0.20	345	0.08	317	0.33	267	0.28	-	-	-	-
4924	Pankol	-0800	0.61	309	0.23	342	0.07	324	0.33	279	0.29	-	-	-	-
4926	Puerto Princesa	-0800	0.61	301	0.29	343	0.16	321	0.34	275	0.30	-	-	-	-
4927	Island Bay	-0800	0.60	305	0.30	345	0.20	322	0.30	274	0.30	-	-	-	-
4929	Linapakan Island	-0800	0.60	303	0.20	340	0.10	318	0.30	268	0.30	-	-	-	-
4930	Halsey Harbour	-0800	0.52	303	0.24	004	0.10	318	0.30	268	0.30	-	-	-	-
4931	Coron	-0800	0.70	303	0.20	343	0.10	317	0.30	268	0.30	-	-	-	-
4934	Apo Island	-0800	0.50	298	0.20	338	0.10	316	0.30	268	0.30	-	-	-	-
4935	Mangarin	-0800	0.55	301	0.25	340	0.11	320	0.31	271	0.26	-	-	-	-
4937	Paluan	-0800	0.50	294	0.20	336	0.10	314	0.30	267	0.30	-	-	-	-
4938	Calapan	-0800	0.67	312	0.34	005	0.16	319	0.32	271	0.28	-	-	-	-
4939	Mansalai	-0800	0.80	312	0.40	000	0.20	322	0.30	276	0.30	-	-	-	-
4940	Port Balanakan	-0800	0.70	314	0.40	006	0.20	324	0.30	279	0.30	-	-	-	-
4941	Maestre de Campo Island	-0800	0.80	313	0.40	003	0.20	322	0.30	276	0.30	-	-	-	-
4942	Port Looc	-0800	0.79	315	0.38	003	0.18	322	0.32	276	0.30	-	-	-	-
4943	Romblon Island	-0800	0.80	316	0.50	007	0.20	324	0.30	278	0.30	-	-	-	-
4945	Tibiao	-0800	0.80	304	0.40	354	0.20	321	0.30	277	0.30	-	-	-	-
4946	Aniniy	-0800	0.70	305	0.40	355	0.20	322	0.30	278	0.30	-	-	-	-
4947	Iloilo	-0800	0.76	320	0.41	013	0.19	324	0.35	283	0.31	-	-	-	-
4948	Banate	-0800	1.10	328	0.50	021	0.20	327	0.30	280	0.30	-	-	-	-
4949	Estancia	-0800	1.00	326	0.60	019	0.30	331	0.30	281	0.30	-	-	-	-
4950	Capiz Landing	-0800	0.79	321	0.48	013	0.23	331	0.32	277	0.32	-	-	-	-
4952	Cadiz	-0800	1.00	330	0.60	024	0.30	329	0.30	281	0.30	-	-	-	-
4953	Bakalod	-0800	0.90	325	0.50	018	0.20	326	0.30	282	0.30	-	-	-	-
4954	Himamaylan	-0800	0.80	313	0.40	006	0.20	324	0.30	282	0.30	-	-	-	-
4955	Campomanes Bay	-0800	0.70	307	0.40	357	0.20	322	0.30	278	0.30	-	-	-	-
4956	Bonbonon	-0800	0.70	305	0.40	355	0.20	324	0.30	279	0.30	-	-	-	-
4957	Bais	-0800	0.76	320	0.48	015	0.27	329	0.35	279	0.30	-	-	-	-
4958	San Carlos	-0800	0.90	324	0.50	019	0.30	332	0.40	282	0.30	-	-	-	-
4959	Bantayan Island	-0800	0.90	327	0.50	022	0.30	330	0.30	281	0.30	-	-	-	-
4960	Balamban Bay	-0800	0.90	324	0.50	018	0.30	332	0.40	282	0.30	-	-	-	-
4961	Moalbual	-0800	0.80	322	0.50	017	0.30	331	0.40	281	0.30	-	-	-	-
4962	Bolhoon	-0800	0.70	310	0.40	002	0.20	325	0.30	281	0.30	-	-	-	-
4963	Cebu	-0800	0.70	316	0.42	010	0.23	326	0.31	281	0.28	-	-	-	-
4964	Bogo Bay	-0800	0.80	326	0.50	021	0.20	329	0.30	282	0.30	-	-	-	-
4966	Garcia Hernandez	-0800	0.60	308	0.30	358	0.20	330	0.30	285	0.30	-	-	-	-
4967	Cogton	-0800	0.55	309	0.28	356	0.16	330	0.27	285	0.26	-	-	-	-
4968	Port Kanoan	-0800	0.60	307	0.40	026	0.20	331	0.30	285	0.30	-	-	-	-
4969	Cataingan	-0800	0.70	321	0.40	026	0.20	331	0.30	285	0.30	-	-	-	-
4970	Nin Bay	-0800	0.80	318	0.50	011	0.20	329	0.30	279	0.30	-	-	-	-
4971	Port Barrera	-0800	0.80	321	0.40	020	0.20	328	0.30	282	0.30	-	-	-	-
4972	San Pascual	-0800	0.90	318	0.50	015	0.20	325	0.30	279	0.30	-	-	-	-
4973	Batuan Bay	-0800	0.58	324	0.30	024	0.18	328	0.26	280	0.25	-	-	-	-
4974	Butag Bay	-0800	0.60	321	0.30	021	0.20	328	0.30	280	0.20	-	-	-	-
4975	Bagatao Island	-0800	0.80	321	0.40	020	0.20	331	0.30	284	0.30	-	-	-	-
4976	Sorsogon	-0800	0.60	333	0.40	032	0.20	331	0.30	284	0.30	-	-	-	-
4978	Pasacao	-0800	0.80	320	0.50	015	0.20	324	0.40	279	0.30	-	-	-	-
4979	Guinayangan	-0800	0.90	327	0.50	022	0.20	323	0.40	278	0.30	-	-	-	-
4980	Port Pusgo	-0800	0.82	320	0.47	015	0.24	323	0.36	278	0.30	-	-	-	-
4981	Aguasa Bay	-0800	0.80	317	0.50	010	0.20	325	0.30	280	0.30	-	-	-	-
4983	Lucena	-0800	0.70	319	0.36	013	0.18	324	0.32	280	0.29	-	-	-	-
4984	Anilao	-0800	0.55	301	0.24	346	0.10	313	0.29	269	0.26	-	-	-	-
4985	Port Tilig	-0800	0.50	290	0.20	333	0.10	310	0.30	266	0.30	-	-	-	-
4986	Corregidor Island	-0800	0.49	312	0.17	354	0.05	321	0.32	279	0.26	-	-	-	-
4987	Manila	-0800	0.48	295	0.19	333	0.06	320	0.30	268	0.28	-	-	-	-
4988	Olongapo	-0800	0.43	284	0.17	324	0.06	316	0.27	267	0.25	-	-	-	-
4991	Santa Cruz	-0800	0.34	263	0.12	324	0.02	313	0.26	259	0.22	-	-	-	-
4993	Bolinao	-0800	0.27	270	0.10	306	0.04	313	0.26	267	0.21	-	-	-	-
4994	Sual	-0800	0.34	268	0.09	311	0.03	325	0.27	265	0.22	-	-	-	-
# ===== Buchseite 329 -- PHILIPPINE ISLANDS =====
4996	San Fernando	-0800	0.37	264	0.08	283	0.02	312	0.24	267	0.20	-	-	-	-
4999	Port Salomague	-0800	0.30	228	0.08	241	0.03	317	0.19	264	0.19	-	-	-	-
5001	Nagabungan	-0800	0.30	192	0.07	215	0.06	313	0.16	269	0.17	-	-	-	-
5002	Claveria Bay	-0800	0.24	196	0.19	217	0.07	291	0.12	248	0.13	-	-	-	-
5004	Aparri	-0800	0.52	171	0.40	203	0.20	255	0.10	225	0.10	-	-	-	-
5005	Port S. Vicente	-0800	0.58	152	0.39	190	0.20	210	0.11	191	0.10	-	-	-	-
5009	Babuyan Island	-0800	0.55	160	0.40	190	0.20	232	0.10	197	0.10	-	-	-	-
5012	Musa Bay	-0800	0.30	177	0.24	205	0.10	276	0.11	234	0.13	-	-	-	-
5013	Port San Pio Quinto	-0800	0.50	169	0.40	199	0.20	236	0.10	201	0.10	-	-	-	-
5014	Patunungan Bay	-0800	0.61	154	0.44	189	0.18	211	0.11	199	0.10	-	-	-	-
5016	Port Bikobian	-0800	0.64	166	0.47	199	0.22	200	0.13	190	0.10	-	-	-	-
5018	Diapitan Bay	-0800	0.64	165	0.48	196	0.23	209	0.12	186	0.12	-	-	-	-
5019	Busok Busok	-0800	0.70	159	0.54	191	0.21	199	0.14	183	0.11	-	-	-	-
5020	Baler Bay	-0800	0.70	160	0.50	194	0.20	203	0.20	178	0.10	-	-	-	-
5021	Umiray River Entrance	-0800	0.67	159	0.54	194	0.21	205	0.16	178	0.10	-	-	-	-
5022	Hook Bay	-0800	0.73	159	0.55	195	0.21	205	0.16	180	0.11	-	-	-	-
5023	Burdeos Bay	-0800	0.73	161	0.53	190	0.25	204	0.16	184	0.12	-	-	-	-
5025	Port Lampon	-0800	0.79	166	0.59	198	0.25	210	0.16	184	0.13	-	-	-	-
5026	Antimonan	-0800	0.80	166	0.60	196	0.30	215	0.20	191	0.10	-	-	-	-
5027	Port Jose Panganiban	-0800	0.80	166	0.60	196	0.20	208	0.20	186	0.10	-	-	-	-
5028	Kabgan Island	-0800	0.90	167	0.70	197	0.30	210	0.20	190	0.10	-	-	-	-
5029	Sisiran Bay	-0800	0.76	166	0.57	195	0.25	201	0.15	186	0.11	-	-	-	-
5030	Port Anajao	-0800	0.70	165	0.50	195	0.20	190	0.20	170	0.10	-	-	-	-
5031	Tabako	-0800	0.73	159	0.55	195	0.24	201	0.17	182	0.13	-	-	-	-
5032	Legaspi	-0800	0.74	158	0.52	194	0.22	200	0.16	182	0.11	129	0.011	074	0.009
5034	Biri Island	-0800	0.34	149	0.27	168	0.10	276	0.06	246	0.10	-	-	-	-
5035	Santa Rita Island	-0800	0.61	330	0.36	040	0.23	327	0.24	283	0.24	-	-	-	-
5036	Catbalogan	-0800	0.76	323	0.46	026	0.27	330	0.28	278	0.27	-	-	-	-
5037	Calbayog	-0800	0.55	326	0.34	033	0.22	333	0.24	289	0.22	-	-	-	-
5039	Laoang Island	-0800	0.76	166	0.50	196	0.20	200	0.20	165	0.20	-	-	-	-
5040	Hilaban Island	-0800	0.70	165	0.50	195	0.20	205	0.20	165	0.20	-	-	-	-
5041	Guiuan	-0800	0.37	167	0.26	197	0.06	286	0.12	245	0.14	-	-	-	-
5042	Santa Elena River	-0800	0.40	294	0.15	020	0.10	311	0.22	257	0.20	-	-	-	-
5043	Tacloban	-0800	0.27	203	0.16	259	0.04	296	0.15	263	0.18	-	-	-	-
5045	Hinunangan Bay	-0800	0.30	225	0.13	299	0.05	295	0.19	258	0.20	-	-	-	-
5046	Liloan	-0800	0.58	300	0.30	350	0.20	320	0.30	275	0.30	-	-	-	-
5048	Maasin	-0800	0.70	309	0.30	000	0.20	328	0.30	283	0.30	-	-	-	-
5049	Baybay	-0800	0.90	317	0.40	010	0.20	326	0.30	280	0.30	-	-	-	-
5050	Palompon	-0800	0.90	324	0.50	018	0.20	328	0.30	281	0.30	-	-	-	-
5052	Puerto Princesa (Leyte)	-0800	0.50	278	0.20	338	0.10	300	0.20	260	0.30	-	-	-	-
5053	Port Pilar	-0800	0.60	168	0.50	203	0.20	205	0.20	170	0.20	-	-	-	-
5054	Surigao	-0800	0.52	312	0.21	005	0.12	318	0.26	273	0.27	-	-	-	-
5055	Dahikan Bay	-0800	0.79	166	0.56	205	0.23	204	0.17	185	0.14	-	-	-	-
5056	Tandag	-0800	0.70	162	0.60	200	0.20	200	0.20	182	0.20	-	-	-	-
5057	Hinatuan	-0800	0.80	161	0.60	198	0.20	188	0.20	171	0.10	-	-	-	-
5059	Caraga	-0800	0.79	159	0.60	194	0.20	185	0.20	169	0.10	-	-	-	-
# ===== Buchseite 330 -- PHILIPPINE ISLANDS; SULU ARCHIPELAGO; SABAH; SARAWAK =====
5060	Mati	-0800	0.76	158	0.55	192	0.24	207	0.16	182	0.13	-	-	-	-
5061	Sigaboi	-0800	0.80	159	0.50	201	0.30	245	0.20	205	0.10	-	-	-	-
5062	Davao	-0800	0.76	157	0.59	198	0.30	235	0.15	210	0.11	110	0.006	027	0.005
5063	Balut Island	-0800	0.73	160	0.57	202	0.30	250	0.18	218	0.12	-	-	-	-
5064	Port Lebak	-0800	0.90	161	0.60	203	0.40	253	0.20	225	0.10	-	-	-	-
5065	Pollok Harbour	-0800	0.90	164	0.60	203	0.40	255	0.10	230	0.10	-	-	-	-
5066	Margosatubig	-0800	0.76	163	0.62	207	0.37	258	0.14	238	0.12	-	-	-	-
5067	Tikauan Point	-0800	0.90	167	0.70	211	0.40	285	0.20	255	0.20	-	-	-	-
5068	Zamboanga	-0800	0.43	175	0.30	218	0.20	303	0.20	268	0.20	-	-	-	-
5069	Sibuco Bay	-0800	0.60	295	0.30	335	0.20	315	0.30	272	0.30	-	-	-	-
5070	Port S. Maria	-0800	0.55	298	0.29	342	0.15	324	0.32	280	0.30	-	-	-	-
5071	Dapitan	-0800	0.58	299	0.30	349	0.20	324	0.30	279	0.30	-	-	-	-
5072	Plaridel	-0800	0.60	305	0.30	358	0.20	325	0.30	280	0.30	-	-	-	-
5073	Ozamiz	-0800	0.58	316	0.40	009	0.20	326	0.40	281	0.30	-	-	-	-
5074	Iligan	-0800	0.60	312	0.30	005	0.20	327	0.30	282	0.30	-	-	-	-
5075	Macabalan	-0800	0.55	311	0.30	003	0.20	328	0.30	283	0.30	-	-	-	-
5076	Mambahao	-0800	0.55	310	0.30	000	0.20	331	0.30	286	0.30	-	-	-	-
5077	Nasipit Harbour	-0800	0.60	311	0.30	004	0.20	325	0.30	280	0.30	-	-	-	-
5079	Balas	-0800	0.70	167	0.50	210	0.30	290	0.20	255	0.20	-	-	-	-
5080	Port Holland	-0800	0.40	187	0.25	230	0.15	308	0.19	270	0.19	-	-	-	-
5081	Dassalan Island	-0800	0.40	243	0.20	280	0.12	307	0.27	265	0.22	-	-	-	-
5082	Bulan Island	-0800	0.67	160	0.53	210	0.30	266	0.16	237	0.13	-	-	-	-
5083	Jolo	-0800	0.34	232	0.17	273	0.10	315	0.25	275	0.24	-	-	-	-
5084	Maimbung	-0800	0.52	168	0.40	219	0.23	294	0.18	254	0.17	-	-	-	-
5085	Pearl Bank	-0800	0.52	290	0.19	328	0.11	312	0.29	270	0.28	-	-	-	-
5086	Lahatlahat Island	-0800	0.30	228	0.13	266	0.09	303	0.23	266	0.22	-	-	-	-
5087	Tapul Island	-0800	0.37	176	0.20	228	0.13	310	0.25	266	0.23	-	-	-	-
5089	South Ubian Island	-0800	0.46	150	0.32	195	0.18	290	0.18	256	0.16	-	-	-	-
5090	Gallo Malo Channel	-0800	0.85	165	0.67	212	0.38	263	0.17	228	0.15	-	-	-	-
5091	Tandungan Channel	-0800	0.61	171	0.40	217	0.24	292	0.21	254	0.17	-	-	-	-
5092	Basbas Channel	-0800	0.27	210	0.14	249	0.10	300	0.24	266	0.21	-	-	-	-
5093	Port Bongao	-0800	0.55	147	0.43	195	0.27	263	0.18	240	0.16	-	-	-	-
5095	Tumindao Island	-0800	0.49	162	0.42	211	0.26	282	0.15	260	0.16	-	-	-	-
5097	Wallace Bay	-0800	1.91	175	1.00	225	0.66	266	0.19	234	0.15	134	0.103	-	-
5099	Tawau	-0800	1.51	161	0.76	217	0.43	260	0.19	207	0.22	136	0.086	-	-
5101	Pakalangan	-0800	1.19	163	0.61	204	0.35	264	0.15	228	0.13	-	-	-	-
5103	Semporna	-0800	0.98	158	0.53	202	0.26	279	0.13	245	0.09	-	-	-	-
5105	Kunak	-0800	0.99	152	0.51	211	0.33	304	0.12	259	0.17	-	-	-	-
5107	Lahad Datu	-0800	0.98	154	0.53	202	0.22	292	0.15	262	0.12	-	-	-	-
5108	Bakapit	-0800	1.01	159	0.50	207	0.43	290	0.14	264	0.15	-	-	-	-
5115	Sandakan	-0800	1.11	316	0.42	357	0.23	323	0.35	281	0.32	-	-	-	-
5117	Labuk Bay	-0800	1.47	317	0.45	002	0.24	328	0.35	278	0.35	-	-	-	-
5118	Pulau Lankayan	-0800	1.23	310	0.33	347	0.18	322	0.33	278	0.30	-	-	-	-
5121	Pulau Tigabu	-0800	1.19	312	0.33	353	0.18	320	0.36	280	0.31	-	-	-	-
5122	Pulau Banggi	-0800	1.15	314	0.29	351	0.13	319	0.34	274	0.31	-	-	-	-
5125	Kudat	-0800	1.22	317	0.29	359	0.15	313	0.44	264	0.25	-	-	-	-
5127	Pulau Mantanani Besar	-0800	1.07	320	0.22	347	0.11	316	0.35	265	0.32	-	-	-	-
5130	Pulau Mangalum	-0800	1.07	320	0.23	358	0.10	312	0.34	275	0.31	-	-	-	-
5132	Kota Kinabalu	-0800	1.13	319	0.24	353	0.10	315	0.37	267	0.31	-	-	-	-
5133	Kuala Papar	-0800	1.07	308	0.21	352	0.10	312	0.35	261	0.30	-	-	-	-
5134	Tiga	-0800	1.10	317	0.26	000	0.11	315	0.36	254	0.31	-	-	-	-
5136	Pulau Keraman	-0800	1.41	325	0.28	001	0.13	317	0.37	266	0.33	-	-	-	-
5137	Labuan (Victoria Harbour)	-0800	1.49	324	0.28	357	0.13	315	0.39	265	0.34	-	-	-	-
5138	Weston	-0800	1.56	345	0.34	033	0.15	331	0.40	275	0.35	-	-	-	-
5139	Sipitang	-0800	1.38	326	0.28	005	0.13	318	0.39	263	0.35	-	-	-	-
5139a	Kuala Lawas	-0800	1.50	331	0.30	021	0.14	319	0.39	270	0.34	-	-	-	-
5140	Punang	-0800	1.37	324	0.32	012	0.14	316	0.41	259	0.36	169	0.314	-	-
5141	Kuala Limbang	-0800	1.67	352	0.38	047	0.15	330	0.38	280	0.33	-	-	-	-
5141a	Bandar Limbang	-0800	1.49	010	0.34	056	0.15	342	0.36	284	0.30	-	-	-	-
# ===== Buchseite 331 -- BRUNEI; SARAWAK =====
5141b	Dato Gandi	-0800	1.57	351	0.41	037	0.18	325	0.42	274	0.33	-	-	-	-
5142	Tanjong Sapo	-0800	1.39	334	0.32	016	0.14	319	0.41	266	0.34	-	-	-	-
5143	Muara	-0800	1.33	330	0.31	013	0.14	319	0.43	263	0.35	-	-	-	-
5144	Lumut	-0800	1.21	332	0.21	010	0.09	318	0.36	268	0.31	-	-	-	-
5145	Seria	-0800	1.21	323	0.21	001	0.08	313	0.35	265	0.31	-	-	-	-
5145a	Kuala Belait	-0800	1.20	329	0.20	006	0.09	315	0.34	265	0.31	-	-	-	-
