# NP203 Ausgabe 2002, Part III (Harmonic Constants) -- Suedchinesisches Meer
# und Indonesien, also der Bereich, den die Ausgabe 2015 nicht mehr enthaelt.
# Von den Scanseiten in tide_tables/att/np203_2002_vollband.pdf abgelesen
# (PDF-Seite = Buchseite - 164). Zahlen visuell gelesen, die OCR ist hier
# unbrauchbar (nur 101 von 849 Zeilen parsebar).
#
# Spalten (Tab-getrennt):
#   att  name  zone  z0  gM2 HM2  gS2 HS2  gK1 HK1  gO1 HO1  f4 F4  f6 F6
# z0 in Metern ueber Kartennull; "w" = Table VI (Wert aus Part II holen).
# Leere Flachwasserspalten stehen als "-".
# Zeilen mit "v" (grosse jahreszeitliche Schwankung) stehen mit dem Mittel
# aus der Monatstabelle derselben Buchseite drin; das ist jeweils vermerkt.
#
# STAND: vollstaendig. Buchseiten 322-338, 791 Stationen,
# att 4495-5542 sowie 6851-7050 (Thailand/Vietnam/China haben im Band einen
# eigenen Nummernblock). Positionen dazu in np203_2002_part2_scs_pos.tsv.
#
# PRUEFSTAND: einmal gelesen, Format maschinell geprueft (Phasen 000-359,
# Amplituden < 4 m, keine Dubletten). Die OCR taugt als Gegenprobe nicht (sie
# trifft im Schnitt nur 4 von 9 Zahlen je Zeile). Stattdessen gegen die
# unabhaengigen Sammlungen geprueft: 421 Stationen liegen naeher als 3 km an
# einer Station aus classic/ticon/utide/noaa; nach Umrechnung auf den
# GMT-Meridian betraegt die mittlere Abweichung 0.03 m in der M2-Amplitude
# und 4.6 Grad in der Phase. Bei classic, classic_original und TICON (71
# Paare) weicht keine einzige Phase um mehr als 60 Grad ab.
#
# att	name	zone	z0	gM2	HM2	gS2	HS2	gK1	HK1	gO1	HO1	f4	F4	f6	F6
# ===== Buchseite 322 -- INDIA EAST COAST; BANGLADESH; BURMA =====
4579	Thar Myar Ami	-0630	2.30	287	1.24	333	0.51	329	0.19	318	0.04	-	-	-	-
4580	Jack Island	-0630	2.53	297	1.56	344	0.51	335	0.13	306	0.07	-	-	-	-
4581	Myauk Gaung Island	-0630	1.92	284	1.19	326	0.60	322	0.13	297	0.05	-	-	-	-
4582	Thatchaung	-0630	2.50	295	1.61	342	0.52	333	0.14	304	0.07	-	-	-	-
# Aus der Monatstabelle S.323 gemittelt (im Haupttabellenteil steht dort "v"):
4496	Pussur River Entrance	-0600	1.70	299	0.79	336	0.34	358	0.13	339	0.05	256	0.046	087	0.043
4497	Sundar Kota Reach	-0600	1.83	340	1.18	022	0.34	018	0.14	357	0.06	248	0.069	084	0.019
4498a	Mongla	-0600	1.95	028	0.94	074	0.34	039	0.14	022	0.06	239	0.123	096	0.037
4506	Hatia Bar	-0600	w	069	1.29	111	0.48	046	0.12	012	0.07	278	0.097	-	-
4507	Sandwip Island	-0600	w	038	1.86	082	0.70	036	0.16	010	0.08	289	0.041	067	0.011
4507a	Ilsa Ghat	-0600	w	133	0.74	172	0.29	079	0.12	057	0.07	280	0.279	165	0.080
4512	Chittagong	-0600	w	034	1.32	072	0.43	030	0.17	005	0.08	257	0.050	068	0.022
# ===== Buchseite 324 -- BURMA TO MALAYSIA WEST COAST =====
4584	Pawei Kyun	-0630	2.53	299	1.60	343	0.77	333	0.11	342	0.09	186	0.012	-	-
4585	Ka Mar Island	-0630	2.19	288	1.17	336	0.61	318	0.15	293	0.04	-	-	-	-
4587	Kyunn Tann Shey (Bulet-aw)	-0630	2.04	288	1.23	332	0.63	324	0.14	305	0.05	-	-	-	-
4589	Zar Det Aw	-0630	1.65	284	1.05	319	0.56	326	0.15	284	0.05	-	-	-	-
4590	South Bay	-0630	1.77	281	0.94	326	0.48	356	0.09	273	0.07	-	-	-	-
4592	Pulau Besin	-0630	2.19	284	1.14	328	0.58	323	0.14	287	0.05	-	-	-	-
4595	Mingalakyun	-0630	1.40	276	0.60	311	0.30	331	0.10	310	0.10	-	-	-	-
4597	Temple Sound	-0530	1.16	233	0.59	259	0.27	310	0.12	296	0.04	-	-	-	-
4598	Hoare Bay	-0530	1.29	231	0.55	268	0.26	318	0.12	301	0.04	-	-	-	-
4600	Port Anson	-0530	1.31	229	0.50	267	0.23	302	0.07	271	0.06	-	-	-	-
4602	Boat Island	-0530	1.01	234	0.50	274	0.21	310	0.06	302	0.03	-	-	-	-
4604	Cleugh Passage	-0530	1.34	241	0.60	270	0.30	313	0.10	296	0.10	-	-	-	-
4605	Port Cornwallis	-0530	1.20	269	0.73	288	0.37	317	0.13	297	0.06	-	-	-	-
4606	Stewart Sound	-0530	1.28	257	0.70	285	0.30	315	0.10	296	0.10	-	-	-	-
4607	Long Island	-0530	1.30	252	0.69	293	0.33	311	0.12	309	0.04	-	-	-	-
4608	Strait Island	-0530	1.10	249	0.73	308	0.30	327	0.10	293	0.07	-	-	-	-
4609	Jalebar	-0530	1.22	253	0.65	295	0.32	316	0.11	308	0.05	-	-	-	-
4611	Port Blair	-0530	1.21	250	0.61	290	0.29	315	0.12	284	0.05	-	-	-	-
4612	Cinque Islands	-0530	1.26	251	0.61	294	0.31	309	0.05	314	0.03	185	0.067	-	-
4613	The Sisters	-0530	1.30	248	0.59	286	0.28	318	0.11	288	0.06	-	-	-	-
4617	Car Nicobar	-0530	1.00	244	0.52	286	0.27	324	0.07	266	0.03	-	-	-	-
4620	Dring Harbour	-0530	1.19	249	0.50	291	0.20	322	0.08	326	0.04	-	-	-	-
4620a	Expedition Harbour	-0530	1.30	246	0.48	291	0.22	291	0.12	236	0.04	-	-	-	-
4621	Nancowry Harbour	-0530	1.10	246	0.52	290	0.24	306	0.10	257	0.05	-	-	-	-
4625	South (Galatea) Bay	-0530	0.90	239	0.50	283	0.20	294	0.10	255	0.10	-	-	-	-
4628	Port Refuge	-0630	0.65	140	0.31	184	0.11	253	0.15	236	0.09	-	-	-	-
4629	Christmas Island	-0700	0.89	210	0.34	281	0.15	265	0.18	249	0.12	-	-	-	-
