hafen,name,datei,km,quelle,rms_cm,hw_min,nw_min,konst
Namibe (Moçâmedes),"Moçâmedes (Namibe), Angola",harmonics_ticon4_worldwide.txt,0.19,TICON-4 (GESLA-4 harmonic analysis,3.4,0.2,1.1,M2 x1.00 -59  S2 x1.00 -56
Namibe (Moçâmedes),"Moçâmedes (Namibe), Angola",harmonics_utide_observations.txt,0.19,Derived from UHSLC data with UTide,3.6,1.0,0.3,M2 x1.00 -59  S2 x1.00 -56
Namibe (Moçâmedes),"Moçâmedes (Namibe), Angola",harmonics_noaa_eutt.txt,0.2,NOAA Tide Tables Europe & West Coa,9.9,21.2,12.9,M2 x1.01 -45  S2 x0.95 -34
Maputo,"Maputo, Mozambique",harmonics_ticon4_worldwide.txt,0.09,TICON-4 (GESLA-4 harmonic analysis,5.2,6.0,5.9,M2 x1.00 -112  S2 x1.02 -113
Maputo,"Maputo, Mozambique",harmonics_utide_observations.txt,0.09,Derived from UHSLC hourly data wit,5.2,5.0,6.3,M2 x1.00 -113  S2 x1.02 -114
Maputo,"Matolav (Estuário do Espírito Santo), Mozambique",harmonics_att_np203_secondary.txt,7.35,ADMIRALTY Tide Tables Vol.3 (NP203,11.3,11.2,9.8,M2 x1.05 -103  S2 x1.04 -114
Inhambane,"Inhambane (Rio Matumba.), Mozambique",harmonics_ticon4_worldwide.txt,0.16,TICON-4 (GESLA-4 harmonic analysis,7.6,-1.7,-7.7,M2 x1.01 -125  S2 x0.99 -128
Inhambane,"Inhambane (Rio Matumba.), Mozambique",harmonics_att_np203_secondary.txt,0.16,ADMIRALTY Tide Tables Vol.3 (NP203,11.6,3.3,-4.9,M2 x1.00 -121  S2 x1.00 -119
Beira,"Beira, Mozambique",harmonics-1997-05-25_mod.txt,0.24,,15.4,1.2,4.8,
Beira,"Beira, Mozambique",harmonics_utide_tidetables.txt,0.24,NMDIS hourly tide predictions (mds,3.6,-0.8,-0.6,
Chinde,"Chinde (Zambezi River), Mozambique",harmonics_att_np203.txt,0.97,ADMIRALTY Tide Tables Vol.3 (NP203,6.7,7.0,-13.6,M2 x1.00 -121  S2 x1.00 -120
Chinde,"Chinde (Zambezi River), Mozambique",harmonics-1997-05-25_mod.txt,0.97,,5.6,-0.9,-1.0,M2 x1.00 -121  S2 x1.00 -120
Chinde,"Chinde, Mozambique",harmonics_noaa_cptt.txt,0.97,NOAA Tide Tables Pacific & Indian ,14.9,0.9,0.3,M2 x0.95 -118  S2 x0.92 -121
Ponta Tangalane (Barra de Quelimane),"Morrubune (Rio dos Bons Sinais mouth), Mozambique",harmonics_att_np203.txt,0.19,ADMIRALTY Tide Tables Vol.3 (NP203,16.6,4.3,-5.5,
Pebane,"Pebane (Rio Moniga), Mozambique",harmonics_att_np203.txt,0.13,ADMIRALTY Tide Tables Vol.3 (NP203,5.7,-3.0,1.6,M2 x1.00 -120  S2 x1.00 -121
Pebane,"Pebane (Rio Moniga), Mozambique",harmonics-1997-05-25_mod.txt,0.13,,5.1,-0.5,-0.3,M2 x1.00 -120  S2 x1.00 -121
Angoche (António Enes),"Angoche (António Enes), Mozambique",harmonics_att_np203.txt,0.44,ADMIRALTY Tide Tables Vol.3 (NP203,4.2,1.7,-1.8,
Angoche (António Enes),"Angoche (António Enes), Mozambique",harmonics-1997-05-25_mod.txt,0.44,,5.5,0.5,0.3,
Angoche (António Enes),"Angoche (António Enes), Mozambique",harmonics_noaa_cptt.txt,0.44,NOAA Tide Tables Pacific & Indian ,17.8,-0.1,-6.7,
Ilha de Moçambique,"Ilha de Moçambique, Mozambique",harmonics_att_np203_secondary.txt,0.49,ADMIRALTY Tide Tables Vol.3 (NP203,9.3,-1.6,-0.0,M2 x1.00 -120  S2 x1.01 -121
Ilha de Moçambique,"Ilha de Moçambique, Mozambique",harmonics-1997-05-25_mod.txt,0.49,,6.4,-0.3,-0.5,M2 x1.00 -120  S2 x1.00 -121
Ilha de Moçambique,"Porto de Mozambique, Mozambique",harmonics_noaa_cptt.txt,0.49,NOAA Tide Tables Pacific & Indian ,11.7,-12.0,-14.3,M2 x1.04 -132  S2 x0.96 -132
Ilha de Moçambique,"Ilha de Moçambique, Mozambique",harmonics_utide_tidetables.txt,0.49,NMDIS hourly tide predictions (mds,3.6,0.2,0.4,M2 x1.00 -119  S2 x1.00 -120
Nacala,"Nacala (Fernao Veloso), Mozambique",harmonics_att_np203.txt,0.35,ADMIRALTY Tide Tables Vol.3 (NP203,7.5,-0.6,-3.2,M2 x1.00 -122  S2 x0.96 -120
Nacala,"Nacala (Fernao Veloso), Mozambique",harmonics-1997-05-25_mod.txt,0.35,,5.2,7.7,3.2,M2 x0.99 -114  S2 x1.04 -114
Pemba (Porto Amélia),"Pemba (Porto Amelia), Mozambique",harmonics_noaa_cptt.txt,0.05,NOAA Tide Tables Pacific & Indian ,11.1,-7.5,-16.8,M2 x1.03 -131  S2 x0.94 -131
Pemba (Porto Amélia),"Pemba (Porto Amelia), Mozambique",harmonics_ticon4_worldwide.txt,0.05,TICON-4 (GESLA-4 harmonic analysis,7.9,7.3,1.7,M2 x0.99 -116  S2 x0.98 -114
Pemba (Porto Amélia),"Pemba (Porto Amelia), Mozambique",harmonics_utide_observations.txt,0.05,Derived from UHSLC hourly data wit,8.3,7.7,1.7,M2 x0.99 -115  S2 x0.98 -114
Mocímboa da Praia,"Mocímboa da Praia, Mozambique",harmonics_att_np203.txt,0.72,ADMIRALTY Tide Tables Vol.3 (NP203,7.0,0.9,-4.8,
Mocímboa da Praia,"Mocímboa da Praia, Mozambique",harmonics-1997-05-25_mod.txt,0.72,,5.8,-0.2,-0.4,
Mocímboa da Praia,"Mocímboa da Praia, Mozambique",harmonics_noaa_cptt.txt,0.72,NOAA Tide Tables Pacific & Indian ,11.8,-8.2,-18.7,
