datei,name,fehler_prozent,begruendung
harmonics/noaa/harmonics_noaa_cptt.txt,"Tumindao Channel, Tawi-Tawi, Philippines",15.5,"NOAA-Uebertragung von Davao traegt dessen Tagestiden (K1 100 / O1 90 Grad); Sulusee dort ~155/133 (NAMRIA Bongao, NP203 Tumindao Island 1.8 km: 162/149). Oliver 23.09.2026."
harmonics/noaa/harmonics_noaa_cptt.txt,"Port Bongao, Tawi-Tawi, Philippines",14.6,"NOAA-Uebertragung von Davao traegt dessen Tagestiden (K1 101 / O1 90 Grad); NAMRIA Bongao 155/133 und NP203 Port Bongao 143/129 am selben Ort. Oliver 23.09.2026."
