Ortsname;Bundesstaat/Region;Land;Latitude;Longitude;Zeitzone;Löschgrund
St. Croix, Lime Tree Bay, Virgin Islands;Lime Tree Bay;Virgin Islands;17,6967;-64,7533;-04:00 :America/St_Thomas;US Territory: Virgin Islands
St. Johns River Entrance, Florida Current;;Florida Current;30,4000;-81,3833;-05:00 :America/New_York;US State: Florida
St. Johns River Entrance, Florida Current (3);;Florida Current;30,7967;-81,5150;-5:00 :America/New_York;US State: Florida
St. Johns River at Bar Pilot Dock, Florida;;Florida;30,3969;-81,4294;-5:00 :America/New_York;US State: Florida
St. Johns River at Buckman Bridge, Florida;;Florida;30,1911;-81,6922;-5:00 :America/New_York;US State: Florida
St. Johns River at Dames Point (N. end, SR 9A bridge), Florida;SR 9A bridge);Florida;30,3869;-81,5581;-5:00 :America/New_York;US State: Florida
St. Johns River at Dames Point (N. end, SR 9A bridge), Florida (2);SR 9A bridge);Florida;30,3869;-81,5581;-5:00 :America/New_York;US State: Florida
St. Johns River at Dames Point (N. end, SR 9A bridge), Florida (3);SR 9A bridge);Florida;30,3869;-81,5581;-5:00 :America/New_York;US State: Florida
St. Johns River at Dames Point (N. end, SR 9A bridge), Florida (4);SR 9A bridge);Florida;30,3869;-81,5581;-5:00 :America/New_York;US State: Florida
St. Johns River at Dames Point (N. end, SR 9A bridge), Florida (5);SR 9A bridge);Florida;30,3869;-81,5581;-5:00 :America/New_York;US State: Florida
St. Johns River at Long Branch, USCOE dredge depot, Florida;USCOE dredge depot;Florida;30,3575;-81,6129;-5:00 :America/New_York;US State: Florida
St. Johns River at Main Street Bridge, Florida;;Florida;30,3231;-81,6639;-5:00 :America/New_York;US State: Florida
St. Johns River at Navy degaussing structure, Florida;;Florida;30,3964;-81,3953;-5:00 :America/New_York;US State: Florida
St. Johns River at Navy degaussing structure, Florida (2);;Florida;30,3964;-81,3953;-5:00 :America/New_York;US State: Florida
St. Johns River at Racy Point, Florida;;Florida;29,8019;-81,5497;-5:00 :America/New_York;US State: Florida
St. Johns River at Shands Bridge, Florida;;Florida;29,9786;-81,6286;-5:00 :America/New_York;US State: Florida
St. Marks River Entrance, Florida;;Florida;30,0783;-84,1783;-05:00 :America/New_York;US State: Florida
St. Michael, Alaska;;Alaska;63,4750;-162,0267;-9:00 :America/Anchorage;US State: Alaska
St. Petersburg, Florida;;Florida;27,7600;-82,6267;-5:00 :America/New_York;US State: Florida
St. Petersburg, Florida (2) (expired 1995-12-31);;Florida(expired 1995-12-31);27,7733;-82,6217;-05:00 :America/New_York;US State: Florida
Stamford, Connecticut;;Connecticut;41,0383;-73,5467;-05:00 :America/New_York;US State: Connecticut
Strait of Juan de Fuca Entrance, Washington Current;;Washington Current;48,4500;-124,5833;-08:00 :America/Los_Angeles;US State: Washington
Sutherlands Still, Dunns Creek, Florida;Dunns Creek;Florida;29,5733;-81,6033;-5:00 :America/New_York;US State: Florida
Sutherlands Still, Dunns Creek, Florida (2);Dunns Creek;Florida;29,5733;-81,6033;-5:00 :America/New_York;US State: Florida
Sutherlands Still, Dunns Creek, Florida (3);Dunns Creek;Florida;29,5733;-81,6033;-5:00 :America/New_York;US State: Florida
Sutwik Island, West End, Alaska;West End;Alaska;56,5400;-157,3267;-9:00 :America/Anchorage;US State: Alaska
Sweeper Cove, Adak Island, Alaska;Adak Island;Alaska;51,8633;-176,6317;-10:00 :America/Atka;US State: Alaska
Tampa Bay (Sunshine Skyway Bridge), Florida Current;;Florida Current;27,6200;-82,6550;-5:00 :America/New_York;US State: Florida
Tampa Bay Entrance (Egmont Channel), Florida Current;;Florida Current;27,6050;-82,7600;-5:00 :America/New_York;US State: Florida
Tampa Bay Entrance, Florida Current;;Florida Current;27,6083;-82,7683;-05:00 :America/New_York;US State: Florida
Tarrytown, Hudson River, New York;Hudson River;New York;41,0783;-73,8700;-05:00 :America/New_York;US State: New York
Tavernier, Florida;;Florida;25,0050;-80,5167;-05:00 :America/New_York;US State: Florida
The Folly, Hilton Head Island, South Carolina;Hilton Head Island;South Carolina;32,1833;-80,7000;-05:00 :America/New_York;US State: South Carolina
The Narrows (North End), Puget Sound, Washington Current;Puget Sound;Washington Current;47,3000;-122,5500;-08:00 :America/Los_Angeles;US State: Washington
The Narrows, Midchannel, New York Harbor, New York Current;New York Harbor;New York Current;40,6100;-74,0467;-05:00 :America/New_York;US State: New York
The Narrows, Midchannel, New York Harbor, New York Current (2);New York Harbor;New York Current;40,6100;-74,0467;-05:00 :America/New_York;US State: New York
The Race, Long Island Sound, New York Current;Long Island Sound;New York Current;41,2367;-72,0600;-05:00 :America/New_York;US State: New York
Thomas Point Shoal Light, Maryland;;Maryland;38,9000;-76,4333;-05:00 :America/New_York;US State: Maryland
Threemile Slough Entrance, San Joaquin River, California;San Joaquin River;California;38,0833;-121,6833;-8:00 :America/Los_Angeles;US State: California
Throg's Neck, Long Island Sound, New York Current;Long Island Sound;New York Current;40,8017;-73,7883;-05:00 :America/New_York;US State: New York
Titusville, Indian River, Florida;Indian River;Florida;28,6200;-80,8000;-5:00 :America/New_York;US State: Florida
Toke Point, Willapa Bay, Washington;Willapa Bay;Washington;46,7083;-123,9650;-08:00 :America/Los_Angeles;US State: Washington
Toke Point, Willapa Bay, Washington (2);Willapa Bay;Washington;46,7067;-123,9650;-08:00 :America/Los_Angeles;US State: Washington
Tolchester Beach, Chesapeake Bay, Maryland;Chesapeake Bay;Maryland;39,2133;-76,2450;-05:00 :America/New_York;US State: Maryland
Tomales Bay Entrance, California;;California;38,2283;-122,9767;-8:00 :America/Los_Angeles;US State: California
Trenton, Delaware River, New Jersey;Delaware River;New Jersey;40,1883;-74,7550;-05:00 :America/New_York;US State: New Jersey
Trident Pier, Port Canaveral, Florida;Port Canaveral;Florida;28,4150;-80,5933;-05:00 :America/New_York;US State: Florida
Trout River, Sherwood Forest, Florida;Sherwood Forest;Florida;30,4200;-81,7283;-5:00 :America/New_York;US State: Florida
Trout River, Sherwood Forest, Florida (2);Sherwood Forest;Florida;30,4200;-81,7283;-5:00 :America/New_York;US State: Florida
Trout River, Sherwood Forest, Florida (3);Sherwood Forest;Florida;30,4200;-81,7283;-5:00 :America/New_York;US State: Florida
Trout River, Sherwood Forest, Florida (4);Sherwood Forest;Florida;30,4200;-81,7283;-5:00 :America/New_York;US State: Florida
Tuckahoe, Tuckahoe River, New Jersey;Tuckahoe River;New Jersey;39,2950;-74,7483;-5:00 :America/New_York;US State: New Jersey
Tuckers Island, Homosassa River, Florida;Homosassa River;Florida;28,7717;-82,6950;-5:00 :America/New_York;US State: Florida
Turkey Point, FSU Lab, Florida;FSU Lab;Florida;29,9150;-84,5117;-05:00 :America/New_York;US State: Florida
Twin Rivers Marina, Crystal River, Florida;Crystal River;Florida;28,9050;-82,6383;-5:00 :America/New_York;US State: Florida
U.S. Naval Academy, Annapolis, Maryland;Annapolis;Maryland;38,9833;-76,4800;-5:00 :America/New_York;US State: Maryland
Ugaiushak Island, Alaska;;Alaska;56,7967;-156,8483;-9:00 :America/Anchorage;US State: Alaska
Unalaska, Alaska;;Alaska;53,8800;-166,5367;-9:00 :America/Anchorage;US State: Alaska
Unimak Pass (off Scotch Cap), Alaska Current;;Alaska Current;54,3650;-164,8000;-9:00 :America/Anchorage;US State: Alaska
Upper Hell Gate (Sasanoa River, Maine) Current;;Maine) Current;43,8950;-69,7717;-05:00 :America/New_York;US Timezone: America/New_York
Vaca Key, Florida Bay, Florida;Florida Bay;Florida;24,7117;-81,1050;-5:00 :America/New_York;US State: Florida
Valdez, Alaska;;Alaska;61,1250;-146,3617;-9:00 :America/Anchorage;US State: Alaska
Vancouver, Columbia River, Washington (dubious accuracy);Columbia River;Washington (dubious accuracy);45,6267;-122,6833;-8:00 :America/Los_Angeles;US State: Washington
Venice Inlet (inside), Florida;;Florida;27,1233;-82,4700;-5:00 :America/New_York;US State: Florida
Vero Beach, Indian River, Florida;Indian River;Florida;27,6333;-80,3750;-5:00 :America/New_York;US State: Florida
Victoria Bluff, South Carolina;;South Carolina;32,3000;-80,8000;-05:00 :America/New_York;US State: South Carolina
Vieques Passage, Puerto Rico Current;;Puerto Rico Current;18,1883;-65,6183;-04:00 :America/Puerto_Rico;US Territory: Puerto Rico
Vieques Passage, Puerto Rico Current (2);;Puerto Rico Current;18,1883;-65,6183;-04:00 :America/Puerto_Rico;US Territory: Puerto Rico
Vilano Beach Bridge, Tolomato River, Florida;Tolomato River;Florida;29,9167;-81,3000;-5:00 :America/New_York;US State: Florida
Vineyard Haven, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,4500;-70,6000;-05:00 :America/New_York;US State: Massachusetts
Virginia Beach, Virginia;;Virginia;36,8433;-75,9717;-05:00 :America/New_York;US State: Virginia
Virginia Key, Bear Cut, Florida;Bear Cut;Florida;25,7317;-80,1617;-5:00 :America/New_York;US State: Florida
Wabasso, Indian River, Florida;Indian River;Florida;27,7550;-80,4250;-5:00 :America/New_York;US State: Florida
Wachapreague, Wachapreague Channel, Virginia;Wachapreague Channel;Virginia;37,6067;-75,6867;-05:00 :America/New_York;US State: Virginia
Wake Island, Pacific Ocean;;Pacific Ocean;19,2900;166,6183;12:00 :Pacific/Wake;US Territory: Wake Island
Wallops Island, Virginia;;Virginia;37,8417;-75,4783;-05:00 :America/New_York;US State: Virginia
Waretown, Barnegat Bay, New Jersey;Barnegat Bay;New Jersey;38,7917;-74,1817;-05:00 :America/New_York;US State: New Jersey
Washington Canal, New Jersey;;New Jersey;40,4717;-74,3683;-05:00 :America/New_York;US State: New Jersey
Washington, D.C.;;D.C.;38,8733;-77,0217;-05:00 :America/New_York;US State: D.C.
Wasque Point, Chappaquiddick Island, Massachusetts;Chappaquiddick Island;Massachusetts;41,3633;-70,4500;-05:00 :America/New_York;US State: Massachusetts
Watch Hill Point, Rhode Island;;Rhode Island;41,3050;-71,8600;-05:00 :America/New_York;US State: Rhode Island
Wauwinet (outer shore), Nantucket Island, Massachusetts;Nantucket Island;Massachusetts;41,3333;-70,0000;-05:00 :America/New_York;US State: Massachusetts
Waveland, Mississipi Sound, Mississippi;Mississipi Sound;Mississippi;30,3250;-89,3250;-06:00 :America/Chicago;US State: Mississippi
Weehawken, Days Point, New Jersey;Days Point;New Jersey;40,7667;-74,0167;-05:00 :America/New_York;US State: New Jersey
Welaka, St. Johns River, Florida;St. Johns River;Florida;29,4767;-81,6750;-5:00 :America/New_York;US State: Florida
Welaka, St. Johns River, Florida (2);St. Johns River;Florida;29,4767;-81,6750;-5:00 :America/New_York;US State: Florida
Welaka, St. Johns River, Florida (3);St. Johns River;Florida;29,4767;-81,6750;-5:00 :America/New_York;US State: Florida
Welaka, St. Johns River, Florida (4);St. Johns River;Florida;29,4767;-81,6750;-5:00 :America/New_York;US State: Florida
Welaka, St. Johns River, Florida (5);St. Johns River;Florida;29,4767;-81,6750;-5:00 :America/New_York;US State: Florida
West Chop, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,4833;-70,6017;-05:00 :America/New_York;US State: Massachusetts
West Palm Beach Canal, Florida;;Florida;26,6450;-80,0450;-5:00 :America/New_York;US State: Florida
West Quoddy Head, Maine;;Maine;44,8167;-66,9667;-04:00 :America/New_York;US State: Maine
Westport Harbor Entrance, Massachusetts;;Massachusetts;41,5083;-71,0933;-05:00 :America/New_York;US State: Massachusetts
Westport River Entrance, Massachusetts Current;;Massachusetts Current;41,5083;-71,0883;-05:00 :America/New_York;US State: Massachusetts
Wickford, Narragansett Bay, Rhode Island;Narragansett Bay;Rhode Island;41,5733;-71,4450;-5:00 :America/New_York;US State: Rhode Island
Willets Point, New York;;New York;40,7933;-73,7817;-05:00 :America/New_York;US State: New York
William Head, Washington;;Washington;48,0333;-123,5333;-08:00 :America/Los_Angeles;US State: Washington
Wilmington, North Carolina;;North Carolina;34,2267;-77,9533;-05:00 :America/New_York;US State: North Carolina
Windmill Point, Rappahannock River, Virginia;Rappahannock River;Virginia;37,6117;-76,2750;-05:00 :America/New_York;US State: Virginia
Windmill Point, Rappahannock River, Virginia (2);Rappahannock River;Virginia;37,6117;-76,2750;-05:00 :America/New_York;US State: Virginia
Woods Hole Oceanographic Institute, Massachusetts;;Massachusetts;41,5250;-70,6733;-5:00 :America/New_York;US State: Massachusetts
Woods Hole, Massachusetts Current (use with caution);;Massachusetts Current (use with caution);41,5200;-70,6850;-05:00 :America/New_York;US State: Massachusetts
Wrangell Narrows (off Petersburg), Alaska Current;;Alaska Current;56,8167;-132,9667;-9:00 :America/Anchorage;US State: Alaska
Wrightsville Beach, North Carolina;;North Carolina;34,2100;-77,7950;-5:00 :America/New_York;US State: North Carolina
Yakutat, Yakutat Bay, Alaska;Yakutat Bay;Alaska;59,5483;-139,7350;-9:00 :America/Anchorage;US State: Alaska
Yakutat, Yakutat Bay, Alaska (2);Yakutat Bay;Alaska;59,5483;-139,7350;-9:00 :America/Anchorage;US State: Alaska
