Ortsname;Bundesstaat/Region;Land;Latitude;Longitude;Zeitzone;Löschgrund
Northport, Northport Bay, Long Island Sound, New York (2);Long Island Sound;New York;40,9000;-73,3500;-05:00 :America/New_York;US State: New York
Nueces Bay, Texas;;Texas;27,8233;-97,4150;-6:00 :America/Chicago;US State: Texas
Nushagak Bay (Clark's Point), Alaska;;Alaska;58,8483;-158,5517;-9:00 :America/Anchorage;US State: Alaska
Oak Bluffs, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,4583;-70,5550;-05:00 :America/New_York;US State: Massachusetts
Oak Landing, ICWW, Florida;ICWW;Florida;30,2533;-81,4300;-5:00 :America/New_York;US State: Florida
Oak Landing, ICWW, Florida (2);ICWW;Florida;30,2533;-81,4300;-5:00 :America/New_York;US State: Florida
Ocean Beach, California;;California;37,7667;-122,5167;-08:00 :America/Los_Angeles;US State: California
Ocean City (fishing pier), Maryland;;Maryland;38,3267;-75,0833;-5:00 :America/New_York;US State: Maryland
Ocean City, 9th Street Bridge, New Jersey;9th Street Bridge;New Jersey;39,2833;-74,5817;-05:00 :America/New_York;US State: New Jersey
Ocean City, Isle of Wight Bay, Maryland;Isle of Wight Bay;Maryland;38,3317;-75,0900;-05:00 :America/New_York;US State: Maryland
Ocracoke, Ocracoke Island, North Carolina;Ocracoke Island;North Carolina;35,1150;-75,9883;-05:00 :America/New_York;US State: North Carolina
Off Chilmark Pond, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,3333;-70,7167;-05:00 :America/New_York;US State: Massachusetts
Off Jobs Neck Pond, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,3500;-70,5833;-05:00 :America/New_York;US State: Massachusetts
Off Lake Tashmoo, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,4667;-70,6333;-05:00 :America/New_York;US State: Massachusetts
Old Saybrook Point, Connecticut;;Connecticut;41,2833;-72,3500;-05:00 :America/New_York;US State: Connecticut
Old Tampa Bay Entrance (Port Tampa), Florida Current;;Florida Current;27,8650;-82,5533;-5:00 :America/New_York;US State: Florida
Orange Park, St. Johns River, Florida;St. Johns River;Florida;30,1683;-81,6950;-5:00 :America/New_York;US State: Florida
Orange Park, St. Johns River, Florida (2);St. Johns River;Florida;30,1683;-81,6950;-5:00 :America/New_York;US State: Florida
